mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.0,0.0,0.72,0.76,0.73,94.03454253611555,90.54942857142858,8.924453038607469
mutant_0001,0.0,0.0,0.56,0.65,0.58,92.37738362760835,90.99493975903613,8.978810700930062
mutant_0002,0.0,0.0,0.79,0.81,0.8,94.75465489566604,92.91160377358491,9.008773924307505
mutant_0003,0.0,0.0,0.83,0.83,0.83,94.94802568218293,93.56714285714287,8.739928612014925
mutant_0004,0.0,0.0,0.8,0.81,0.8,94.53504012841094,92.90886792452831,8.774690718274137
mutant_0005,0.0,0.0,0.8,0.81,0.8,94.54759229534517,92.77448598130842,8.636388020107855
mutant_0006,0.0,0.0,0.8,0.81,0.8,94.69942215088275,93.03171428571429,9.113509274827518
mutant_0007,0.0,0.0,0.7,0.75,0.71,93.77321027287314,90.13442307692308,10.154901959985743
mutant_0008,0.0,0.0,0.8,0.82,0.81,94.86160513643655,93.20695238095239,8.154901959985743
mutant_0009,0.0,0.0,0.79,0.81,0.79,94.75361155698239,92.82657142857144,8.55284196865778
mutant_0010,0.0,0.0,0.78,0.8,0.79,94.712455858748,92.53679245283018,8.154901959985743
mutant_0011,0.0,0.0,0.8,0.81,0.8,94.8307865168539,93.11000000000001,8.154901959985743
mutant_0012,0.0,0.0,0.79,0.81,0.79,94.68720706260036,92.7689523809524,8.154901959985743
mutant_0013,0.0,0.0,0.79,0.81,0.79,94.68247191011238,92.63490566037737,7.993533957750769
mutant_0014,0.0,0.0,0.79,0.8,0.79,94.64648475120386,92.53886792452829,8.154901959985743
mutant_0015,0.0,0.0,0.78,0.8,0.78,94.63833065810589,92.3289814814815,7.5347659050119855
mutant_0016,0.0,0.0,0.74,0.78,0.75,93.95000000000006,90.6795283018868,9.55284196865778
mutant_0017,0.0,0.0,0.53,0.63,0.55,91.57293739967896,85.64199999999997,9.309803919971486
mutant_0018,0.0,0.0,0.8,0.81,0.8,94.83398073836283,92.91972727272727,8.154901959985743
mutant_0019,0.0,0.0,0.66,0.72,0.67,93.48979133226321,89.6862857142857,9.853871964321762
mutant_0020,0.0,0.0,0.63,0.71,0.65,93.13966292134819,88.3773148148148,10.154901959985743
mutant_0021,0.0,0.0,0.73,0.77,0.74,94.22802568218299,91.07954128440367,9.309803919971486
mutant_0022,0.0,0.0,0.78,0.8,0.78,94.60428571428565,92.56245283018869,8.531652669587842
mutant_0023,0.0,0.0,0.71,0.75,0.72,93.7038844301765,89.80499999999999,10.154901959985743
mutant_0024,0.0,0.0,0.57,0.66,0.59,92.56468699839478,86.88596330275229,9.67778070526608
mutant_0025,0.0,0.0,0.76,0.79,0.77,94.48067415730334,92.08018691588785,8.649751981665837
mutant_0026,0.0,0.0,0.8,0.82,0.8,94.850304975923,93.33311320754717,8.531652669587842
mutant_0027,0.0,0.0,0.67,0.73,0.68,93.5808988764045,89.61342857142857,9.154901959985743
mutant_0028,0.0,0.0,0.72,0.76,0.73,93.99839486356335,90.7193269230769,9.008773924307505
mutant_0029,0.0,0.0,0.72,0.76,0.73,94.13844301765648,91.20770642201836,9.67778070526608
mutant_0030,0.0,0.0,0.63,0.71,0.65,93.21338683788122,88.89454545454547,9.67778070526608
mutant_0031,0.0,0.0,0.63,0.7,0.64,93.12887640449419,88.3051851851852,8.756961951313706
mutant_0032,0.0,0.0,0.79,0.81,0.8,94.94004815409309,93.16336538461539,8.230622673923861
mutant_0033,0.0,0.0,0.72,0.76,0.73,93.99996789727123,90.9888679245283,7.887730231582729
mutant_0034,0.0,0.0,0.82,0.83,0.82,95.02449438202252,93.43638095238094,8.67778070526608
mutant_0035,0.0,0.0,0.72,0.76,0.73,93.62483146067422,90.17104761904763,9.55284196865778
mutant_0036,0.0,0.0,0.8,0.81,0.8,94.66820224719096,92.96443396226415,8.521433504406156
mutant_0037,0.0,0.0,0.8,0.82,0.81,94.67080256821826,93.00103773584907,8.154901959985743
mutant_0038,0.0,0.0,0.61,0.69,0.62,92.9822632423756,88.32745454545453,9.67778070526608
mutant_0039,0.0,0.0,0.62,0.7,0.64,93.18168539325843,88.6637037037037,9.455931955649724
mutant_0040,0.0,0.0,0.61,0.68,0.62,93.20343499197423,89.32575471698112,8.79317412396815
mutant_0041,0.0,0.0,0.81,0.82,0.81,94.99987158908515,93.53638095238095,8.473660722610155
mutant_0042,0.0,0.0,0.57,0.66,0.59,92.51987158908513,87.24285714285715,10.154901959985743
mutant_0043,0.0,0.0,0.53,0.63,0.55,91.9477528089887,85.47982142857141,9.309803919971486
mutant_0044,0.0,0.0,0.82,0.83,0.82,95.15516853932581,93.76192307692307,8.154901959985743
mutant_0045,0.0,0.0,0.8,0.81,0.8,94.80890850722312,93.1268269230769,8.707743928643524
mutant_0046,0.0,0.0,0.72,0.76,0.72,94.00060995184587,90.63672897196261,10.154901959985743
mutant_0047,0.0,0.0,0.76,0.79,0.76,94.49256821829856,91.63792452830188,8.303643611266669
mutant_0048,0.0,0.0,0.62,0.69,0.63,93.11719101123606,88.43190909090909,8.563837352959244
mutant_0049,0.0,0.0,0.75,0.78,0.76,94.36622792937406,91.70150943396227,10.154901959985743
mutant_0050,0.0,0.0,0.52,0.63,0.54,91.47499197431777,87.50647727272727,9.67778070526608
mutant_0051,0.0,0.0,0.52,0.63,0.54,91.91083467094704,87.64955056179777,9.309803919971486
mutant_0052,0.0,0.0,0.53,0.64,0.55,91.87107544141259,85.41633027522936,9.200659450546418
mutant_0053,0.0,0.0,0.53,0.63,0.55,91.86138041733543,85.97090090090089,9.3767507096021
mutant_0054,0.0,0.0,0.75,0.78,0.76,94.2651845906903,91.26761904761905,9.075720713938118
mutant_0055,0.0,0.0,0.58,0.67,0.59,91.82720706260027,89.86768292682927,8.473660722610155
mutant_0056,0.0,0.0,0.66,0.72,0.67,93.38756019261629,89.36399999999999,9.075720713938118
mutant_0057,0.0,0.0,0.8,0.81,0.8,94.61463884430172,92.69637254901963,8.154901959985743
mutant_0058,0.0,0.0,0.82,0.83,0.82,95.15516853932581,93.76192307692307,8.154901959985743
mutant_0059,0.0,0.0,0.8,0.81,0.8,94.80890850722312,93.1268269230769,8.707743928643524
mutant_0060,0.0,0.0,0.63,0.7,0.64,93.01820224719104,88.06590476190475,9.3767507096021
mutant_0061,0.0,0.0,0.6,0.68,0.62,93.28192616372401,88.87567307692308,9.55284196865778
mutant_0062,0.0,0.0,0.62,0.69,0.64,93.02988764044939,88.87403846153846,9.075720713938118
mutant_0063,0.0,0.0,0.8,0.82,0.81,94.92032102728727,93.21364485981309,7.64569943765464
mutant_0064,0.0,0.0,0.81,0.82,0.81,94.77348314606742,93.1304761904762,8.154901959985743
mutant_0065,0.0,0.0,0.8,0.81,0.8,94.82240770465488,93.06235849056603,7.5347659050119855
mutant_0066,0.0,0.0,0.56,0.65,0.58,92.3533547351525,86.67394495412843,7.455931955649724
mutant_0067,0.0,0.0,0.8,0.82,0.81,94.8200642054575,92.80532110091742,7.359021942641668
mutant_0068,0.0,0.0,0.54,0.64,0.56,92.01794542536112,85.94241071428571,7.330776126069194
