mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.0,0.0,0.7,0.79,0.72,93.62885918003573,90.37,-1.19990985959298
mutant_0001,0.0,0.0,0.75,0.81,0.76,93.5873796791444,91.0562105263158,4.43391870706981
mutant_0002,0.0,0.0,0.68,0.77,0.69,93.39673796791442,89.61378640776698,5.05188657294559
mutant_0003,0.0,0.0,0.7,0.78,0.72,93.45048128342246,89.8635294117647,3.51954396167223
mutant_0004,0.0,0.0,0.68,0.78,0.7,93.41666666666669,89.73769230769231,-0.949936921033665
mutant_0005,0.0,0.0,0.7,0.78,0.72,93.63552584670241,90.43222222222221,3.98825387501043
mutant_0006,0.0,0.0,0.69,0.78,0.7,93.5281283422459,90.15245454545455,10.0891445895672
mutant_0007,0.0,0.0,0.65,0.75,0.67,93.17504456327987,89.71313725490198,1.91799664122587
mutant_0008,0.0,0.0,0.66,0.76,0.68,93.38844919786095,90.55357142857143,4.41160552119738
mutant_0009,0.0,0.0,0.69,0.78,0.71,93.2732620320856,89.37174311926606,4.54297589431117
mutant_0010,0.0,0.0,0.65,0.75,0.67,91.99930481283425,86.4289523809524,3.54212193753596
mutant_0011,0.0,0.0,0.8,0.84,0.81,94.5741711229947,91.8192,6.35395119003148
mutant_0012,0.0,0.0,0.71,0.79,0.73,93.72105169340466,90.478,-0.86632364748053
mutant_0013,0.0,0.0,0.71,0.79,0.73,93.72124777183589,90.17872549019606,0.974788375531121
mutant_0014,0.0,0.0,0.69,0.78,0.71,93.54850267379679,90.2665,1.1210286757876
mutant_0015,0.0,0.0,0.7,0.78,0.72,93.7558288770053,90.4914,1.25664900897705
mutant_0016,0.0,0.0,0.76,0.82,0.77,93.92827094474151,90.9332967032967,3.76280823997268
mutant_0017,0.0,0.0,0.67,0.77,0.69,93.4229411764706,89.62103773584904,3.20344346027145
mutant_0018,0.0,0.0,0.7,0.79,0.72,93.4601069518716,90.1155,2.58456291002015
mutant_0019,0.0,0.0,0.72,0.79,0.73,93.70270944741526,90.36448979591836,4.95942016684571
mutant_0020,0.0,0.0,0.67,0.77,0.69,93.46251336898388,89.73871559633028,3.36118003451427
mutant_0021,0.0,0.0,0.65,0.75,0.67,92.92238859180041,90.14448979591836,9.55759753894946
