mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.0,0.0,0.68,0.77,0.7,93.32340463458124,89.72601941747574,0.714825639
mutant_0001,0.0,0.0,0.69,0.78,0.71,93.50074866310162,89.89155339805825,3.251691129
mutant_0002,0.0,0.0,0.67,0.76,0.69,91.76099821746887,88.83730769230769,3.500549217
mutant_0003,0.0,0.0,0.7,0.79,0.72,93.598146167558,90.23247524752475,0.969219922
mutant_0004,0.0,0.0,0.72,0.79,0.73,92.79966131907317,89.6259405940594,4.393637647
mutant_0005,0.0,0.0,0.7,0.79,0.72,93.60119429590016,89.99107843137256,3.537505788
mutant_0006,0.0,0.0,0.71,0.79,0.73,93.7454545454545,90.15425925925923,5.805258246
mutant_0007,0.0,0.0,0.66,0.75,0.68,93.05147950089126,89.92754716981132,6.277039854
mutant_0008,0.0,0.0,0.66,0.76,0.68,93.28775401069524,90.38431578947366,2.865158397
mutant_0009,0.0,0.0,0.69,0.77,0.71,93.2137076648842,90.26584905660377,9.541342086
mutant_0010,0.0,0.0,0.69,0.78,0.7,93.4185918003565,89.73429906542057,2.17970219
mutant_0011,0.0,0.0,0.68,0.77,0.7,93.98730837789667,91.23908163265307,4.989260679
mutant_0012,0.0,0.0,0.67,0.76,0.69,93.90727272727264,90.82330275229357,2.928544233
mutant_0013,0.0,0.0,0.67,0.77,0.69,92.94572192513358,89.21576576576577,3.86251144
mutant_0014,0.0,0.0,0.65,0.74,0.67,92.31859180035656,88.28718446601944,5.693291268
mutant_0015,0.0,0.0,0.7,0.78,0.71,93.5902852049912,90.31350000000002,3.550615516
mutant_0016,0.0,0.0,0.65,0.75,0.67,92.29361853832437,87.12436170212766,3.659038299
mutant_0017,0.0,0.0,0.71,0.79,0.73,93.65185383244214,90.3621,1.363737984
mutant_0018,0.0,0.0,0.68,0.77,0.69,93.37470588235288,89.75058823529413,3.904288154
mutant_0019,0.0,0.0,0.73,0.8,0.74,93.86516934046345,91.10189473684211,4.487705005
mutant_0020,0.0,0.0,0.7,0.78,0.71,93.47340463458114,89.87372549019608,0.706534345
mutant_0021,0.0,0.0,0.76,0.81,0.77,94.30639928698754,92.03881720430107,-0.494590506
mutant_0022,0.0,0.0,0.74,0.81,0.76,94.27504456327992,91.4604347826087,1.24139761
mutant_0023,0.0,0.0,0.67,0.77,0.69,93.36049910873442,89.69081818181817,9.305001755
mutant_0024,0.0,0.0,0.65,0.75,0.67,92.86985739750455,89.01114285714286,4.039121399
mutant_0025,0.0,0.0,0.67,0.76,0.69,93.33096256684499,89.75798165137614,4.107913295
mutant_0026,0.0,0.0,0.65,0.75,0.67,92.94370766488413,89.28336538461538,5.308840215
mutant_0027,0.0,0.0,0.65,0.75,0.67,93.22590017825311,90.13442307692308,6.409842175
mutant_0028,0.0,0.0,0.68,0.77,0.7,93.91219251336894,90.52605504587156,5.261701316
mutant_0029,0.0,0.0,0.65,0.75,0.67,92.8916577540106,89.8718556701031,3.456075769
mutant_0030,0.0,0.0,0.68,0.77,0.7,93.04987522281631,88.72234234234233,3.32743678
mutant_0031,0.0,0.0,0.69,0.78,0.71,94.06224598930477,90.76844660194175,4.81911467
mutant_0032,0.0,0.0,0.69,0.78,0.7,93.41550802139032,89.66633027522937,2.080000747
mutant_0033,0.0,0.0,0.67,0.76,0.69,93.32395721925133,90.36669902912622,1.580206573
mutant_0034,0.0,0.0,0.65,0.76,0.67,93.12411764705882,89.6012380952381,5.432190294
mutant_0035,0.0,0.0,0.67,0.77,0.69,93.62019607843132,90.34846153846155,5.838579275
mutant_0036,0.0,0.0,0.66,0.76,0.68,93.49575757575757,90.10445454545453,6.146299206
mutant_0037,0.0,0.0,0.67,0.77,0.69,93.29584670231735,89.57009259259259,1.373626564
mutant_0038,0.0,0.0,0.67,0.77,0.69,93.63358288770056,90.13915094339623,-0.409687551
mutant_0039,0.0,0.0,0.69,0.78,0.71,93.3876648841355,89.71009803921567,-0.216137331
mutant_0040,0.0,0.0,0.68,0.77,0.7,92.84099821746884,89.25336538461539,6.179803177
mutant_0041,0.0,0.0,0.7,0.78,0.71,93.60475935828867,90.27120000000001,0.541487181
mutant_0042,0.0,0.0,0.67,0.77,0.69,93.37573975044559,89.92230769230771,3.031238155
mutant_0043,0.0,0.0,0.68,0.77,0.7,93.46821746880575,89.94962264150944,3.323197787
mutant_0044,0.0,0.0,0.68,0.77,0.7,93.28103386809276,89.64378378378377,5.997631377
mutant_0045,0.0,0.0,0.7,0.78,0.71,93.51000000000002,90.16450000000003,0.136215529
mutant_0046,0.0,0.0,0.67,0.77,0.69,93.65618538324418,89.94917431192661,9.052166414
mutant_0047,0.0,0.0,0.69,0.78,0.71,93.35741532976829,89.66380952380952,4.529418089
mutant_0048,0.0,0.0,0.71,0.79,0.73,93.64424242424232,90.28193877551021,3.78540603
mutant_0049,0.0,0.0,0.71,0.79,0.73,93.6494652406418,90.34899999999998,9.170166865
mutant_0050,0.0,0.0,0.73,0.8,0.74,93.80896613190725,90.69030612244897,5.009165975
mutant_0051,0.0,0.0,0.7,0.78,0.71,93.55716577540107,90.01524752475247,1.116737838
mutant_0052,0.0,0.0,0.7,0.79,0.72,93.56087344028528,89.95676470588235,0.09721405
mutant_0053,0.0,0.0,0.71,0.79,0.72,93.61183600713004,90.02441176470587,8.282153414
mutant_0054,0.0,0.0,0.68,0.77,0.7,93.54452762923346,89.86846153846153,8.384175029
mutant_0055,0.0,0.0,0.66,0.75,0.68,92.49010695187162,88.68427272727273,4.293995473
mutant_0056,0.0,0.0,0.65,0.75,0.67,93.34839572192509,91.27385542168675,5.245523248
mutant_0057,0.0,0.0,0.66,0.76,0.68,93.26165775401074,90.12842592592591,4.444719266
mutant_0058,0.0,0.0,0.7,0.78,0.72,93.58684491978613,90.0396,3.756573188
mutant_0059,0.0,0.0,0.66,0.75,0.68,92.37463458110508,87.44689999999999,8.883225916
mutant_0060,0.0,0.0,0.71,0.79,0.73,93.61978609625663,90.26409999999998,-3.37720076
mutant_0061,0.0,0.0,0.67,0.77,0.69,93.42249554367203,89.75467889908259,8.555849245
mutant_0062,0.0,0.0,0.79,0.84,0.8,94.69203208556148,91.88755319148936,3.632061541
