mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.0,0.0,0.33,0.56,0.38,90.09533141210363,85.71672566371682,9.2518119729938
mutant_0001,0.0,0.0,0.33,0.55,0.37,90.28949087415944,88.6668686868687,9.060480747381382
mutant_0002,0.0,0.0,0.33,0.56,0.38,90.02211335254565,86.86739130434785,9.0268721464003
mutant_0003,0.0,0.0,0.34,0.57,0.39,90.04634005763691,86.76654205607477,9.008773924307503
mutant_0004,0.0,0.0,0.33,0.55,0.37,90.2784149855908,87.36980392156862,8.97061622231479
mutant_0005,0.0,0.0,0.33,0.56,0.38,90.2127857829011,87.8752427184466,8.694648630553376
mutant_0006,0.0,0.0,0.32,0.55,0.37,90.13601344860716,85.84290598290598,8.619788758288394
mutant_0007,0.0,0.0,0.33,0.56,0.38,90.72529298751212,88.05778846153846,8.595166283380062
mutant_0008,0.0,0.0,0.33,0.56,0.38,90.12148895292992,86.1364705882353,8.578396073130168
mutant_0009,0.0,0.0,0.33,0.56,0.38,89.9852257444765,85.60471074380163,8.578396073130168
mutant_0010,0.0,0.0,0.33,0.56,0.38,90.32911623439001,87.64876190476191,8.52432881167557
mutant_0011,0.0,0.0,0.32,0.55,0.37,90.1602113352546,86.5175590551181,8.522878745280337
mutant_0012,0.0,0.0,0.33,0.56,0.38,90.40757925072052,88.28846153846153,8.469800301796917
mutant_0013,0.0,0.0,0.33,0.56,0.38,90.19761767531202,85.46338345864662,8.465973893943865
mutant_0014,0.0,0.0,0.33,0.56,0.38,90.23148895292988,86.45572649572648,8.455931955649724
mutant_0015,0.0,0.0,0.33,0.56,0.37,90.26891450528313,87.57102040816325,8.399027104313252
mutant_0016,0.0,0.0,0.33,0.56,0.37,90.12585975024018,86.22862068965514,8.388276691992658
mutant_0017,0.0,0.0,0.34,0.56,0.39,90.50075888568684,87.80495145631066,8.341035157335565
mutant_0018,0.0,0.0,0.33,0.56,0.38,90.10157540826138,87.73225490196077,8.330683119433887
mutant_0019,0.0,0.0,0.33,0.56,0.38,90.47685878962534,87.79414414414414,8.316052869248487
mutant_0020,0.0,0.0,0.34,0.56,0.39,90.47835734870327,87.39056074766354,8.296708621881338
mutant_0021,0.0,0.0,0.33,0.56,0.38,90.21771373679154,86.50723214285713,8.29413628771608
mutant_0022,0.0,0.0,0.33,0.56,0.38,90.14025936599438,85.38584,8.271646217978772
mutant_0023,0.0,0.0,0.33,0.56,0.38,90.31030739673406,88.17300000000003,8.247183568811728
mutant_0024,0.0,0.0,0.33,0.56,0.38,90.17379442843405,87.04277227722774,8.201349354554731
mutant_0025,0.0,0.0,0.33,0.56,0.38,90.01451488952924,87.52264705882354,8.191114132640188
mutant_0026,0.0,0.0,0.33,0.56,0.38,90.37555235350617,88.2121649484536,8.187086643357144
mutant_0027,0.0,0.0,0.33,0.56,0.37,89.88330451488946,86.45815789473684,8.174573882232178
mutant_0028,0.0,0.0,0.33,0.56,0.38,89.98702209414026,88.00663265306122,8.170053304058364
mutant_0029,0.0,0.0,0.33,0.56,0.38,90.08657060518726,87.34405660377358,8.16621562534352
mutant_0030,0.0,0.0,0.33,0.56,0.37,90.23766570605197,85.20764227642276,8.159266765388193
mutant_0031,0.0,0.0,0.33,0.56,0.38,90.12679154658981,86.79208695652173,8.153044674980176
mutant_0032,0.0,0.0,0.33,0.56,0.38,90.23107588856874,88.16732673267326,8.152427340857887
mutant_0033,0.0,0.0,0.33,0.56,0.37,90.34963496637849,86.11525862068966,8.148130399270233
mutant_0034,0.0,0.0,0.32,0.56,0.37,90.4396253602305,88.88950000000001,8.136082623042139
mutant_0035,0.0,0.0,0.33,0.56,0.38,90.09583093179626,85.40523364485982,8.136082623042139
