mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.04,0.0,0.65,0.72,0.68,91.66539594843462,88.4511650485437,-0.0863564079672612
mutant_0001,0.04,0.0,0.66,0.73,0.69,91.9401657458564,88.71064220183486,-0.483600988977599
mutant_0002,0.04,0.0,0.67,0.73,0.7,91.97366482504601,89.00842592592595,0.2002576143426598
mutant_0003,0.04,0.0,0.67,0.73,0.7,92.00401473296503,88.9859090909091,0.2567617005054171
mutant_0004,0.04,0.0,0.63,0.71,0.67,91.65202578268878,88.93147058823529,0.1620119476482072
mutant_0005,0.04,0.0,0.65,0.72,0.68,91.71955801104968,88.68650485436892,0.2416486649531824
mutant_0006,0.04,0.0,0.64,0.72,0.67,91.53996316758743,88.79158415841584,0.1396483013927879
mutant_0007,0.04,0.0,0.64,0.72,0.67,91.6079005524862,88.40619999999998,0.2476765369082733
mutant_0008,0.04,0.0,0.62,0.7,0.66,91.46917127071828,88.38785714285714,0.3972126032862674
mutant_0009,0.04,0.0,0.64,0.72,0.68,91.6498710865562,88.94603960396039,0.327898493972951
mutant_0010,0.04,0.0,0.64,0.72,0.68,91.87173112338846,88.95470588235294,0.3521837316709496
mutant_0011,0.04,0.0,0.64,0.71,0.68,91.82051565377527,88.8607339449541,0.2989818761967142
mutant_0012,0.04,0.0,0.64,0.72,0.68,91.6669797421732,88.85079207920792,0.2531575762263797
mutant_0013,0.04,0.0,0.64,0.72,0.68,91.8232965009207,88.8962745098039,0.2984453052809429
mutant_0014,0.04,0.0,0.62,0.7,0.66,91.42469613259676,88.95363636363636,0.2964022662668097
mutant_0015,0.04,0.0,0.65,0.72,0.69,91.93823204419897,89.02495412844038,0.3047215572359711
mutant_0016,0.04,0.0,0.64,0.72,0.68,91.63904235727439,88.399801980198,0.3389694011839171
mutant_0017,0.04,0.0,0.63,0.71,0.67,91.56644567219153,88.81519607843138,0.1703768016144223
mutant_0018,0.04,0.0,0.63,0.71,0.67,91.31248618784534,88.21121212121211,0.2744904674497231
mutant_0019,0.04,0.0,0.64,0.72,0.68,91.6399815837937,88.4059405940594,0.2134345155728125
mutant_0020,0.04,0.0,0.63,0.71,0.67,91.60425414364647,88.45290000000001,-0.5303443925265747
mutant_0021,0.04,0.0,0.63,0.71,0.67,91.75659300184162,88.735,0.3110183758613332
mutant_0022,0.04,0.0,0.63,0.72,0.67,91.61257826887669,88.37297029702971,0.1976402483878152
mutant_0023,0.04,0.0,0.64,0.71,0.67,91.8219337016574,89.29295918367346,0.0192327466083116
mutant_0024,0.04,0.0,0.64,0.72,0.67,91.80007366482508,88.91627450980391,0.214050973407391
mutant_0025,0.04,0.0,0.63,0.71,0.67,91.7642173112338,89.12897959183672,0.0392777562828085
mutant_0026,0.04,0.0,0.63,0.71,0.67,91.50830570902399,88.61555555555556,-0.0117439742780834
mutant_0027,0.04,0.0,0.63,0.72,0.67,91.61055248618777,88.43880000000001,0.1266277914164975
mutant_0028,0.04,0.0,0.64,0.72,0.67,91.60602209944744,88.4145,0.0335338807517978
mutant_0029,0.04,0.0,0.64,0.72,0.67,91.59749539594843,88.3051485148515,0.0429120409377293
mutant_0030,0.04,0.0,0.64,0.72,0.67,91.62436464088404,88.4261,0.2605657640910946
mutant_0031,0.04,0.0,0.64,0.72,0.68,91.65567219152857,89.1002,0.0467657776937123
mutant_0032,0.04,0.0,0.64,0.72,0.67,91.61832412523023,88.40910000000002,0.0782532890763291
mutant_0033,0.04,0.0,0.63,0.71,0.67,91.80747697974223,89.25438775510204,0.2400440969289066
mutant_0034,0.04,0.0,0.63,0.71,0.67,91.54364640883976,88.69709999999999,0.3225789850024837
mutant_0035,0.04,0.0,0.63,0.71,0.67,91.5502578268876,88.34079999999999,0.1563796278430928
mutant_0036,0.04,0.0,0.64,0.72,0.67,91.5629650092082,88.40549999999999,-0.0468321926171237
mutant_0037,0.04,0.0,0.64,0.72,0.67,91.61591160220989,88.46179999999998,0.051512212700619
