mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.07,0.0,0.69,0.73,0.74,91.13228840125394,90.6487081339713,9.646671578585302
mutant_0001,0.07,0.0,0.65,0.7,0.69,90.61861024033448,89.88212264150944,9.404227046333412
mutant_0002,0.07,0.0,0.68,0.72,0.73,91.00912225705324,90.70805687203791,9.255789424645966
mutant_0003,0.06,0.0,0.67,0.71,0.71,90.25027168234071,89.77596244131456,9.640237472696636
mutant_0004,0.07,0.0,0.66,0.71,0.71,91.1770846394985,90.43197115384616,9.222265102262716
mutant_0005,0.07,0.0,0.67,0.71,0.71,90.87500522466047,90.61649289099527,9.563382163359156
mutant_0006,0.07,0.0,0.69,0.73,0.74,91.25724137931039,90.9344927536232,9.234931147117608
mutant_0007,0.07,0.0,0.68,0.72,0.73,91.09895506792067,90.68333333333334,9.176726030494615
mutant_0008,0.07,0.0,0.68,0.73,0.73,91.0050679205851,90.57423076923077,9.725310154390646
mutant_0009,0.07,0.0,0.65,0.7,0.69,90.60393939393941,89.7538679245283,7.250388884045678
mutant_0010,0.07,0.0,0.68,0.73,0.73,90.7051724137932,89.94725118483412,9.278809695036712
mutant_0011,0.07,0.0,0.7,0.74,0.74,91.15151515151513,90.96000000000001,9.72105705742426
mutant_0012,0.08,0.0,0.64,0.69,0.69,90.38236154649944,88.49838095238097,7.96723082819045
mutant_0013,0.07,0.0,0.7,0.73,0.74,90.77071055381401,90.46657142857143,9.60729961349641
mutant_0014,0.07,0.0,0.67,0.72,0.71,90.86721003134805,90.45966981132077,7.0
mutant_0015,0.07,0.0,0.69,0.73,0.73,90.83894461859974,90.60862559241706,9.255436055508648
mutant_0016,0.07,0.0,0.67,0.71,0.71,90.75225705329144,89.87723004694836,8.41918342588373
mutant_0017,0.07,0.0,0.69,0.73,0.73,91.17351097178675,90.91517073170732,9.304558723729125
mutant_0018,0.07,0.0,0.7,0.74,0.74,89.27311389759664,87.9288785046729,9.72444200498974
mutant_0019,0.07,0.0,0.69,0.73,0.74,91.25565308254964,90.87624390243901,9.29119244952304
mutant_0020,0.07,0.0,0.68,0.72,0.72,90.68159874608165,90.32632850241544,9.211298735756149
mutant_0021,0.07,0.0,0.68,0.72,0.73,91.09397074190176,90.84785714285715,9.222627322272174
mutant_0022,0.07,0.0,0.71,0.74,0.75,90.99408568443066,90.6966355140187,9.673392840843263
mutant_0023,0.07,0.0,0.7,0.73,0.74,90.91835945663536,90.39449760765552,9.559065502369924
mutant_0024,0.07,0.0,0.68,0.73,0.73,91.14245559038659,90.81458937198066,9.790090601897916
mutant_0025,0.07,0.0,0.7,0.73,0.74,90.84857889237196,90.3633962264151,9.854211064945492
mutant_0026,0.07,0.0,0.69,0.73,0.73,90.74599791013588,90.07938388625593,9.674857006102156
mutant_0027,0.07,0.0,0.7,0.73,0.74,90.91313479623824,90.27627906976745,9.70751940885192
mutant_0028,0.07,0.0,0.67,0.72,0.72,91.043855799373,90.5822685185185,7.180182065400968
mutant_0029,0.07,0.0,0.69,0.72,0.73,91.11437826541275,90.89696682464457,9.266681549359012
mutant_0030,0.07,0.0,0.69,0.73,0.73,89.42547544409629,89.04229268292683,9.26408487785918
mutant_0031,0.07,0.0,0.66,0.71,0.71,90.81126436781604,90.2785779816514,9.23328144555534
mutant_0032,0.08,0.0,0.63,0.68,0.67,90.2864785788925,88.92899999999999,9.236943392423411
mutant_0033,0.08,0.0,0.61,0.67,0.66,90.03408568443058,88.36122641509435,8.952987986295884
mutant_0034,0.07,0.0,0.65,0.7,0.7,90.6174921630094,89.81544600938969,9.397747899771826
mutant_0035,0.07,0.0,0.69,0.73,0.74,91.31031347962382,91.21795238095237,9.224491490159698
mutant_0036,0.06,0.0,0.67,0.72,0.71,90.92796238244514,90.69452830188682,9.194199300873477
mutant_0037,0.07,0.0,0.72,0.74,0.77,90.36202716823402,89.84200000000003,9.286893029429464
mutant_0038,0.07,0.0,0.65,0.7,0.69,90.47848484848481,89.98736842105264,9.318734985810638
mutant_0039,0.07,0.0,0.64,0.69,0.69,90.70095088819231,90.31937198067634,7.0
mutant_0040,0.08,0.0,0.66,0.7,0.7,90.3780877742947,89.37761261261261,10.01896707652883
mutant_0041,0.07,0.0,0.7,0.73,0.75,90.97683385579924,90.50789473684213,9.793054277028942
mutant_0042,0.07,0.0,0.65,0.7,0.7,90.49094043887153,89.46180555555556,8.017594776501447
mutant_0043,0.07,0.0,0.66,0.71,0.71,90.89403343782669,90.4167924528302,8.960596716574935
mutant_0044,0.07,0.0,0.67,0.72,0.72,90.7666980146291,89.98272300469483,8.809671606635023
mutant_0045,0.07,0.0,0.7,0.73,0.74,90.8226227795193,90.38924528301887,9.831549234255654
mutant_0046,0.08,0.0,0.67,0.72,0.72,90.95812957157796,89.89300000000001,9.16459740865438
mutant_0047,0.08,0.0,0.65,0.7,0.7,90.82463949843259,90.0569483568075,9.524870143328735
mutant_0048,0.07,0.0,0.68,0.72,0.72,90.66589341692793,90.13722488038277,9.2377394380098
mutant_0049,0.07,0.0,0.71,0.74,0.75,91.03889237199567,90.76915094339621,9.778439036934554
mutant_0050,0.07,0.0,0.69,0.74,0.74,91.39486938349016,91.18673170731707,8.110585358652147
mutant_0051,0.07,0.0,0.63,0.68,0.67,89.86122257053289,88.2712676056338,9.262534248557076
mutant_0052,0.07,0.0,0.68,0.72,0.72,91.26108672936263,90.42253588516748,9.735252446165555
mutant_0053,0.07,0.0,0.7,0.73,0.74,90.90273772204787,90.22966666666665,9.279374209632753
mutant_0054,0.07,0.0,0.69,0.73,0.74,91.35035527690714,91.02096618357488,9.778274824834602
mutant_0055,0.07,0.0,0.66,0.71,0.71,90.70774294670848,90.31364928909953,9.41005441918118
mutant_0056,0.07,0.0,0.69,0.73,0.73,91.30549634273771,90.86222222222221,9.13123927929914
mutant_0057,0.07,0.0,0.66,0.7,0.7,90.70820271682341,90.02862559241707,9.729300190654977
mutant_0058,0.07,0.0,0.67,0.71,0.71,91.2302821316615,90.0458173076923,8.781916372681463
mutant_0059,0.07,0.0,0.68,0.73,0.73,89.34568443051207,88.01640186915888,8.885610541377707
mutant_0060,0.07,0.0,0.68,0.72,0.72,90.97636363636343,90.741875,9.267306732471738
mutant_0061,0.07,0.0,0.65,0.7,0.7,90.2433124346917,89.38255813953488,8.994613367287378
mutant_0062,0.07,0.0,0.68,0.72,0.72,90.61520376175555,90.17076555023925,9.317841829942743
mutant_0063,0.07,0.0,0.68,0.72,0.73,91.00467084639499,90.60990338164251,9.77374603009244
mutant_0064,0.07,0.0,0.67,0.72,0.72,88.90464994775344,87.59690821256038,9.106847935646778
mutant_0065,0.07,0.0,0.66,0.7,0.7,90.59435736677123,89.68130841121496,8.668357172821224
mutant_0066,0.06,0.0,0.67,0.72,0.71,90.55252873563212,89.84476415094342,9.078279649824092
mutant_0067,0.07,0.0,0.71,0.73,0.75,90.92352142110761,90.58112149532711,9.70454746153093
mutant_0068,0.07,0.0,0.68,0.72,0.73,90.77119122257048,90.09771428571428,9.522113330028766
mutant_0069,0.07,0.0,0.68,0.72,0.72,90.70464994775338,90.0043396226415,7.0
mutant_0070,0.07,0.0,0.7,0.74,0.74,91.09237199582029,90.58933333333334,9.14602066184021
mutant_0071,0.07,0.0,0.69,0.73,0.73,91.15323928944625,90.57554502369668,8.944533525131424
mutant_0072,0.07,0.0,0.64,0.7,0.69,90.67932079414832,90.05632558139536,8.40499935234097
mutant_0073,0.07,0.0,0.64,0.69,0.69,90.3423719958202,89.31027906976743,8.991303435069218
mutant_0074,0.07,0.0,0.68,0.72,0.73,91.19926854754426,90.93236966824644,7.899532152759237
mutant_0075,0.07,0.0,0.66,0.7,0.7,90.4432706374085,89.39121495327103,8.48874777167096
mutant_0076,0.07,0.0,0.71,0.74,0.75,90.80430512016711,90.18502325581395,9.164650600393898
mutant_0077,0.07,0.0,0.69,0.73,0.73,90.55252873563225,90.0325352112676,9.407609359009676
mutant_0078,0.07,0.0,0.67,0.71,0.71,90.78385579937307,89.98655660377358,8.922762898362281
mutant_0079,0.07,0.0,0.7,0.73,0.74,90.77152560083597,89.6997142857143,7.0
mutant_0080,0.07,0.0,0.7,0.74,0.75,90.89298850574701,90.24061904761905,9.311848712397564
mutant_0081,0.07,0.0,0.68,0.72,0.73,91.0910867293626,90.92535885167463,7.0
mutant_0082,0.07,0.0,0.68,0.73,0.73,91.02834900731438,90.96251184834125,9.858622153155814
mutant_0083,0.07,0.0,0.68,0.72,0.72,91.08573667711597,90.8001421800948,9.719349322758022
mutant_0084,0.07,0.0,0.64,0.69,0.69,90.34727272727248,89.36220657276996,8.14019610265215
mutant_0085,0.07,0.0,0.66,0.71,0.71,90.83772204806682,90.34654028436019,9.152953026402876
mutant_0086,0.07,0.0,0.69,0.73,0.73,91.0308568443051,90.79717703349283,9.289847281983429
mutant_0087,0.07,0.0,0.65,0.7,0.7,90.59884012539176,90.17652582159624,8.469421339803255
mutant_0088,0.07,0.0,0.7,0.73,0.74,90.86691745036576,90.309,9.665468440976165
mutant_0089,0.07,0.0,0.69,0.73,0.74,91.29075235109724,91.06909952606635,8.976588936459798
mutant_0090,0.07,0.0,0.68,0.72,0.72,90.9494984326018,90.50774647887324,9.076523200449678
mutant_0091,0.07,0.0,0.65,0.7,0.69,90.50358411703243,89.65089622641509,9.353086902135416
mutant_0092,0.07,0.0,0.7,0.74,0.75,90.9780982236155,90.29832535885167,9.328239150171813
mutant_0093,0.07,0.0,0.64,0.69,0.69,90.66707419017759,89.40590697674419,8.97170925878367
mutant_0094,0.07,0.0,0.71,0.74,0.75,90.9689864158829,90.37712264150943,10.00214853076226
mutant_0095,0.07,0.0,0.71,0.74,0.75,90.96286311389765,90.28654028436019,9.33878038443464
mutant_0096,0.07,0.0,0.68,0.72,0.73,91.1137199582027,90.32888888888888,8.586857571227663
mutant_0097,0.07,0.0,0.68,0.72,0.72,91.282842215256,90.95710144927537,7.406093514210638
mutant_0098,0.07,0.0,0.7,0.74,0.74,89.23449320794157,87.68280373831776,7.0
mutant_0099,0.07,0.0,0.68,0.72,0.72,90.79691745036568,90.28531100478469,9.461300755173587
mutant_0100,0.07,0.0,0.68,0.72,0.73,90.682842215256,89.77323943661972,9.410537722218562
mutant_0101,0.07,0.0,0.71,0.73,0.75,90.96610240334391,90.64331753554504,9.62214278490934
mutant_0102,0.07,0.0,0.68,0.73,0.73,90.99965517241384,90.61970731707318,9.310871081636824
mutant_0103,0.07,0.0,0.64,0.69,0.68,90.21610240334378,89.15454976303317,7.946931582172744
mutant_0104,0.07,0.0,0.68,0.72,0.73,90.78359456635313,90.17697115384614,9.385536548956036
mutant_0105,0.07,0.0,0.69,0.72,0.73,90.97314524555895,90.41661904761904,9.451959076249324
mutant_0106,0.07,0.0,0.68,0.72,0.72,90.65563218390808,90.16840182648403,9.117339087661312
mutant_0107,0.07,0.0,0.69,0.73,0.74,90.76033437826537,90.20957746478874,9.909495622928803
mutant_0108,0.07,0.0,0.69,0.73,0.73,91.2301880877744,90.882,9.15967156186692
mutant_0109,0.08,0.0,0.66,0.7,0.71,90.76904911180763,89.79536231884057,9.166908382271345
mutant_0110,0.07,0.0,0.68,0.73,0.73,90.83588296760708,90.26366666666667,9.673376417195728
mutant_0111,0.07,0.0,0.71,0.74,0.75,91.00552769070006,90.31698113207547,9.2255122349889
mutant_0112,0.07,0.0,0.7,0.73,0.74,90.87977011494253,90.08245192307693,9.865621688874349
mutant_0113,0.07,0.0,0.69,0.73,0.73,91.33111807732492,90.91446601941747,8.609462127926713
mutant_0114,0.07,0.0,0.67,0.72,0.72,91.32869383490063,91.01388349514563,8.999754223694394
mutant_0115,0.07,0.0,0.7,0.73,0.74,90.9020480668756,90.34471428571429,9.71528321121906
mutant_0116,0.07,0.0,0.71,0.74,0.75,91.48514106583059,91.21723300970872,9.127806361071388
mutant_0117,0.07,0.0,0.72,0.75,0.76,89.09156739811905,87.48069444444444,7.0
mutant_0118,0.07,0.0,0.66,0.7,0.7,90.97541274817132,90.47857819905214,9.146133115067364
mutant_0119,0.08,0.0,0.65,0.7,0.7,90.61246603970723,89.89429951690822,8.585172206176576
mutant_0120,0.07,0.0,0.69,0.73,0.73,89.01607105538146,87.50779816513761,9.382419716743392
mutant_0121,0.07,0.0,0.66,0.7,0.7,90.72218390804593,90.388125,8.223025964726304
mutant_0122,0.08,0.0,0.65,0.7,0.7,90.36144200626958,88.98170616113744,7.685241904041536
mutant_0123,0.07,0.0,0.68,0.72,0.73,90.74622779519338,90.01287081339714,9.735157028159668
mutant_0124,0.07,0.0,0.67,0.72,0.72,90.93092998955075,90.47562500000001,9.084030181368258
mutant_0125,0.07,0.0,0.66,0.71,0.7,90.53513061650987,89.69364928909953,8.800219032307202
mutant_0126,0.06,0.0,0.68,0.72,0.72,90.55149425287352,90.1942995169082,9.89372450672792
mutant_0127,0.07,0.0,0.67,0.71,0.71,91.15274817136894,90.83691943127963,7.0
mutant_0128,0.07,0.0,0.63,0.69,0.68,90.33925809822365,89.27892523364486,8.357018209180723
mutant_0129,0.08,0.0,0.68,0.72,0.73,91.0958516196446,90.16341121495327,10.03727511906854
mutant_0130,0.08,0.0,0.69,0.73,0.74,91.34661442006272,90.48556097560976,8.842089177155007
mutant_0131,0.07,0.0,0.7,0.73,0.74,90.80610240334387,90.1287019230769,9.979647164449034
mutant_0132,0.07,0.0,0.67,0.72,0.72,90.75472309299897,90.45478672985782,10.01331850736412
mutant_0133,0.07,0.0,0.68,0.72,0.73,91.06386624869386,90.59023474178404,9.62685440514943
mutant_0134,0.07,0.0,0.7,0.74,0.74,91.4316091954023,91.32586538461538,8.918368122696316
mutant_0135,0.07,0.0,0.61,0.67,0.66,90.45933124346921,89.19972093023257,9.026644384563804
mutant_0136,0.07,0.0,0.7,0.73,0.74,91.19798328108682,90.77537735849056,9.620318316155885
mutant_0137,0.07,0.0,0.66,0.7,0.7,90.93983281086729,89.93029556650245,8.924084466131173
mutant_0138,0.07,0.0,0.7,0.74,0.75,90.97146290491125,90.30415458937202,9.225510872853407
mutant_0139,0.07,0.0,0.68,0.72,0.73,90.65775339602926,90.13156398104265,9.778941994811666
mutant_0140,0.07,0.0,0.71,0.74,0.75,91.48882967607103,91.23942307692309,7.322911979577936
mutant_0141,0.07,0.0,0.67,0.72,0.72,90.8210449320794,90.03237209302326,9.274017106062422
mutant_0142,0.07,0.0,0.69,0.73,0.74,91.19909090909091,90.92805687203791,9.258303859168596
mutant_0143,0.07,0.0,0.67,0.71,0.71,90.85478578892375,90.37952153110048,7.0
mutant_0144,0.07,0.0,0.69,0.73,0.73,91.36591431556953,91.08307317073171,7.920894426556085
mutant_0145,0.07,0.0,0.65,0.7,0.69,90.26227795193319,88.98041860465115,9.129984289431633
mutant_0146,0.07,0.0,0.69,0.73,0.74,91.10821316614422,90.8057345971564,9.267239827621774
mutant_0147,0.07,0.0,0.66,0.71,0.71,90.66895506792068,90.09582159624414,9.37608528392866
mutant_0148,0.07,0.0,0.67,0.72,0.72,91.01034482758645,90.47893023255814,8.784919527994672
mutant_0149,0.07,0.0,0.64,0.69,0.69,90.64573667711599,89.96660550458716,9.165665300174055
mutant_0150,0.07,0.0,0.66,0.71,0.7,90.64169278996867,89.30454545454545,9.261350261072522
mutant_0151,0.07,0.0,0.69,0.73,0.74,91.35038662486917,91.10769230769232,8.686272205850983
mutant_0152,0.07,0.0,0.69,0.73,0.73,91.32158829676075,90.71753623188405,8.907942733206509
mutant_0153,0.07,0.0,0.7,0.73,0.74,90.95401253918499,90.45356807511737,9.856412820137422
mutant_0154,0.07,0.0,0.65,0.7,0.7,90.52486938349017,89.79344339622641,8.778708511539051
mutant_0155,0.07,0.0,0.68,0.73,0.73,90.39360501567374,89.3668720379147,9.491871275105154
mutant_0156,0.07,0.0,0.63,0.68,0.68,90.1449111807733,89.23582938388627,8.275329933780348
mutant_0157,0.07,0.0,0.67,0.72,0.72,90.75058516196444,90.31165876777253,9.380832339095637
mutant_0158,0.07,0.0,0.62,0.67,0.67,89.81821316614423,88.60792452830188,8.478023570594527
mutant_0159,0.07,0.0,0.69,0.73,0.73,90.95659352142115,90.26167441860466,9.053584380426129
mutant_0160,0.07,0.0,0.69,0.73,0.73,90.80680250783696,90.17876190476191,9.547773058512927
mutant_0161,0.07,0.0,0.67,0.72,0.72,90.94192267502622,90.46847222222223,9.74374179324053
mutant_0162,0.07,0.0,0.69,0.73,0.74,91.15921630094054,90.93538095238095,9.932775985132322
mutant_0163,0.07,0.0,0.65,0.7,0.7,90.78551724137913,90.32208530805687,8.98535877820761
mutant_0164,0.07,0.0,0.66,0.71,0.71,90.96959247648903,90.46840375586854,8.811372490925166
mutant_0165,0.06,0.0,0.69,0.73,0.73,91.02292580982231,90.91961904761907,9.354148907358804
mutant_0166,0.07,0.0,0.68,0.72,0.72,91.12168234064798,90.97042654028435,9.6680800687199
mutant_0167,0.08,0.0,0.64,0.69,0.69,90.3595088819225,89.125023923445,8.61566279813173
mutant_0168,0.07,0.0,0.68,0.72,0.73,91.34342737722045,91.03732057416269,9.04688644747482
mutant_0169,0.07,0.0,0.69,0.73,0.74,91.12453500522467,90.74502347417841,9.142335641956398
mutant_0170,0.07,0.0,0.7,0.74,0.74,90.97373040752345,90.29364928909952,7.0
mutant_0171,0.07,0.0,0.69,0.73,0.74,89.17824451410664,88.00350710900473,9.383293091541486
mutant_0172,0.07,0.0,0.68,0.72,0.72,91.1237199582026,90.76193396226415,8.351561671648184
mutant_0173,0.07,0.0,0.72,0.74,0.76,91.07245559038664,90.43867924528301,10.02226416358591
mutant_0174,0.07,0.0,0.69,0.73,0.74,91.35741901776393,91.09369668246444,8.828495133353233
mutant_0175,0.07,0.0,0.68,0.72,0.73,90.91617554858932,90.16051886792452,9.436528102609342
mutant_0176,0.07,0.0,0.64,0.69,0.69,90.01616509926845,88.8935046728972,7.549748401870652
mutant_0177,0.07,0.0,0.68,0.73,0.73,90.99296760710575,90.85818181818182,9.245833212269126
mutant_0178,0.07,0.0,0.67,0.72,0.72,91.00189132706363,90.76153846153846,9.035486078955884
mutant_0179,0.07,0.0,0.65,0.7,0.7,90.69114942528735,90.08028436018958,9.517562901444624
mutant_0180,0.07,0.0,0.68,0.72,0.73,89.06849529780575,87.54421296296296,7.383351581701577
mutant_0181,0.07,0.0,0.68,0.73,0.73,90.72688610240338,89.98009523809523,9.3669704831439
mutant_0182,0.07,0.0,0.69,0.73,0.74,90.79326018808777,90.44161137440759,9.702622609305726
mutant_0183,0.07,0.0,0.62,0.68,0.67,90.61679205851614,89.69632850241545,8.965695907440075
mutant_0184,0.07,0.0,0.71,0.74,0.75,91.28783699059562,90.86052884615384,9.069204790485648
mutant_0185,0.07,0.0,0.68,0.72,0.73,90.68011494252875,90.20536231884059,7.0
mutant_0186,0.07,0.0,0.64,0.69,0.69,90.0607941483804,88.9717289719626,7.581128877878238
mutant_0187,0.07,0.0,0.69,0.73,0.73,89.21498432601875,88.21849765258216,7.0
mutant_0188,0.07,0.0,0.7,0.74,0.75,90.9617763845351,90.29966666666667,7.0
mutant_0189,0.07,0.0,0.69,0.73,0.73,90.92784743991643,90.60062801932366,8.479848636155042
mutant_0190,0.07,0.0,0.71,0.74,0.75,90.94834900731449,90.62957345971564,9.457051706702392
mutant_0191,0.07,0.0,0.68,0.72,0.72,90.71204806687568,90.11264423076923,10.10860783207197
mutant_0192,0.08,0.0,0.67,0.71,0.72,90.92911180773257,90.23940886699506,7.372272938337749
mutant_0193,0.07,0.0,0.65,0.7,0.7,90.81318704284223,89.972118226601,8.743379635598151
mutant_0194,0.06,0.0,0.67,0.72,0.71,91.01721003134809,90.76363636363635,8.553670539851169
mutant_0195,0.07,0.0,0.64,0.69,0.69,90.81189132706383,90.05439814814815,8.660187728031197
mutant_0196,0.07,0.0,0.68,0.72,0.72,90.7398850574713,90.27086124401913,7.043649182636845
mutant_0197,0.07,0.0,0.7,0.73,0.74,90.85719958202716,90.12504716981132,9.956251654253828
mutant_0198,0.07,0.0,0.69,0.72,0.73,90.75943573667716,90.21593301435405,9.374601964205132
mutant_0199,0.07,0.0,0.64,0.69,0.69,90.67987460815046,89.68,8.906985179209201
mutant_0200,0.07,0.0,0.68,0.72,0.72,91.09403343782658,90.79199052132702,8.81272658353943
mutant_0201,0.08,0.0,0.64,0.69,0.69,90.11122257053296,89.44971563981042,9.25299384492538
mutant_0202,0.07,0.0,0.64,0.69,0.68,90.84379310344836,89.95420792079207,8.868920083335375
mutant_0203,0.07,0.0,0.67,0.72,0.71,90.62323928944616,89.86,8.310651879637277
mutant_0204,0.07,0.0,0.69,0.73,0.74,91.46675026123302,91.26317535545023,7.943164109264865
mutant_0205,0.07,0.0,0.68,0.72,0.72,90.97774294670845,90.26530805687206,8.97280487533124
mutant_0206,0.08,0.0,0.7,0.73,0.74,90.83194357366767,89.89195348837208,9.000318900066167
mutant_0207,0.08,0.0,0.66,0.7,0.7,90.49791013584112,88.99786729857821,9.5521205531625
mutant_0208,0.07,0.0,0.68,0.73,0.73,90.7237513061651,90.02577464788733,9.339083475493387
mutant_0209,0.07,0.0,0.7,0.73,0.74,90.79557993730408,90.18771428571428,9.41864680277994
mutant_0210,0.07,0.0,0.68,0.73,0.73,90.735078369906,89.95806603773585,9.12259413535992
mutant_0211,0.07,0.0,0.69,0.73,0.74,90.77647857889232,90.03338028169014,9.887227743478231
mutant_0212,0.07,0.0,0.65,0.7,0.7,90.47058516196455,88.94131455399061,8.397355070970134
mutant_0213,0.07,0.0,0.65,0.7,0.69,90.36752351097186,89.3819534883721,9.247640362736892
mutant_0214,0.07,0.0,0.67,0.71,0.71,91.08421107627994,90.85028985507248,7.0
mutant_0215,0.07,0.0,0.7,0.74,0.74,90.86506792058513,90.14862559241706,9.386181601792831
mutant_0216,0.07,0.0,0.68,0.73,0.73,91.00983281086724,90.72589622641509,7.448517737449161
mutant_0217,0.07,0.0,0.69,0.73,0.73,90.81687565308253,90.32368421052632,10.10291336844353
mutant_0218,0.07,0.0,0.65,0.69,0.69,90.50848484848474,89.4066511627907,8.351233262212011
mutant_0219,0.07,0.0,0.65,0.7,0.69,90.41603970741896,89.8285046728972,9.303026749758793
mutant_0220,0.07,0.0,0.7,0.74,0.75,91.457408568443,91.20611650485436,7.441028811858243
