mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.0,0.0,0.35,0.57,0.4,90.39601344860714,87.61289719626168,-0.857490997
mutant_0001,0.0,0.0,0.33,0.56,0.38,90.31512968299704,88.23961904761903,2.464633156
mutant_0002,0.0,0.0,0.33,0.56,0.38,90.35238232468781,87.57532710280374,1.549695886
mutant_0003,0.0,0.0,0.33,0.56,0.38,90.46126801152748,86.34284615384615,1.385919145
mutant_0004,0.0,0.0,0.34,0.56,0.39,90.54742555235362,87.36504950495049,2.683856062
mutant_0005,0.0,0.0,0.33,0.56,0.38,90.26252641690678,85.72380597014926,1.385919145
mutant_0006,0.0,0.0,0.32,0.55,0.37,90.2039481268013,85.93170731707319,-0.890772384
mutant_0007,0.0,0.0,0.34,0.56,0.39,90.17902017291068,85.8781679389313,1.837061557
mutant_0008,0.0,0.0,0.34,0.56,0.39,90.41004803073972,86.94711538461539,1.733406542
mutant_0009,0.0,0.0,0.33,0.55,0.37,90.44781940441872,88.12877192982457,-0.928264194
mutant_0010,0.0,0.0,0.32,0.56,0.37,90.41210374639768,88.38227722772278,-0.934746322
mutant_0011,0.0,0.0,0.32,0.55,0.37,90.17866474543705,87.83349056603774,-0.908216274
mutant_0012,0.0,0.0,0.33,0.56,0.37,90.13548511047078,87.2308181818182,-0.865110394
mutant_0013,0.0,0.0,0.33,0.55,0.37,90.36835734870309,87.87316326530612,-0.861317405
mutant_0014,0.0,0.0,0.33,0.56,0.38,90.13483189241116,86.24709401709401,-0.968765409
mutant_0015,0.0,0.0,0.34,0.56,0.38,90.22732949087428,86.22752136752138,-0.876294561
mutant_0016,0.0,0.0,0.34,0.56,0.39,90.08422670509138,85.99403100775193,-0.94429164
mutant_0017,0.0,0.0,0.33,0.56,0.38,90.00279538904894,86.09420168067223,-0.989103984
mutant_0018,0.0,0.0,0.33,0.56,0.37,90.24885686839573,86.67279661016951,1.319439088
mutant_0019,0.0,0.0,0.33,0.56,0.38,90.53175792507207,86.370859375,2.440276807
mutant_0020,0.0,0.0,0.33,0.55,0.37,90.28992315081663,87.52619469026548,-1.000312206
mutant_0021,0.0,0.0,0.33,0.56,0.38,90.26034582132569,86.24153846153845,-0.908216274
mutant_0022,0.0,0.0,0.32,0.55,0.37,90.325869356388,87.78709090909088,-1.008532536
mutant_0023,0.0,0.0,0.34,0.57,0.39,90.19932756964444,88.24203703703704,-0.915002264
mutant_0024,0.0,0.0,0.34,0.56,0.38,90.20931796349657,87.94225225225227,-0.872598415
mutant_0025,0.0,0.0,0.33,0.56,0.38,90.47592699327572,89.22409523809525,-0.931517352
mutant_0026,0.0,0.0,0.33,0.56,0.38,89.76231508165223,86.91472727272728,-0.947427354
mutant_0027,0.0,0.0,0.33,0.56,0.38,90.0747742555236,87.08776785714285,-1.037408664
mutant_0028,0.0,0.0,0.33,0.56,0.38,89.99098943323727,87.09594827586206,-0.928264194
mutant_0029,0.0,0.0,0.33,0.56,0.38,90.03941402497585,86.9451282051282,-0.901322566
mutant_0030,0.0,0.0,0.33,0.56,0.37,90.14994236311237,86.75862068965517,-1.07625416
mutant_0031,0.0,0.0,0.33,0.56,0.38,90.04634966378481,85.92846153846153,-1.188227919
mutant_0032,0.0,0.0,0.33,0.55,0.38,90.2020845341017,87.97191304347827,-0.868870542
mutant_0033,0.0,0.0,0.34,0.57,0.39,89.88611911623435,85.38100917431191,-0.849735532
mutant_0034,0.0,0.0,0.33,0.56,0.38,90.03589817483183,85.88695652173914,-1.037408664
mutant_0035,0.0,0.0,0.33,0.56,0.38,89.92414024975982,85.6274358974359,-0.994744251
mutant_0036,0.0,0.0,0.33,0.56,0.38,90.14683957732954,86.0815254237288,-0.934746322
mutant_0037,0.0,0.0,0.33,0.56,0.37,90.32258405379434,88.8583495145631,-0.994744251
mutant_0038,0.0,0.0,0.33,0.56,0.37,90.12482228626321,86.12391666666666,-0.853630576
mutant_0039,0.0,0.0,0.33,0.55,0.37,89.96439000960606,85.95636363636363,-0.857490997
mutant_0040,0.0,0.0,0.33,0.56,0.38,90.19024015369827,85.6592741935484,2.38451593
mutant_0041,0.0,0.0,0.34,0.56,0.38,90.40943323727174,86.15198347107439,1.476620814
mutant_0042,0.0,0.0,0.34,0.56,0.38,90.10079731027857,85.46923664122139,-0.857490997
mutant_0043,0.0,0.0,0.35,0.57,0.39,90.33703170028811,86.87339805825245,1.617191374
mutant_0044,0.0,0.0,0.33,0.56,0.38,90.29808837656098,86.60716814159291,1.267469454
mutant_0045,0.0,0.0,0.32,0.55,0.37,90.18342939481266,88.27821782178216,-1.07625416
mutant_0046,0.0,0.0,0.34,0.56,0.38,90.32934678194029,85.92048000000001,-0.924986484
mutant_0047,0.0,0.0,0.34,0.56,0.38,90.49365033621501,87.51522123893807,1.947931434
mutant_0048,0.0,0.0,0.33,0.56,0.38,89.82447646493759,85.88165354330708,1.438625495
mutant_0049,0.0,0.0,0.33,0.56,0.38,90.13254562920257,86.61857142857141,-0.908216274
mutant_0050,0.0,0.0,0.33,0.55,0.38,90.16107588856859,85.91539682539681,-0.931517352
mutant_0051,0.0,0.0,0.34,0.56,0.38,90.11543707973115,86.28539823008849,-0.897834238
mutant_0052,0.0,0.0,0.34,0.56,0.39,90.0387415946206,86.5349557522124,-0.986256141
mutant_0053,0.0,0.0,0.34,0.56,0.38,90.09827089337172,86.29008620689656,-0.904783098
mutant_0054,0.0,0.0,0.32,0.55,0.37,90.24440922190202,87.81822916666665,-0.853630576
mutant_0055,0.0,0.0,0.34,0.56,0.38,90.30388088376554,86.46684210526314,-1.034861475
mutant_0056,0.0,0.0,0.34,0.56,0.38,90.02034582132558,85.18938596491226,-0.868870542
mutant_0057,0.0,0.0,0.33,0.56,0.38,90.04439961575407,85.70203125,-0.965780556
mutant_0058,0.0,0.0,0.33,0.56,0.38,90.26076849183491,86.16348214285712,-1.278628817
mutant_0059,0.0,0.0,0.34,0.56,0.38,90.06862632084537,86.64485436893204,-0.853630576
mutant_0060,0.0,0.0,0.33,0.55,0.38,90.60868395773286,85.32718446601945,1.846865461
mutant_0061,0.0,0.0,0.33,0.56,0.38,90.30958693563885,86.01023255813953,1.916573191
mutant_0062,0.0,0.0,0.33,0.56,0.38,89.96713736791541,85.59500000000001,-0.857490997
mutant_0063,0.0,0.0,0.33,0.56,0.38,89.91918347742556,85.44685950413225,1.396984571
mutant_0064,0.0,0.0,0.33,0.56,0.37,90.0404707012487,85.24885496183207,1.91574675
mutant_0065,0.0,0.0,0.33,0.55,0.38,90.07720461095106,86.79936363636364,-0.931517352
mutant_0066,0.0,0.0,0.32,0.55,0.37,90.15205571565805,87.81818181818181,-0.890772384
mutant_0067,0.0,0.0,0.33,0.55,0.37,90.02224783861668,86.46245762711864,-0.908216274
mutant_0068,0.0,0.0,0.33,0.56,0.38,90.63218059558127,88.01135922330097,-0.911622523
