mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.03,0.0,0.69,0.75,0.72,91.87805925925926,90.68237113402063,-0.24873149
mutant_0001,0.03,0.0,0.7,0.76,0.73,91.86952592592593,90.90340206185569,0.03797125
mutant_0002,0.03,0.0,0.74,0.78,0.76,92.59125925925936,91.93556701030928,-0.066577025
mutant_0003,0.02,0.0,0.75,0.79,0.77,93.00537777777775,92.44708333333334,-0.211494765
mutant_0004,0.02,0.0,0.69,0.75,0.72,92.05167407407404,90.57578947368424,-0.09382953
mutant_0005,0.02,0.0,0.69,0.76,0.72,91.71700740740742,90.20431578947368,-0.068523665
mutant_0006,0.03,0.0,0.61,0.69,0.64,89.8451259259259,85.57305263157895,-0.027947623
mutant_0007,0.02,0.0,0.6,0.69,0.63,90.6594074074074,85.59327102803738,-0.130041703
mutant_0008,0.03,0.0,0.75,0.79,0.77,91.87825185185186,91.71395833333334,-0.0310387
mutant_0009,0.03,0.0,0.61,0.69,0.64,90.08284444444452,86.73074468085106,0.106134493
mutant_0010,0.03,0.0,0.56,0.66,0.59,90.36559999999993,84.85069306930691,-0.060808085
mutant_0011,0.02,0.0,0.74,0.79,0.77,91.89881481481484,91.65421052631581,0.039270855
mutant_0012,0.03,0.0,0.69,0.75,0.72,90.13130370370361,87.14303030303026,-0.094286923
mutant_0013,0.02,0.0,0.6,0.69,0.63,89.9227259259259,86.64638297872338,-0.008441638
mutant_0014,0.03,0.0,0.6,0.69,0.63,90.61334814814813,86.77144329896907,-0.105759887
mutant_0015,0.02,0.0,0.7,0.76,0.73,91.46173333333338,88.61175257731959,-0.00586502
mutant_0016,0.02,0.0,0.64,0.71,0.67,90.13386666666666,86.85108910891088,-0.012070861
mutant_0017,0.03,0.0,0.7,0.75,0.72,91.23930370370374,90.85208333333333,-0.170700694
mutant_0018,0.03,0.0,0.75,0.79,0.77,92.70121481481473,92.05154639175258,0.002385055
mutant_0019,0.02,0.0,0.69,0.74,0.71,91.70503703703706,90.58589473684212,-0.231698151
mutant_0020,0.02,0.0,0.73,0.78,0.75,92.50045925925927,92.42863157894735,-0.280916173
mutant_0021,0.02,0.0,0.71,0.76,0.73,90.14877037037031,89.50072916666666,-0.028190857
mutant_0022,0.03,0.0,0.73,0.77,0.75,90.59702222222231,90.50726315789474,-0.240988226
mutant_0023,0.02,0.0,0.75,0.79,0.77,92.57103703703703,92.17148936170211,-0.208075105
mutant_0024,0.03,0.0,0.68,0.74,0.7,91.01844444444448,90.05915789473683,-0.139587021
mutant_0025,0.03,0.0,0.77,0.81,0.79,92.16062222222229,92.2436842105263,-0.231698151
mutant_0026,0.02,0.0,0.69,0.75,0.72,92.27854814814833,90.98705263157893,0.032186319
mutant_0027,0.03,0.0,0.61,0.69,0.64,90.17183703703705,86.78032258064516,-0.068523665
mutant_0028,0.03,0.0,0.62,0.7,0.65,90.7868592592592,85.93656862745098,-0.071888856
mutant_0029,0.03,0.0,0.6,0.68,0.63,90.58339259259255,85.57523809523809,-0.210878307
mutant_0030,0.03,0.0,0.65,0.72,0.67,88.95305185185181,85.92872549019609,-0.177466353
mutant_0031,0.02,0.0,0.72,0.77,0.74,92.49309629629629,91.53105263157896,-0.134788138
mutant_0032,0.03,0.0,0.6,0.68,0.63,90.5885185185184,85.54201923076923,-0.173706204
mutant_0033,0.03,0.0,0.6,0.69,0.63,90.62533333333324,85.72901960784314,0.006178044
mutant_0034,0.03,0.0,0.68,0.74,0.7,91.28573333333331,89.83625,-0.068196019
mutant_0035,0.03,0.0,0.6,0.69,0.63,90.02610370370367,85.36407407407407,-0.095279596
