mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.06,0.0,0.68,0.74,0.72,91.35520295202943,91.77216867469879,-0.875194572
mutant_0001,0.05,0.0,0.65,0.72,0.69,90.06011070110699,91.49346153846156,-0.908618327
mutant_0002,0.06,0.0,0.63,0.71,0.68,89.11276752767529,90.4910975609756,-0.908618327
mutant_0003,0.05,0.0,0.65,0.73,0.69,90.1221771217713,86.01171428571428,-0.900500437
mutant_0004,0.05,0.0,0.64,0.72,0.68,89.33763837638381,88.52931818181818,-0.875194572
mutant_0005,0.05,0.0,0.63,0.71,0.67,88.79261992619927,87.43931818181818,-0.900500437
mutant_0006,0.05,0.0,0.63,0.71,0.67,88.81153136531361,87.83813953488374,-0.947076579
mutant_0007,0.05,0.0,0.64,0.71,0.68,89.43450184501842,89.07977272727273,-0.883794744
mutant_0008,0.06,0.0,0.65,0.72,0.69,90.11263837638374,90.82035714285715,-0.875194572
mutant_0009,0.05,0.0,0.63,0.71,0.67,89.45553505535062,90.4479268292683,-1.09530266
mutant_0010,0.05,0.0,0.63,0.7,0.67,88.66595940959398,88.97658536585367,-1.221547546
mutant_0011,0.05,0.0,0.62,0.71,0.66,87.91743542435427,86.6674,0.828096806
mutant_0012,0.05,0.0,0.63,0.71,0.68,89.16036900369002,87.99096774193548,0.687098293
mutant_0013,0.05,0.0,0.63,0.71,0.67,89.10256457564583,84.99950495049504,0.801499038
mutant_0014,0.06,0.0,0.68,0.74,0.72,89.20079335793353,87.55462365591397,0.693007152
mutant_0015,0.05,0.0,0.63,0.71,0.67,88.6340221402215,88.00591397849463,1.111577162
mutant_0016,0.05,0.0,0.62,0.7,0.66,88.72817343173432,88.52506024096384,0.753194358
mutant_0017,0.05,0.0,0.63,0.71,0.67,88.79747232472322,86.43727272727274,0.687098293
mutant_0018,0.05,0.0,0.61,0.69,0.65,84.86867158671582,82.30942307692308,0.721402524
mutant_0019,0.06,0.0,0.63,0.71,0.67,88.68647601476006,89.92481012658229,0.748054719
mutant_0020,0.05,0.0,0.63,0.71,0.67,89.27343173431743,88.87863636363636,-1.051285831
mutant_0021,0.05,0.0,0.63,0.71,0.67,87.39077490774909,84.44980198019802,-0.883794744
mutant_0022,0.05,0.0,0.63,0.71,0.67,89.47416974169742,89.25666666666667,-1.110723019
mutant_0023,0.05,0.0,0.64,0.71,0.68,88.92350553505531,88.22436781609194,-1.54729243
mutant_0024,0.05,0.0,0.64,0.71,0.68,88.74821033210337,87.32876404494382,-0.968616257
mutant_0025,0.05,0.0,0.63,0.71,0.67,88.94038745387455,87.13152173913045,-1.051285831
mutant_0026,0.05,0.0,0.64,0.72,0.68,89.10249077490774,88.28084210526318,0.693007152
mutant_0027,0.05,0.0,0.63,0.71,0.67,88.55455719557193,86.70375,-0.954375818
mutant_0028,0.05,0.0,0.63,0.71,0.67,88.2376383763838,86.09747252747253,-0.875194572
mutant_0029,0.06,0.0,0.63,0.71,0.68,88.34745387453873,86.74152173913043,-1.125614574
