mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.06,0.0,0.86,0.91,0.9,92.80579591836738,83.35080645161288,8.710379556681625
mutant_0001,0.06,0.0,0.93,0.94,0.96,97.03036734693879,96.53152542372881,8.873254037716741
mutant_0002,0.06,0.0,0.92,0.94,0.95,96.17653061224495,92.06476190476192,9.154163761352873
mutant_0003,0.06,0.0,0.86,0.9,0.9,91.81171428571429,81.2960606060606,8.969248910441477
mutant_0004,0.06,0.0,0.93,0.94,0.96,96.87493877551017,96.46982758620689,9.491017521611166
mutant_0005,0.06,0.0,0.92,0.94,0.96,96.90714285714279,96.42620689655173,8.849170448811224
mutant_0006,0.06,0.0,0.93,0.95,0.96,97.43395918367345,95.99209677419357,9.320532739400909
mutant_0007,0.06,0.0,0.92,0.94,0.96,97.03000000000007,96.55706896551726,8.841674557714704
mutant_0008,0.06,0.0,0.93,0.94,0.96,96.83044897959182,94.84548387096774,8.961988480178432
mutant_0009,0.06,0.0,0.88,0.92,0.91,92.93265306122446,84.00306451612903,9.123037585448689
mutant_0010,0.06,0.0,0.86,0.91,0.9,91.92404081632652,80.87682539682542,9.107148823295391
mutant_0011,0.06,0.0,0.93,0.94,0.96,97.06661224489798,96.63931034482758,9.267057231459004
mutant_0012,0.06,0.0,0.93,0.94,0.96,97.27726530612244,95.49709677419352,8.608597819580185
mutant_0013,0.06,0.0,0.93,0.94,0.96,97.13187755102041,96.84206896551724,9.41643646340243
mutant_0014,0.06,0.0,0.87,0.91,0.91,92.48081632653064,81.97344262295083,8.588058630065753
mutant_0015,0.06,0.0,0.88,0.92,0.92,94.21028571428569,87.40440677966103,9.858541528968408
mutant_0016,0.06,0.0,0.87,0.91,0.91,92.76530612244898,82.77650793650794,9.192933922502034
mutant_0017,0.06,0.0,0.88,0.92,0.92,93.79538775510207,86.56508474576272,9.293977309459516
mutant_0018,0.06,0.0,0.93,0.94,0.96,97.07775510204078,96.73379310344826,8.852900206557564
mutant_0019,0.06,0.0,0.92,0.94,0.96,97.02069387755103,96.5680357142857,8.90978930790996
mutant_0020,0.06,0.0,0.93,0.94,0.96,96.67820408163274,94.22938461538462,9.0622889065349
mutant_0021,0.06,0.0,0.91,0.94,0.95,96.1564897959183,94.85824561403507,9.518590520829145
mutant_0022,0.06,0.0,0.87,0.91,0.91,92.89044897959182,84.17741379310345,9.36334101249111
mutant_0023,0.06,0.0,0.93,0.94,0.96,97.17306122448983,94.64828125,8.929158387083335
mutant_0024,0.06,0.0,0.93,0.94,0.96,96.92877551020412,96.43448275862069,8.883420431824883
mutant_0025,0.06,0.0,0.87,0.91,0.91,92.72640816326529,84.30213114754098,8.81027843942566
mutant_0026,0.06,0.0,0.93,0.95,0.96,97.13897959183674,96.69877192982456,10.429692995616056
mutant_0027,0.06,0.0,0.91,0.93,0.94,96.40346938775515,92.83491803278687,9.583249501470222
mutant_0028,0.06,0.0,0.88,0.92,0.92,93.03751020408173,83.645625,8.871844329511651
mutant_0029,0.06,0.0,0.93,0.94,0.96,97.09787755102045,94.57390625000002,9.815151602077004
mutant_0030,0.06,0.0,0.88,0.91,0.91,93.28473469387761,87.14417910447762,9.019897867339116
mutant_0031,0.06,0.0,0.93,0.95,0.96,97.1121632653061,96.75844827586208,8.854573185337161
mutant_0032,0.06,0.0,0.92,0.94,0.95,96.57946938775505,95.48155172413793,8.64651429182944
mutant_0033,0.06,0.0,0.92,0.94,0.96,96.92399999999998,96.34196428571428,9.28128447516105
mutant_0034,0.06,0.0,0.88,0.91,0.91,93.45224489795918,85.35190476190475,9.430767121420814
mutant_0035,0.06,0.0,0.93,0.94,0.96,97.21726530612244,96.92672413793103,8.647346149750703
mutant_0036,0.06,0.0,0.92,0.94,0.95,96.86204081632657,94.4304761904762,8.862660673363404
mutant_0037,0.06,0.0,0.93,0.94,0.96,97.04187755102042,96.65517241379311,8.91385967236246
mutant_0038,0.06,0.0,0.92,0.94,0.95,96.84636734693879,96.39913793103447,8.985648128596177
mutant_0039,0.06,0.0,0.92,0.94,0.96,96.75008163265308,94.43968749999999,8.853015654935254
mutant_0040,0.06,0.0,0.87,0.91,0.91,92.81383673469384,82.85825396825398,8.792018493092494
