mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0000,0.06,0.0,0.87,0.91,0.91,92.28518828451878,83.28025974025972,8.58308234134941
mutant_0001,0.06,0.0,0.87,0.91,0.91,92.46347280334732,83.86338028169014,8.641909173427024
mutant_0002,0.06,0.0,0.89,0.92,0.92,92.98309623430961,85.06063492063491,8.63316271951544
mutant_0003,0.06,0.0,0.88,0.92,0.92,93.24736401673643,85.30202702702704,8.746472422902944
mutant_0004,0.06,0.0,0.87,0.9,0.9,92.2833472803348,82.86753424657535,8.595632393157251
mutant_0005,0.06,0.0,0.86,0.9,0.9,91.79518828451883,82.73478260869564,8.599161122651582
mutant_0006,0.06,0.0,0.87,0.91,0.9,92.18096234309614,82.57169014084508,8.367530161387469
mutant_0007,0.06,0.0,0.87,0.91,0.91,92.82393305439335,83.63597402597404,8.577153122843535
mutant_0008,0.06,0.0,0.87,0.91,0.91,92.18414225941422,84.56053333333334,8.383890426799454
mutant_0009,0.06,0.0,0.88,0.92,0.92,93.90276150627616,85.20323943661971,8.53671348183427
mutant_0010,0.06,0.0,0.87,0.91,0.91,92.84987447698742,83.9168918918919,8.736391831745776
mutant_0011,0.06,0.0,0.88,0.91,0.92,93.22205020920507,84.83712121212122,8.393195317248697
mutant_0012,0.06,0.0,0.87,0.91,0.91,92.00179916317988,82.65770270270272,8.918104379531199
mutant_0013,0.06,0.0,0.86,0.9,0.9,92.02305439330544,81.9594366197183,8.582281488446105
mutant_0014,0.06,0.0,0.88,0.91,0.91,92.35368200836825,83.5676388888889,8.578152317974897
mutant_0015,0.06,0.0,0.87,0.91,0.91,92.40615062761508,85.19181818181819,8.632903545920096
mutant_0016,0.06,0.0,0.87,0.91,0.91,92.32648535564856,84.6850684931507,8.504503260525427
mutant_0017,0.06,0.0,0.87,0.91,0.9,92.12589958158989,82.48246575342466,8.77978272007786
mutant_0018,0.06,0.0,0.87,0.91,0.9,92.13012552301258,82.79820512820513,8.77647084081174
mutant_0019,0.06,0.0,0.87,0.91,0.9,92.39104602510463,83.36271428571428,8.57896367938761
