selection_order	node_index	source_shard	source_shard_selection_rank	release_rank	candidate_id	source_candidate_row_sha256	source_eight_job_ids_sha256	selected_four_job_ids_sha256
1	0	0	1	641	NODE1GEN_078328_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb283_mpn03_arm_P4_ekg_L_backbone_P4_ekg_L_bb283_status_NEEDS_RF2_AND_DOCKING	b96b751f69cd0dd852fef38faf00df22ff77d1413c760e49df6fd4017ad77e6a	cb951574345a7bc6010f22eb4c1743588c164ba445687f1e676e12c23abc78cb	e716072d75c2bda52e587af704ddfbc066faa8bbbdeea72aa102c252df2fb1f5
2	0	0	2	649	NODE1GEN_267635_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__C434AE10578C80DA	8c936d8fa98e4a9258fa21ae337e851e98d146c2ea187f1aa0bf3bd37d9967cd	c313f475686675dec33e7deb2da83c795bbc79516d0752e4d05c2a8aea246f2c	a1fa273f86ca072b40d027547c49ef229f3e4a3817a344fb39040f07b1fd9dc4
3	0	0	3	657	NODE1GEN_284701_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__F74E9737D5B16E92	03544291926e93cca643b0b56cd67d9c9f4c207471bc7a1a044e922f9e199d8b	3cadef31f4ee4a4375cc6d21084a18ad7692d8720dcebcc09fa3150af646160b	0fd35fdee1cde15b637d2c3da9b2d71e71f3669f72c8edac7f6e590f3677d783
4	0	0	4	665	NODE1GEN_093360_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qrg_L_bb144_mpn02_arm_P4_qrg_L_backbone_P4_qrg_L_bb144_status_NEEDS_RF2_AND_DOCKING	44de5f336194945a2ff9d24e30aca01be8fece815f54197459da233e45ec6dcd	de5a6a39c408dee2e948276cf00ba394b540c52aa6f465aaf523da47a96312db	6e75cbccf5c80e9402444ff0322578558bbb1322cb8f47975a22668babf6b81e
5	0	0	5	673	NODE1GEN_174161_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0937717F72C6C021	17294a0348852bd14694fdfc1ed25bef3153b7133349ebef982b811fb9c2f330	4e08241daa9ac4f26b3b9ad5c4b9dce791547e8624b90ed6e60190b75d810aed	12b4c262fa01e6830545c6d6340d200cda95325f183d86c0ce28e1b2e0e1c4c8
6	0	0	6	681	NODE1GEN_075205_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb016_mpn08_arm_P4_ekg_L_backbone_P4_ekg_L_bb016_status_NEEDS_RF2_AND_DOCKING	4bac6aa1ae93987f8d5c3419f210060e02ec24b266671f8a7415926840d636cf	d8fb67fa6350ed99e3d8899889f774f9315ceb7d97149faa8dd0860760b3aa27	0e4aad884a9befb2ab16e8323ba71c0e1d60956782d608f234e2a1f0a317ab9f
7	0	0	7	689	NODE1GEN_026578_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_ekg_L_bb133_mpn06_arm_P2_ekg_L_backbone_P2_ekg_L_bb133_status_NEEDS_RF2_AND_DOCKING	55d1a41074554a64bb3cea7243d2cd5b311f4c419b45e4f384450bb86d6edd42	656244b1147821fdfdcfe18ae7cbceb248b26d56087f7adc25f0e115cc97e487	9cdff69ee004e9f80c9b88357316dc277b7c7d4698509ff0298d447dddd93334
8	0	0	8	697	NODE1GEN_204830_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__E7DB41D2AAC6A92A	04b9c302e75687e3f6a94ec1f3a46ce7aea12e53a1df75bbdc2fcaa2c4dcb2cd	3aa87509435e3d137be52f17e7978ed03582e4fb50d40bb3c9f38cbebba897ac	0737459aad45a251703f3cd5e1d0ffaa7e8ac1c3d3dbb4215859393d79691120
9	0	0	9	705	NODE1GEN_051917_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb166_mpn00_arm_P3_ekg_L_backbone_P3_ekg_L_bb166_status_NEEDS_RF2_AND_DOCKING	967ea865a182721d4b3e00e3e225ed0faf17a08df00c79a4627d665f1f974ce4	f3e34ebf3366aca676e0e88b04904f8c8498e6ae82a64d098cd82bc2c6629dca	dbf68372529177060724f20c5867494bd0ba4e8af3cafc7766f67fbd81d467ee
10	0	0	10	713	NODE1GEN_142246_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb048_mpn01_arm_P6_qrg_L_backbone_P6_qrg_L_bb048_status_NEEDS_RF2_AND_DOCKING	6668c98591a8c21deb426faae9717f0b4f3c780595f600591cec37dd1aefc78b	d1c507598ce0b573b06e0d011db7ac3ad1be6337ff22fd7c851e7d9cbbac5874	278e0d366b353ef94a06ed186d42a7f4dd2d918f0ab84484fcd197f2b372debe
