pose_id	source_candidate_id	source_molecule_name	source_pose_rank	source_pose	source_pose_sha256	normalized_pose_relpath	normalized_pose_sha256	normalized_vhh_chain	normalized_target_chain	vhh_length	target_length	loop_string	seqs_per_pose	temperature	physical_gpu	worker_slot	status
FPMPNN_001_case02_pos_01_PVRIG-151_HR151__pose01	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1.pdb	d5e581704f8f91b284ab0a778321e94d617bafce975a6ee4f5c5eb53ec23123e	poses_ht/FPMPNN_001_case02_pos_01_PVRIG-151_HR151__pose01.pdb	5327cde3d037dedb8bb1afd82006fdd7dc15ddc8d32082774047d51624bdd00a	H	T	127	103	H1,H2,H3	1200	0.2	1	0	PENDING_SMOKE
FPMPNN_002_case02_pos_01_PVRIG-151_HR151__pose02	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1.pdb	33f792300343676f19fee8946507f080df33e7356e5d1c582fc96a93350395ce	poses_ht/FPMPNN_002_case02_pos_01_PVRIG-151_HR151__pose02.pdb	050add359a1523f17f5d3cb7c356a4342dd870836a055d8c919367213803f2ac	H	T	127	103	H1,H2,H3	1200	0.2	2	0	PENDING_SMOKE
FPMPNN_003_case02_pos_01_PVRIG-151_HR151__pose03	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2.pdb	ab28105a760f010a8b52185e5705aa4a8818fc15dfc3b37c1244288b6d18f70d	poses_ht/FPMPNN_003_case02_pos_01_PVRIG-151_HR151__pose03.pdb	c74cfb22ca9974a8fcbfbbfe32a0d6e960f112ddbde1286d4e477c7a88674d97	H	T	127	103	H1,H2,H3	1200	0.2	3	0	PENDING_SMOKE
FPMPNN_004_case02_pos_01_PVRIG-151_HR151__pose04	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3.pdb	7cb9cd408ba90053ef7abc5e709b3d1b1f6acef529030092dc09e4c87852c8b8	poses_ht/FPMPNN_004_case02_pos_01_PVRIG-151_HR151__pose04.pdb	4fec8fd95883738ce5060c2a504d5fd238d3e07c51b5e8a76412e57ed467b09e	H	T	127	103	H1,H2,H3	1200	0.2	4	0	PENDING_SMOKE
FPMPNN_005_case02_pos_01_PVRIG-151_HR151__pose05	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	5	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1.pdb	ecdf92d44d99f8dbcb431c8b169d6275f539061aa25b60824a8629aeb2763b6e	poses_ht/FPMPNN_005_case02_pos_01_PVRIG-151_HR151__pose05.pdb	485d2f35154fa10a9fdc63f8be2b939b18046ca411559d25fa4d03b2233a0070	H	T	127	103	H1,H2,H3	1200	0.2	5	0	PENDING_SMOKE
FPMPNN_006_case02_pos_01_PVRIG-151_HR151__pose06	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	6	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2.pdb	fabda2a52fec6cc32cbc0e835f72bf3fb866a10155ba0cd30eb190a9a4096913	poses_ht/FPMPNN_006_case02_pos_01_PVRIG-151_HR151__pose06.pdb	393243553a15163ab3a60f648cb9d3586fe4e9c902672f8053fd916fd307f735	H	T	127	103	H1,H2,H3	1200	0.2	6	0	PENDING_SMOKE
FPMPNN_007_case02_pos_01_PVRIG-151_HR151__pose07	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	7	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3.pdb	f2ee54e7ab68966ef2ee499a607be6fd2a9f1dfb7259fe55d7f9f3b550ca3cda	poses_ht/FPMPNN_007_case02_pos_01_PVRIG-151_HR151__pose07.pdb	31ac27a32b5354a15479f5ce7f29b06a0e97375661da9a146e24242b8346ed31	H	T	127	103	H1,H2,H3	1200	0.2	7	0	PENDING_SMOKE
FPMPNN_008_case02_pos_01_PVRIG-151_HR151__pose08	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	8	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1.pdb	4868403def4412b0ccbf4580e832061bb02faa10bc03a1712b080d65d34d8878	poses_ht/FPMPNN_008_case02_pos_01_PVRIG-151_HR151__pose08.pdb	f37a288046000e80704469423cab1261879baca49f066b7ca7fa68ba3e4c4dd5	H	T	127	103	H1,H2,H3	1200	0.2	1	1	PENDING_SMOKE
FPMPNN_009_case02_pos_01_PVRIG-151_HR151__pose09	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	9	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2.pdb	7b14e22b92bc7ab2fd7cb99cd84035dc342d85e7d2daee3fd0056cf95f611783	poses_ht/FPMPNN_009_case02_pos_01_PVRIG-151_HR151__pose09.pdb	a51dc022613e34c271bd1ec6dd92992e7530e1cf10247ca7991406e1119a31ed	H	T	127	103	H1,H2,H3	1200	0.2	2	1	PENDING_SMOKE
FPMPNN_010_case02_pos_02_PVRIG-20__pose01	case02_pos_02_PVRIG-20	PVRIG-20	1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose01__cluster_1_model_1.pdb	5ec3989758b3da5885ad411ca82a5ffcbdbce95ba58bce142f7f9668dd02e15b	poses_ht/FPMPNN_010_case02_pos_02_PVRIG-20__pose01.pdb	7cf8d70fad9466199f7f3d9c8e471a18cb7b1ba755e4c65389c8e6df79bcea02	H	T	121	103	H1,H2,H3	1200	0.2	3	1	PENDING_SMOKE
