Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0085__00001	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00002	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00004	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00005	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00007	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00008	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00010	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00011	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00039	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00016	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00023	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00019	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00027	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00024	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00025	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00054	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00428	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00030	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00522	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00061	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00185	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00034	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00099	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00034	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00035	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00038	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00039	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00040	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00041	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00043	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00190	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00048	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00061	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00051	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00052	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00053	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00054	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00066	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00056	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00057	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00165	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00851	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00063	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0096__00487	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00115	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0193__00571	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00072	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00206	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00076	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00066	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00069	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00069	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00070	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00071	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00072	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00073	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00074	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00076	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00084	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00315	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00079	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00079	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00080	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00104	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00083	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00084	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00085	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00086	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00104	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00088	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00090	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00265	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00157	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00098	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0192__00124	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00178	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0197__00180	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00110	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00296	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00112	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00098	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00101	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00102	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00103	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00104	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00106	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00106	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00108	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00120	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00438	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00111	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00111	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00112	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00140	pvrig_8x6b_chainB
