Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0020__00001	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00002	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00005	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00005	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00010	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00109	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00156	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0093__00898	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00012	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00047	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00016	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00018	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00018	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00019	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00020	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00023	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00024	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00028	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00084	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00027	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00028	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00029	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00037	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00043	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00034	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00035	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00042	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00037	pvrig_8x6b_chainB
