Nanobody ID,Antigen ID,Prediction
P1MCPUFP__CPUFP500K_0048__00001,pvrig_8x6b_chainB,0.06703754514455795
P1MCPUFP__CPUFP500K_0046__00002,pvrig_8x6b_chainB,0.05903549864888191
P1MCPUFP__CPUFP500K_0049__00012,pvrig_8x6b_chainB,0.06971947103738785
P1MCPUFP__CPUFP500K_0040__00004,pvrig_8x6b_chainB,0.07974224537611008
P1MCPUFP__CPUFP500K_0038__00005,pvrig_8x6b_chainB,0.0385311059653759
P1MCPUFP__CPUFP500K_0037__00006,pvrig_8x6b_chainB,0.03992914780974388
P1MCPUFP__CPUFP500K_0028__00009,pvrig_8x6b_chainB,0.06920424103736877
P1MCPUFP__CPUFP500K_0030__00008,pvrig_8x6b_chainB,0.08906814455986023
P1MCPUFP__CPUFP500K_0029__00009,pvrig_8x6b_chainB,0.08957918733358383
P1MCPUFP__CPUFP500K_0020__00010,pvrig_8x6b_chainB,0.15747199952602386
P1MCPUFP__CPUFP500K_0019__00011,pvrig_8x6b_chainB,0.18032525479793549
P1MCPUFP__CPUFP500K_0021__00012,pvrig_8x6b_chainB,0.13218261301517487
P1MCPUFP__CPUFP500K_0012__00016,pvrig_8x6b_chainB,0.07581738382577896
P1MCPUFP__CPUFP500K_0010__00014,pvrig_8x6b_chainB,0.07989734411239624
P1MCPUFP__CPUFP500K_0013__00015,pvrig_8x6b_chainB,0.10982370376586914
P1MCPUFP__CPUFP500K_0008__00030,pvrig_8x6b_chainB,0.11264315247535706
P1MCPUFP__CPUFP500K_0002__00281,pvrig_8x6b_chainB,0.17260156571865082
P1MCPUFP__CPUFP500K_0001__00019,pvrig_8x6b_chainB,0.1173560693860054
P1MCPUFP__CPUFP500K_0092__00357,pvrig_8x6b_chainB,0.07405459135770798
P1MCPUFP__CPUFP500K_0091__00035,pvrig_8x6b_chainB,0.1285453587770462
P1MCPUFP__CPUFP500K_0193__00065,pvrig_8x6b_chainB,0.1012837290763855
P1MCPUFP__CPUFP500K_0084__00023,pvrig_8x6b_chainB,0.10844940692186356
