Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0004__00429	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00041	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00003	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0092__00071	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0093__00280	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00006	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00008	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00009	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00010	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00012	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00012	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00013	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00014	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00015	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00016	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00018	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00068	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00021	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00022	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00023	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00031	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00026	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00027	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00028	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00029	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00036	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00031	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00032	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00077	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0002__00546	pvrig_8x6b_chainB
