pose_id	source_candidate_id	source_molecule_name	source_pose_rank	source_pose	source_pose_sha256	normalized_pose_relpath	normalized_pose_sha256	normalized_vhh_chain	normalized_target_chain	vhh_length	target_length	loop_string	seqs_per_pose	temperature	physical_gpu	worker_slot	status	cdr_label_status
FPMPNN_001_case02_pos_01_PVRIG-151_HR151__pose01	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1.pdb	d5e581704f8f91b284ab0a778321e94d617bafce975a6ee4f5c5eb53ec23123e	poses_ht_labeled/FPMPNN_001_case02_pos_01_PVRIG-151_HR151__pose01.pdb	cd2d8dfc70f42ddae69b03b2a70b3262f0491680a6d4670edd58ab19f9bf363a	H	T	127	103	H1,H2,H3	1200	0.2	1	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_002_case02_pos_01_PVRIG-151_HR151__pose02	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1.pdb	33f792300343676f19fee8946507f080df33e7356e5d1c582fc96a93350395ce	poses_ht_labeled/FPMPNN_002_case02_pos_01_PVRIG-151_HR151__pose02.pdb	4409458616e4d83254c933cc05b3552e4871148acf2b4c2c695737adba7363be	H	T	127	103	H1,H2,H3	1200	0.2	2	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_003_case02_pos_01_PVRIG-151_HR151__pose03	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2.pdb	ab28105a760f010a8b52185e5705aa4a8818fc15dfc3b37c1244288b6d18f70d	poses_ht_labeled/FPMPNN_003_case02_pos_01_PVRIG-151_HR151__pose03.pdb	bf3eb34af88c6bccfc47b47f7a075230f15d3726a7b0cbf5afe642eeb2b9e87e	H	T	127	103	H1,H2,H3	1200	0.2	3	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_004_case02_pos_01_PVRIG-151_HR151__pose04	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3.pdb	7cb9cd408ba90053ef7abc5e709b3d1b1f6acef529030092dc09e4c87852c8b8	poses_ht_labeled/FPMPNN_004_case02_pos_01_PVRIG-151_HR151__pose04.pdb	19d7a475aa47a0ff94f65f429cf258195448c04fa1519845ccaba0ef7a11a240	H	T	127	103	H1,H2,H3	1200	0.2	4	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_005_case02_pos_01_PVRIG-151_HR151__pose05	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	5	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1.pdb	ecdf92d44d99f8dbcb431c8b169d6275f539061aa25b60824a8629aeb2763b6e	poses_ht_labeled/FPMPNN_005_case02_pos_01_PVRIG-151_HR151__pose05.pdb	3ddad7d69ebb14ca0988d222676c656b1dcafd99f7fb5f176858d7563d28f1a5	H	T	127	103	H1,H2,H3	1200	0.2	5	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_006_case02_pos_01_PVRIG-151_HR151__pose06	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	6	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2.pdb	fabda2a52fec6cc32cbc0e835f72bf3fb866a10155ba0cd30eb190a9a4096913	poses_ht_labeled/FPMPNN_006_case02_pos_01_PVRIG-151_HR151__pose06.pdb	849e2918a821fd12145453385f3465bb88b4a252cb191b87c6b4cbe5181499e7	H	T	127	103	H1,H2,H3	1200	0.2	6	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_007_case02_pos_01_PVRIG-151_HR151__pose07	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	7	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3.pdb	f2ee54e7ab68966ef2ee499a607be6fd2a9f1dfb7259fe55d7f9f3b550ca3cda	poses_ht_labeled/FPMPNN_007_case02_pos_01_PVRIG-151_HR151__pose07.pdb	347ec66f867cf17c64e0aa89e1df739b6c347dcc4ed10b769185a43e1eeea50b	H	T	127	103	H1,H2,H3	1200	0.2	7	0	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_008_case02_pos_01_PVRIG-151_HR151__pose08	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	8	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1.pdb	4868403def4412b0ccbf4580e832061bb02faa10bc03a1712b080d65d34d8878	poses_ht_labeled/FPMPNN_008_case02_pos_01_PVRIG-151_HR151__pose08.pdb	8b32ac363e19de540abbef47dcdf0f4bdcac0717f62bccd2199e261e3a67e72e	H	T	127	103	H1,H2,H3	1200	0.2	1	1	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_009_case02_pos_01_PVRIG-151_HR151__pose09	case02_pos_01_PVRIG-151_HR151	PVRIG-151_HR151	9	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2.pdb	7b14e22b92bc7ab2fd7cb99cd84035dc342d85e7d2daee3fd0056cf95f611783	poses_ht_labeled/FPMPNN_009_case02_pos_01_PVRIG-151_HR151__pose09.pdb	5607b67333eaae20f9e699e54774116e02ff5439ca392045715f2315e843879a	H	T	127	103	H1,H2,H3	1200	0.2	2	1	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
FPMPNN_010_case02_pos_02_PVRIG-20__pose01	case02_pos_02_PVRIG-20	PVRIG-20	1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose01__cluster_1_model_1.pdb	5ec3989758b3da5885ad411ca82a5ffcbdbce95ba58bce142f7f9668dd02e15b	poses_ht_labeled/FPMPNN_010_case02_pos_02_PVRIG-20__pose01.pdb	cc43e5f4f61df4fcf622f3449adec00bb35ee79e860423e2139503f6ffed5e4e	H	T	121	103	H1,H2,H3	1200	0.2	3	1	PENDING_SMOKE	EXACT_SEQUENCE_MATCH_3_OF_3
