Id,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,50A,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,111A,111B,111C,112C,112B,112A,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
case02_pos_01_PVRIG-151_HR151,0,alpaca,H,5.8e-51,163.2,0,126,,,0.00,,0.00,H,V,Q,L,V,E,S,G,G,-,G,S,V,Q,A,G,G,S,L,R,L,S,C,V,A,S,A,S,G,F,T,-,-,Y,R,P,Y,C,M,A,W,F,R,Q,A,P,G,K,E,R,-,E,A,V,A,G,I,D,I,F,-,-,-,G,G,T,T,Y,A,D,S,V,K,-,G,R,F,T,A,S,R,D,N,A,G,F,S,L,F,L,Q,M,N,D,L,K,P,E,D,T,A,M,Y,Y,C,A,A,G,D,S,P,D,G,R,C,P,P,L,G,Q,G,L,N,Y,W,G,Q,G,T,Q,V,T,V,S,S
case02_pos_02_PVRIG-20,0,alpaca,H,7.5e-49,156.4,0,120,,,0.00,,0.00,D,V,Q,L,V,E,S,G,G,-,G,S,V,Q,A,G,G,S,L,R,L,S,C,V,A,S,R,Y,T,S,-,-,-,-,R,T,D,C,M,G,W,F,R,Q,A,P,G,K,E,H,-,E,G,V,A,H,I,D,S,D,-,-,-,G,I,P,R,Y,V,D,S,V,K,-,G,R,F,T,I,S,Q,D,H,A,K,N,T,L,Y,L,Q,M,N,S,L,K,P,E,D,S,A,T,Y,Y,C,V,V,G,F,K,F,D,D,-,-,-,-,D,Y,C,A,P,N,D,W,G,Q,G,T,Q,V,T,V,S,S
case02_pos_03_PVRIG-30,0,alpaca,H,8.9e-47,149.7,0,120,,,0.00,,0.00,H,V,Q,L,V,E,S,G,G,-,G,S,V,Q,A,G,G,S,L,R,L,S,C,E,A,S,G,Y,S,Y,-,-,-,-,S,G,D,C,M,G,W,F,R,R,A,P,G,K,E,R,D,E,G,V,A,T,I,D,N,A,-,-,-,G,R,I,K,Y,A,D,S,V,K,-,G,R,F,T,I,S,H,G,N,G,K,Y,I,L,Y,L,Q,M,N,S,L,K,P,E,D,T,D,M,Y,Y,C,A,A,G,W,T,F,G,-,-,-,-,-,G,N,C,S,P,A,D,W,G,Q,G,T,Q,V,T,V,S,S
case02_pos_04_PVRIG-38,0,alpaca,H,2.8e-56,180.4,0,122,,,0.00,,0.00,Q,V,Q,L,V,E,S,G,G,-,G,S,V,Q,A,G,G,S,L,R,L,S,C,A,A,S,P,S,T,Y,-,-,-,-,G,P,S,D,M,A,W,F,R,Q,A,P,G,K,Q,R,-,E,G,V,A,T,I,S,A,A,-,-,G,R,L,T,Y,Y,T,D,S,V,R,-,G,R,F,T,I,S,R,D,N,A,K,N,T,M,Y,L,Q,M,N,S,L,K,P,E,D,T,A,M,Y,Y,C,A,A,D,F,A,G,G,S,-,-,-,S,L,F,A,D,Y,K,Y,W,G,Q,G,T,Q,V,T,V,S,S
case02_pos_05_PVRIG-39,0,alpaca,H,2.7e-50,161.1,0,119,,,0.00,,0.00,Q,V,Q,L,V,E,S,G,G,-,G,S,V,Q,A,G,G,S,L,R,L,S,C,A,A,S,R,Y,T,S,-,-,-,-,R,T,D,C,M,G,W,F,R,Q,A,P,G,K,E,R,-,E,G,V,A,H,I,D,S,D,-,-,-,G,I,P,R,Y,V,E,S,V,K,-,G,R,F,T,I,S,Q,D,H,A,K,N,T,L,Y,L,Q,M,N,S,L,K,P,E,D,S,A,T,Y,Y,C,V,V,G,F,K,F,G,-,-,-,-,-,D,Y,C,A,P,N,D,W,G,Q,G,T,Q,V,T,V,S,S
case02_pos_06_20H5,0,alpaca,H,2.1e-52,167.9,0,120,,,0.00,,0.00,E,V,Q,L,V,E,S,G,G,-,G,L,V,Q,P,G,G,S,L,R,L,S,C,A,A,S,G,Y,T,S,-,-,-,-,R,T,D,C,M,G,W,F,R,Q,A,P,G,K,E,H,-,E,G,V,A,H,I,D,S,D,-,-,-,G,I,P,R,Y,V,D,S,V,K,-,G,R,F,T,I,S,Q,D,H,A,K,N,S,L,Y,L,Q,M,N,S,L,R,A,E,D,T,A,V,Y,Y,C,V,V,G,F,K,F,D,E,-,-,-,-,D,Y,C,A,P,N,D,W,G,Q,G,T,M,V,T,V,S,S
case02_pos_07_30H2,0,alpaca,H,1.8e-56,181.0,0,120,,,0.00,,0.00,E,V,Q,L,V,E,S,G,G,-,G,L,V,Q,P,G,G,S,L,R,L,S,C,A,A,S,G,F,T,F,-,-,-,-,S,G,D,C,M,G,W,F,R,Q,A,P,G,K,G,L,D,E,G,V,A,T,I,D,N,A,-,-,-,G,R,I,K,Y,A,D,S,V,K,-,G,R,F,T,I,S,R,D,N,A,K,N,S,L,Y,L,Q,M,N,S,L,R,A,E,D,T,A,V,Y,Y,C,A,A,G,W,T,F,G,-,-,-,-,-,G,Q,C,S,P,A,D,W,G,Q,G,T,Q,V,T,V,S,S
case02_pos_08_39H2,0,alpaca,H,7.4e-55,175.8,0,119,,,0.00,,0.00,E,V,Q,L,V,E,S,G,G,-,G,L,V,Q,P,G,G,S,L,R,L,S,C,A,A,S,G,F,T,S,-,-,-,-,R,T,D,C,M,G,W,F,R,Q,A,P,G,K,G,L,-,E,G,V,A,H,I,D,S,D,-,-,-,G,I,P,R,Y,V,E,S,V,K,-,G,R,F,T,I,S,R,D,N,A,K,N,S,L,Y,L,Q,M,N,S,L,R,A,E,D,T,A,V,Y,Y,C,V,V,G,F,K,F,G,-,-,-,-,-,D,Y,C,A,P,N,D,W,G,Q,G,T,M,V,T,V,S,S
case02_pos_09_39H4,0,alpaca,H,6.9e-53,169.5,0,119,,,0.00,,0.00,E,V,Q,L,V,E,S,G,G,-,G,L,V,Q,P,G,G,S,L,R,L,S,C,A,A,S,G,Y,T,S,-,-,-,-,R,T,D,C,M,G,W,F,R,Q,A,P,G,K,G,L,-,E,G,V,A,H,I,D,S,D,-,-,-,G,I,P,R,Y,V,E,S,V,K,-,G,R,F,T,I,S,Q,D,H,A,K,N,S,L,Y,L,Q,M,N,S,L,R,A,E,D,T,A,V,Y,Y,C,V,V,G,F,K,F,G,-,-,-,-,-,D,Y,C,A,P,N,D,W,G,Q,G,T,M,V,T,V,S,S
case02_pos_10_151H7,0,alpaca,H,1.2e-53,171.9,0,126,,,0.00,,0.00,H,V,Q,L,V,E,S,G,G,-,G,L,V,Q,P,G,G,S,L,R,L,S,C,V,A,S,A,S,G,F,T,-,-,Y,R,P,Y,C,M,A,W,F,R,Q,A,P,G,K,E,R,-,E,A,V,A,G,I,D,I,F,-,-,-,G,G,T,T,Y,A,D,S,V,K,-,G,R,F,T,A,S,R,D,N,A,G,F,S,L,Y,L,Q,M,N,S,L,R,A,E,D,T,A,V,Y,Y,C,A,A,G,D,S,P,D,G,R,C,P,P,L,G,Q,G,L,N,Y,W,G,Q,G,T,M,V,T,V,S,S
case02_pos_11_151H8,0,alpaca,H,8.1e-55,175.7,0,126,,,0.00,,0.00,E,V,Q,L,V,E,S,G,G,-,G,L,V,Q,P,G,G,S,L,R,L,S,C,V,A,S,A,S,G,F,T,-,-,Y,R,P,Y,C,M,A,W,F,R,Q,A,P,G,K,G,L,-,E,A,V,A,G,I,D,I,F,-,-,-,G,G,T,T,Y,A,D,S,V,K,-,G,R,F,T,I,S,R,D,N,A,G,F,S,L,Y,L,Q,M,N,S,L,R,A,E,D,T,A,V,Y,Y,C,A,A,G,D,S,P,D,G,R,C,P,P,L,G,Q,G,L,N,Y,W,G,Q,G,T,M,V,T,V,S,S
