candidate_id	pose_name	pdb_path	pdb_sha256	antigen_chain	vhh_chain
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose01__cluster_1_model_1.pdb	d5e581704f8f91b284ab0a778321e94d617bafce975a6ee4f5c5eb53ec23123e	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose02__cluster_2_model_1.pdb	33f792300343676f19fee8946507f080df33e7356e5d1c582fc96a93350395ce	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose03__cluster_2_model_2.pdb	ab28105a760f010a8b52185e5705aa4a8818fc15dfc3b37c1244288b6d18f70d	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose04__cluster_2_model_3.pdb	7cb9cd408ba90053ef7abc5e709b3d1b1f6acef529030092dc09e4c87852c8b8	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose05__cluster_3_model_1.pdb	ecdf92d44d99f8dbcb431c8b169d6275f539061aa25b60824a8629aeb2763b6e	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose06__cluster_3_model_2.pdb	fabda2a52fec6cc32cbc0e835f72bf3fb866a10155ba0cd30eb190a9a4096913	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose07__cluster_3_model_3.pdb	f2ee54e7ab68966ef2ee499a607be6fd2a9f1dfb7259fe55d7f9f3b550ca3cda	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose08__cluster_4_model_1.pdb	4868403def4412b0ccbf4580e832061bb02faa10bc03a1712b080d65d34d8878	A	B
case02_pos_01_PVRIG-151_HR151	case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_01_PVRIG-151_HR151__pose09__cluster_4_model_2.pdb	7b14e22b92bc7ab2fd7cb99cd84035dc342d85e7d2daee3fd0056cf95f611783	A	B
case02_pos_02_PVRIG-20	case02_pos_02_PVRIG-20__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_02_PVRIG-20__pose01__cluster_1_model_1.pdb	5ec3989758b3da5885ad411ca82a5ffcbdbce95ba58bce142f7f9668dd02e15b	A	B
