package_version,run_id,day_block,randomization_seed,randomized_order,sample_plate_well,assay_sample_id,target_id,target_construct,target_sequence_sha256,binding_required,competition_if_verified_binder,functional_if_verified_blocker
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,1,A01,PV25-F64FB2334278,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,2,A02,PV25-47791B58B2D2,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,3,A03,PV25-AF7BF4690276,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,4,A04,PV25-3571F177632A,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,5,A05,PV25-F02C5D45E58B,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,6,A06,PV25-8938C0A749C4,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,7,A07,PV25-9215C414C637,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,8,A08,PV25-0B63D218E0F3,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,9,A09,PV25-675BA2BE55B3,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,10,A10,PV25-B7BCA72D92CC,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
pvrig_v2_5_prospective_assay_execution_v1,BIND_RUN_01,DAY_BLOCK_01,20260712,11,A11,PV25-8D20C3023A46,PVRIG_HUMAN_Q6DKI7,Q6DKI7_structural_ectodomain_proxy_39_171,b3d2735abe671004474d0196f9d010bbdf22ea2cec9ccb6d71b28f9bdb328075,YES,YES,YES
