assay_sample_id,candidate_id,prospective_group_id,group_type,candidate_role,family_id,sequence_sha256,cascade_in_geometry_shortlist,external_binder_score,external_binder_status,official_validator_pass,pass_similarity_filter,hard_fail,recommendation,final_score,geometry_rank,blocker_class,final_blocker_label,evidence_role,claim_boundary
PV25-AF7BF4690276,mut_01_PVRIG-20_base_reference,pvrig_family_20,paired_mutation_effect,known_positive_reference,PVRIG-20,485d6dabf8f09648621cf862a2284c315cf5bed93557562d6af7acd67e7feb7a,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-DE9C8DFE4861,mut_02_PVRIG-20_cdr3_cons_F99Y,pvrig_family_20,paired_mutation_effect,conservative_mutant,PVRIG-20,60ef96dbf1c4727afd26d05b2f014b60a78a75fae332a4068df79a0584884f18,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-8D20C3023A46,mut_03_PVRIG-20_cdr3_arom_F99A,pvrig_family_20,paired_mutation_effect,paratope_disruptive_mutant,PVRIG-20,c938d65b23d31ac9e807e072ba638b046336928d90a665da6591dae6bc681807,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-40B33790B584,mut_07_PVRIG-30_base_reference,pvrig_family_30,paired_mutation_effect,known_positive_reference,PVRIG-30,cc2b6747c7bcb21f59968eee1a87c41523da6f910388b71ea5386a63afc5e625,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-6A6961CA8FD0,mut_08_PVRIG-30_cdr3_cons_T101S,pvrig_family_30,paired_mutation_effect,conservative_mutant,PVRIG-30,d7e0ab854cbc9e7dbba0e6990a040d2585fb162b97ad9c47934c3563a652f72e,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-C255FFAAB1B9,mut_09_PVRIG-30_cdr3_arom_W100A,pvrig_family_30,paired_mutation_effect,paratope_disruptive_mutant,PVRIG-30,6c43ddc784ed94e567bce660e652a12568739093a4cafbe9a11336c686a447a7,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-804E6EE661C1,mut_12_PVRIG-38_base_reference,pvrig_family_38,paired_mutation_effect,known_positive_reference,PVRIG-38,355b7ff74e334acc91a2257c1c00868cd64983b075b31710c345b7621ed16ea8,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-675BA2BE55B3,mut_13_PVRIG-38_cdr3_cons_D99E,pvrig_family_38,paired_mutation_effect,conservative_mutant,PVRIG-38,45f4697b37a06f19603ede1b2ce234e5bc91856ff40c4f4a9a20bb58d70aee92,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-F71A83DB4BFF,mut_14_PVRIG-38_cdr3_arom_F100A,pvrig_family_38,paired_mutation_effect,paratope_disruptive_mutant,PVRIG-38,bd2baca0ced2ecbdb88aafe23a9b24dd7ad89528fd8bb41bfa45244e70a6b7c9,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
PV25-3571F177632A,mut_17_PVRIG-39_base_reference,pvrig_family_39,paired_mutation_effect,known_positive_reference,PVRIG-39,4cada0fb4f5a5204d999384bfd4fa3c022fa61d19b8a0cdc73191752e5ff353e,False,,,,,,,,,,,COMPUTATIONAL_VALIDATION_AND_RANKING_ONLY,cascade_labels_are_not_expression_binding_blocking_or_functional_truth
