candidate_id	nearest_team_neighbor	max_team_identity	intra_team_cluster_id	intra_team_cluster_size	diversity_score	diversity_status
PV25-AF7BF4690276			DEFERRED_00000001	1	100.00	DEFERRED_TO_SHORTLIST
PV25-DE9C8DFE4861			DEFERRED_00000002	1	100.00	DEFERRED_TO_SHORTLIST
PV25-8D20C3023A46			DEFERRED_00000003	1	100.00	DEFERRED_TO_SHORTLIST
PV25-40B33790B584			DEFERRED_00000004	1	100.00	DEFERRED_TO_SHORTLIST
PV25-6A6961CA8FD0			DEFERRED_00000005	1	100.00	DEFERRED_TO_SHORTLIST
PV25-C255FFAAB1B9			DEFERRED_00000006	1	100.00	DEFERRED_TO_SHORTLIST
PV25-804E6EE661C1			DEFERRED_00000007	1	100.00	DEFERRED_TO_SHORTLIST
PV25-675BA2BE55B3			DEFERRED_00000008	1	100.00	DEFERRED_TO_SHORTLIST
PV25-F71A83DB4BFF			DEFERRED_00000009	1	100.00	DEFERRED_TO_SHORTLIST
PV25-3571F177632A			DEFERRED_00000010	1	100.00	DEFERRED_TO_SHORTLIST
PV25-8938C0A749C4			DEFERRED_00000011	1	100.00	DEFERRED_TO_SHORTLIST
PV25-2BBDF6129351			DEFERRED_00000012	1	100.00	DEFERRED_TO_SHORTLIST
PV25-9F1C72694644			DEFERRED_00000013	1	100.00	DEFERRED_TO_SHORTLIST
PV25-F64FB2334278			DEFERRED_00000014	1	100.00	DEFERRED_TO_SHORTLIST
PV25-F02C5D45E58B			DEFERRED_00000015	1	100.00	DEFERRED_TO_SHORTLIST
PV25-EF3F71502C71			DEFERRED_00000016	1	100.00	DEFERRED_TO_SHORTLIST
PV25-B7BCA72D92CC			DEFERRED_00000017	1	100.00	DEFERRED_TO_SHORTLIST
PV25-81A9A17E9E11			DEFERRED_00000018	1	100.00	DEFERRED_TO_SHORTLIST
PV25-8E96BF37FD37			DEFERRED_00000019	1	100.00	DEFERRED_TO_SHORTLIST
PV25-0B63D218E0F3			DEFERRED_00000020	1	100.00	DEFERRED_TO_SHORTLIST
PV25-25F7D6778F87			DEFERRED_00000021	1	100.00	DEFERRED_TO_SHORTLIST
PV25-9215C414C637			DEFERRED_00000022	1	100.00	DEFERRED_TO_SHORTLIST
PV25-D4008458DBA9			DEFERRED_00000023	1	100.00	DEFERRED_TO_SHORTLIST
PV25-47791B58B2D2			DEFERRED_00000024	1	100.00	DEFERRED_TO_SHORTLIST
