stage	elapsed_seconds
parse_fasta	0.041
write_normalized_fasta	0.058
write_official_xlsx	0.003
official_validator	20.262
vhh_screen	95.789
read_screen_summary	0.001
merge_vhh_eval	0.000
load_official_positive_cdrs	0.002
load_local_positive_cdrs	0.003
positive_cdr_novelty	3.025
team_diversity_deferred	0.000
load_docking_summary	0.000
build_portfolio	0.000
write_cdr_novelty	0.001
write_team_diversity	0.001
write_portfolio_ranked	0.001
select_portfolio	0.000
write_submission_fasta	0.001
write_reserve_fasta	0.001
write_submission_xlsx	0.003
write_report	0.001
write_details	0.028
