package_version,assay_sample_id,sequence_sha256_expected,sequence_sha256_observed,expression_lot_id,expression_date,expression_system,vector_id,purification_tag,expression_yield_mg_per_l,purity_fraction,sec_monomer_fraction,aggregation_fraction,identity_method,identity_call,scientist_qc_call,raw_data_path,raw_data_sha256,exclusion_reason,notes
pvrig_v2_5_prospective_assay_execution_v1,PV25-AF7BF4690276,485d6dabf8f09648621cf862a2284c315cf5bed93557562d6af7acd67e7feb7a,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-DE9C8DFE4861,60ef96dbf1c4727afd26d05b2f014b60a78a75fae332a4068df79a0584884f18,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-8D20C3023A46,c938d65b23d31ac9e807e072ba638b046336928d90a665da6591dae6bc681807,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-40B33790B584,cc2b6747c7bcb21f59968eee1a87c41523da6f910388b71ea5386a63afc5e625,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-6A6961CA8FD0,d7e0ab854cbc9e7dbba0e6990a040d2585fb162b97ad9c47934c3563a652f72e,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-C255FFAAB1B9,6c43ddc784ed94e567bce660e652a12568739093a4cafbe9a11336c686a447a7,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-804E6EE661C1,355b7ff74e334acc91a2257c1c00868cd64983b075b31710c345b7621ed16ea8,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-675BA2BE55B3,45f4697b37a06f19603ede1b2ce234e5bc91856ff40c4f4a9a20bb58d70aee92,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-F71A83DB4BFF,bd2baca0ced2ecbdb88aafe23a9b24dd7ad89528fd8bb41bfa45244e70a6b7c9,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-3571F177632A,4cada0fb4f5a5204d999384bfd4fa3c022fa61d19b8a0cdc73191752e5ff353e,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-8938C0A749C4,0ea1ebdd5f9a5c3e5927d7986e70549d4cf9840079ed7ca5dc837ce1cc698438,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-2BBDF6129351,c39dc7d8ce6af2368e4fb1528a8525e77fde27448c2c84fa001e08e65655f6de,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-9F1C72694644,4e01a499c9625e7acec711f477dcdb9008279cf95763572ece323ba45581d220,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-F64FB2334278,799feaaf9f1c669876339f3a766ffcdd7c40738bf6d36ffad0979138914694ca,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-F02C5D45E58B,09df34d971eecdee33b3c6be271101d38c364b67523dc4a4bbd67ccb7c14e3e4,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-EF3F71502C71,4ec2ce280cb73d47eb6bc460a4a784f055f40776acce5c6e362c13f5ae936ecd,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-B7BCA72D92CC,af56e1f430cd23bfe6c767cae60e98c83d165aa0deed72f764924fb64dd409d6,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-81A9A17E9E11,edfff0764308060abdfea037868754fa8f15ca1ba1438bc6fd26f969f4b0b007,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-8E96BF37FD37,0d019d7ee203854ba04c80356f1e8ca2ed35e14ff609b7ba5ab63e0f3214c57a,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-0B63D218E0F3,a58fdec054e565dd8dcd95dee5f1c4508a26feeca4e5a126db66ebe2a77aa8a6,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-25F7D6778F87,76413dbdc48ab17b144ab10be41e5ebc07b20faeab5865f6b893aea2d5ddf0bb,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-9215C414C637,bee6330a40a63d973e04aa60020b6da8a7b190ad16a3e3059528fe83499454f0,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-D4008458DBA9,776cdaad0ea3b79b9fd7f9d32614849b2cf7b0916b715f37816d5bda9487ec97,,,,,,,,,,,,PENDING,PENDING,,,,
pvrig_v2_5_prospective_assay_execution_v1,PV25-47791B58B2D2,50974adf3805444b38285f234af7db5f69871d6a9f0a7f41fb2bd68965d77681,,,,,,,,,,,,PENDING,PENDING,,,,
