candidate_id,input_row_index,model_key,model_family,model_name,model_version,status,raw_score,raw_prediction,raw_score_name,raw_site_scores_json,raw_site_positions_json,raw_components_json,checkpoint_path,checkpoint_status,checkpoint_size_bytes,checkpoint_mtime,source_model_root,source_script,adapter_version,evidence_boundary,error
zym_test_6823,0,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,unavailable,,,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_7635,1,nanobind_seq,NanoBind,NanoBind-seq,local_checkout_esm2_t6_8M_UR50D,unavailable,,,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,38904282,2026-07-06T17:08:19+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_seq.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_6823,0,nanobind_site,NanoBind,NanoBind-site,local_checkout_esm2_t6_8M_UR50D,unavailable,,,antigen_site_probability_vector,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_site(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,103432362,2026-07-06T18:13:27+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_site.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_7635,1,nanobind_site,NanoBind,NanoBind-site,local_checkout_esm2_t6_8M_UR50D,unavailable,,,antigen_site_probability_vector,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_site(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,103432362,2026-07-06T18:13:27+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_site.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_6823,0,nanobind_pro,NanoBind,NanoBind-pro,local_checkout_esm2_t6_8M_UR50D,unavailable,,,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_pro(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,144160852,2026-07-06T17:16:44+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_pro.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_7635,1,nanobind_pro,NanoBind,NanoBind-pro,local_checkout_esm2_t6_8M_UR50D,unavailable,,,probability,,,,/mnt/d/work/抗体/code/downloaded_models/NanoBind/output/checkpoint/NanoBind_pro(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_good.model,present,144160852,2026-07-06T17:16:44+0800,/mnt/d/work/抗体/code/downloaded_models/NanoBind,/mnt/d/work/抗体/code/downloaded_models/NanoBind/predict_pro.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_6823,0,deepnano_seq,DeepNano,DeepNano-seq(NAI)-8M,local_checkout_esm2_t6_8M_UR50D,unavailable,,,ensemble_probability,,,,/mnt/d/work/抗体/code/downloaded_models/DeepNano/output/checkpoint/DeepNano_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_best.model,present,42541827,2026-07-06T17:22:15+0800,/mnt/d/work/抗体/code/downloaded_models/DeepNano,/mnt/d/work/抗体/code/downloaded_models/DeepNano/predict.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_7635,1,deepnano_seq,DeepNano,DeepNano-seq(NAI)-8M,local_checkout_esm2_t6_8M_UR50D,unavailable,,,ensemble_probability,,,,/mnt/d/work/抗体/code/downloaded_models/DeepNano/output/checkpoint/DeepNano_seq(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_best.model,present,42541827,2026-07-06T17:22:15+0800,/mnt/d/work/抗体/code/downloaded_models/DeepNano,/mnt/d/work/抗体/code/downloaded_models/DeepNano/predict.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_6823,0,deepnano_site,DeepNano,DeepNano-site(NAI)-8M,local_checkout_esm2_t6_8M_UR50D,unavailable,,,antigen_site_probability_vector,,,,/mnt/d/work/抗体/code/downloaded_models/DeepNano/output/checkpoint/DeepNano_site(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_best.model,present,47179281,2026-07-06T17:22:18+0800,/mnt/d/work/抗体/code/downloaded_models/DeepNano,/mnt/d/work/抗体/code/downloaded_models/DeepNano/predict.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
zym_test_7635,1,deepnano_site,DeepNano,DeepNano-site(NAI)-8M,local_checkout_esm2_t6_8M_UR50D,unavailable,,,antigen_site_probability_vector,,,,/mnt/d/work/抗体/code/downloaded_models/DeepNano/output/checkpoint/DeepNano_site(esm2_t6_8M_UR50D)_SabdabData_finetune1_TF0_best.model,present,47179281,2026-07-06T17:22:18+0800,/mnt/d/work/抗体/code/downloaded_models/DeepNano,/mnt/d/work/抗体/code/downloaded_models/DeepNano/predict.py,external_priors_v1,external_nanobody_antigen_prior_not_blocker_score,missing Python dependencies: torch (ModuleNotFoundError: No module named 'torch'); transformers (ModuleNotFoundError: No module named 'transformers'); Bio (ModuleNotFoundError: No module named 'Bio')
