schema_version	portfolio_role	candidate_id	sequence_sha256	parent_framework_cluster	target_patch_id	design_mode	sequence_prediction	structure_prediction	sequence_rank	structure_rank	sequence_rank_percentile	structure_rank_percentile	rank_delta_sequence_minus_structure	claim_boundary
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00118__A_CENTER__H1H3__B00__M02	0dab36098da3af8eddd983448b49678fa425522da00c89466c90e56777aa1723	C0078	A_CENTER	H1H3	0.573483468144	0.553497235379	301	721	0.772554965883	0.45413191812	-420	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00118__A_CENTER__H1H3__B00__M00	a238bfde3f7c8c23d941208138a08a821e9c139464174f63a2333ae14dd52578	C0078	A_CENTER	H1H3	0.57492060822	0.543934176271	278	837	0.789992418499	0.366186504928	-559	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00118__A_CENTER__H3__B06__M01	9df391ad1f7f731bc86dca01679fcc3920cd997ca44239582896cdfc6a1eb7dd	C0078	A_CENTER	H3	0.553710195923	0.550529452365	667	761	0.495072024261	0.423805913571	-94	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00118__A_CENTER__H3__B01__M00	dd189573e150962e16dca83db511f0a92f792abd6ca6251ce5fa44283f963295	C0078	A_CENTER	H3	0.556407374952	0.537945094452	591	907	0.552691432904	0.313115996967	-316	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00118__B_LOWER__H1H3__B03__M02	0034946d1e53a866beb9ace4f4b387cacaa00ce13c55fbe676490a948e084480	C0078	B_LOWER	H1H3	0.568577632886	0.550575356234	368	759	0.721758908264	0.425322213798	-391	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00118__B_LOWER__H1H3__B08__M00	ac43959869c3355c7c5a7fee3a47dd383391531b82b7d6682c866891304998de	C0078	B_LOWER	H1H3	0.569548688754	0.533880286083	360	957	0.727824109174	0.275208491281	-597	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00118__B_LOWER__H3__B05__M02	9b57454715ff42a5a141af14360211f28634101c701eb01198134de29f04cb09	C0078	B_LOWER	H3	0.560383712865	0.554464378692	508	708	0.615617892343	0.463987869598	-200	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00118__B_LOWER__H3__B11__M01	0c5608c616f1be643439e73784fb3cb4e3d1cfcf6108e9763cb26c0f9c83524d	C0078	B_LOWER	H3	0.533368351104	0.548643785142	1048	785	0.206216830933	0.405610310842	263	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00118__C_CROSS__H1H3__B03__M01	13389ee123ce3bb9f8c0f5b2f7d32d17f414c23b996cb06c92aa86021ed71421	C0078	C_CROSS	H1H3	0.572328564138	0.55745015032	326	655	0.75360121304	0.504169825625	-329	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00118__C_CROSS__H1H3__B07__M01	e65d9ae1e2edf46a933ebf379f317356038216d36a8b6d1fc503f246bbe31bbe	C0078	C_CROSS	H1H3	0.561449990041	0.52939268476	478	1024	0.638362395754	0.224412433662	-546	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00118__C_CROSS__H3__B05__M02	a5e3506a9a01b8f539ddc85d72e41b1190786bc88042a46d826a0fb556ad7fcf	C0078	C_CROSS	H3	0.557043309532	0.556328020471	583	678	0.558756633813	0.48673237301	-95	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00118__C_CROSS__H3__B03__M02	ae6503b7a6c9f420145f00751d55da0c4a01879a37066b0193e7396096a8ec0f	C0078	C_CROSS	H3	0.554620518785	0.535419046371	643	940	0.51326762699	0.288097043215	-297	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00136__A_CENTER__H1H3__B05__M00	196b3f874df4b5a1e94148487f79bafd86f82fe96f2c7777efef46da4554824d	C0086	A_CENTER	H1H3	0.584362169853	0.579154514253	179	162	0.865049279757	0.877937831691	17	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00136__A_CENTER__H1H3__B01__M02	ffc6adf1f8ea9c6fa3f3e187804f18ab3d35615919a8d1ddb011fd137fd50df4	C0086	A_CENTER	H1H3	0.567563217237	0.58161095169	382	139	0.711144806672	0.895375284306	243	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00136__A_CENTER__H3__B05__M00	bedce85c92cb70cc9107e3738f367d7cf5e910c4f0450828bf4f77ff903784a1	C0086	A_CENTER	H3	0.580360739327	0.579215589515	224	160	0.83093252464	0.879454131918	64	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00136__A_CENTER__H3__B08__M01	5589c016a15dcdc73dfd362f7630223a4a4509f0b32b05e6e6c5615a1171c01a	C0086	A_CENTER	H3	0.584497290897	0.564138801378	175	562	0.868081880212	0.574677786202	-387	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00136__B_LOWER__H1H3__B03__M01	cb1f9b52e9a8fc3488f815b2c4651a781d47e209d104a7b370feb7c272fa5a2b	C0086	B_LOWER	H1H3	0.580961445484	0.578652344388	215	170	0.837755875663	0.871872630781	45	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00136__B_LOWER__H1H3__B00__M01	b80c9828738008fd140f031c5bae2d503e12f632090b0d13b6100572ebf271e7	C0086	B_LOWER	H1H3	0.579225585691	0.565367245313	237	530	0.821076573161	0.598938589841	-293	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00136__B_LOWER__H3__B10__M00	fd75dc52005cfb72e65f8320695baf9b3015e339368a3cfae4b1729bcd25b101	C0086	B_LOWER	H3	0.579726478831	0.578527419517	232	175	0.82486732373	0.868081880212	57	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00136__B_LOWER__H3__B08__M00	f0ad05647132b33e2042897de9bf344fd6e8a50c53cf71f0af2734732499157a	C0086	B_LOWER	H3	0.588717025452	0.565988956759	144	518	0.891584533738	0.608036391205	-374	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00136__C_CROSS__H1H3__B05__M01	0f73bd999e3f05ea22b1cedd18a07a6852de5e090449a0d01adfcf0e66aaf05a	C0086	C_CROSS	H1H3	0.584215654229	0.578605322436	184	171	0.861258529189	0.871114480667	13	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00136__C_CROSS__H1H3__B07__M02	0ceac81319705684aa746b5a20e748a97432f10c1195cc2e60eda6d453a1078c	C0086	C_CROSS	H1H3	0.58031684686	0.560413199349	225	609	0.830174374526	0.539044730857	-384	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00136__C_CROSS__H3__B05__M00	8c2ee016be1607e0b216ab4a8615a5000f37973b852e38d6d7a31d5a9d1db221	C0086	C_CROSS	H3	0.570848642048	0.582773069469	339	129	0.743745261562	0.902956785444	210	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00136__C_CROSS__H3__B08__M01	1b105d61e6422db6954f58ed3326d66702437131ee0cc925a6d14f030cfdcf01	C0086	C_CROSS	H3	0.582123261191	0.566624153426	205	494	0.845337376801	0.626231993935	-289	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00207__A_CENTER__H1H3__B03__M01	5f9ccd0fd09f645b45cb25dab092c98f042ff91ab693cef410efffe7b2412d7b	C0145	A_CENTER	H1H3	0.567107056525	0.545664101708	386	820	0.708112206217	0.379075056861	-434	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00207__A_CENTER__H1H3__B09__M02	bfa77add5d365755999ef82b71e23a78a4b8f1bd23559b797191edf2b4b59fe1	C0145	A_CENTER	H1H3	0.562194076386	0.532188354405	464	983	0.648976497346	0.255496588324	-519	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00207__A_CENTER__H3__B06__M01	76ada80f1af95058820495844225f94fc5a75241d7f96785fb7a711543c1800e	C0145	A_CENTER	H3	0.547949072942	0.538764488728	802	892	0.392721758908	0.324488248673	-90	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00207__A_CENTER__H3__B10__M01	90a7239493bd41416705595b582a7deddc1836908fd0680e25deed1c94e77bd8	C0145	A_CENTER	H3	0.530826213594	0.541008570162	1086	868	0.177407126611	0.342683851403	218	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00207__B_LOWER__H1H3__B09__M00	122bd86a98039e983d2c296cc8998ce4d8ab2243592c2cf4c7ec2017469fba0d	C0145	B_LOWER	H1H3	0.562700542803	0.536737994887	456	919	0.655041698256	0.304018195603	-463	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00207__B_LOWER__H1H3__B03__M01	8b6d2942dd3f11cc615f281815391533319bf7277e0375b3058a6ff773bf24b5	C0145	B_LOWER	H1H3	0.55780534447	0.535696595245	568	936	0.570128885519	0.291129643669	-368	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00207__B_LOWER__H3__B00__M02	90e75e03f97b77a304a915f58b9fc2dc25c5cbc9b19da1099eab7a0bef1d342a	C0145	B_LOWER	H3	0.547844835731	0.53890814304	805	888	0.390447308567	0.327520849128	-83	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00207__B_LOWER__H3__B06__M02	35ec5fa5e5a881784a6f289253f41af03a61d5618279bf65bcf8772690faf014	C0145	B_LOWER	H3	0.526827413477	0.5428646637	1143	854	0.134192570129	0.353297952995	289	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00207__C_CROSS__H1H3__B03__M00	395abe52adcb52d38cd30aaa6ed93b945c382327df8339aed5b9478649181f65	C0145	C_CROSS	H1H3	0.560075808397	0.537651994512	516	909	0.609552691433	0.31159969674	-393	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	SEQUENCE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00207__C_CROSS__H1H3__B03__M01	d9c0f9095c2a0fde14cd473e6fb725f0b413406b9cbc600600c46dc90b42d120	C0145	C_CROSS	H1H3	0.56000282355	0.53571113795	521	935	0.605761940864	0.291887793783	-414	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	CONSENSUS_HIGH	V4H__PLDNANO_VHH_00207__C_CROSS__H3__B05__M02	d7a458eba2d19c2129f18f9f11a6790be9e47c5681a3e40f97e088ec30fcc496	C0145	C_CROSS	H3	0.55544192173	0.542918929307	619	853	0.531463229719	0.354056103108	-234	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	STRUCTURE_FAVORED_DISAGREEMENT	V4H__PLDNANO_VHH_00207__C_CROSS__H3__B11__M01	c9d6a36df000d0731bf79d49aac0e1f73939359838d3cc7f0f0bee11374b0d07	C0145	C_CROSS	H3	0.531703196688	0.534588933851	1076	953	0.184988627748	0.278241091736	123	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
