schema_version	parent_framework_cluster	fold_id	supervised_candidate_count	campaign
pvrig_v6_target_conditioned_training_data_v1	C0148	0	115	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0224	0	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0417	0	119	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0418	0	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0453	0	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0492	0	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0533	0	6	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0078	1	118	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0086	1	116	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0116	1	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0139	1	7	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0219	1	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0406	1	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0495	1	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0009	2	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0145	2	117	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0248	2	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0258	2	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0409	2	117	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0411	2	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0509	2	6	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0162	3	117	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0251	3	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0304	3	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0348	3	117	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0500	3	6	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0502	3	13	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0518	3	12	V4_D_OPEN_TRAIN_MULTI_SEED
pvrig_v6_target_conditioned_training_data_v1	C0176	4	116	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0283	4	117	V4_H_STAGE1_SEED917
pvrig_v6_target_conditioned_training_data_v1	C0360	4	112	V4_H_STAGE1_SEED917
