job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M01_8x6b_s917_68f43cdd0798	V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M01	8x6b	917	68f43cdd07981cb5156cab414e399072b35864b58cb5b786f632fc79c130af3a
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M01_9e6y_s917_adef19ce0533	V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M01	9e6y	917	adef19ce0533b70703f3e74cdaa091866f824456ca82520e7561aed52a2fbb4b
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M02_8x6b_s917_652d5bee4e48	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M02	8x6b	917	652d5bee4e48bcb4bdfe0d51d67f7af7411022553a00c3404fd6d5b3f524ea03
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M02_9e6y_s917_a2a61e0e87ed	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M02	9e6y	917	a2a61e0e87ed0a8c57e1114b057b35f029836c68c0a932437b04cc705f0d10ef
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B09__M00_8x6b_s917_1fecee82caf4	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B09__M00	8x6b	917	1fecee82caf4b0f0ecfb61b79560684d9662a39395faefa024908b5fb3c6bd90
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B09__M00_9e6y_s917_4c51b539cfaa	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B09__M00	9e6y	917	4c51b539cfaa7441a0a8201b37ddb5c45430650aa32b2e8d342a846631e62725
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B11__M00_8x6b_s917_79090e5adade	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B11__M00	8x6b	917	79090e5adadeee43e62137b62b0fbc1bf83ca0cdb4131d977cf948c7c13c3cd7
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B11__M00_9e6y_s917_baece80292eb	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B11__M00	9e6y	917	baece80292eb4bb6ade425d907ca973e682e2833f0a55ff83b404c4df50ce16b
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01_8x6b_s1931_5f7a3b90f5ec	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01	8x6b	1931	5f7a3b90f5ec859ad636b648ec312cb0bd024bc989baa75f02f04efa694e0141
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01_9e6y_s1931_4c636437f2ac	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01	9e6y	1931	4c636437f2acdbfdb457f2d39d60fe18378bfd01b17f4151ece94b7ea5ffc8ce
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01_8x6b_s917_a276f0c8f7f4	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01	8x6b	917	a276f0c8f7f4fa046310fb284aa8bbaac8085564aeac806780701421f920847e
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01_9e6y_s917_659c192451b5	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B03__M01	9e6y	917	659c192451b51f2d2eda836025728cab8a465933f4ec697e06ebf4fad2c9817d
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B06__M00_8x6b_s917_cadf316f8557	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B06__M00	8x6b	917	cadf316f85572dab71e85160484546446c5fb9ce3b69b9eb26c40d2f2ea076fb
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B06__M00_9e6y_s917_fe5ddcac636f	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B06__M00	9e6y	917	fe5ddcac636f8027875ebc4375faf69e28215e2df47132f87659fd9e226c7b0e
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B00__M02_8x6b_s917_2cd0600dc77d	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B00__M02	8x6b	917	2cd0600dc77d0198f7a269befe65fabaa182cd20fd39d8ea028a3054d6e16efe
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B00__M02_9e6y_s917_351c6c08a08c	V29_RF__RFV1__PLDNANO_VHH_00171__A_CENTER__H3__B00__M02	9e6y	917	351c6c08a08c82a7fca524558b953edf98ebefcf5b172a55d458a8910f0bf776
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M00_8x6b_s917_40f83ebd7f43	V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M00	8x6b	917	40f83ebd7f43f6bb52285fc1ffbb4f5cb5f8d7f2811eb707f2755577af029e14
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M00_9e6y_s917_de0fddb5a719	V29_RF__RFV1__PLDNANO_VHH_00171__C_CROSS__H3__B11__M00	9e6y	917	de0fddb5a7197bfcf44f77eb041dfd573514835ae580ab088240cef45169f859
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B03__M02_8x6b_s917_c4dca74f67f6	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B03__M02	8x6b	917	c4dca74f67f6dabfd6f64350920373a3a39103b8057ee3ed9aedb3b311f35d28
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B03__M02_9e6y_s917_1c3d0a709b09	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B03__M02	9e6y	917	1c3d0a709b098cb5f24c0a96e3fdfa53b1ce9eabcff6a276ef574238105dd260
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M01_8x6b_s917_80fe83dd3f57	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M01	8x6b	917	80fe83dd3f57522a4179986676fc7d8ba08d65c91e8f47245fa64e35fb733abe
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M01_9e6y_s917_8e23bf45bd3d	V29_RF__RFV1__PLDNANO_VHH_00171__B_LOWER__H3__B04__M01	9e6y	917	8e23bf45bd3d299aeb12227911151816d2fe246c0b7557aa1c7f44346f6ad73d
CANDIDATE_V29_GEN__C0116__1E3644722DE71990_8x6b_s917_7bd439e3337a	V29_GEN__C0116__1E3644722DE71990	8x6b	917	7bd439e3337a739577c0d5e036c9070940eb14ea389f8d7bd3497837169d4597
CANDIDATE_V29_GEN__C0116__1E3644722DE71990_9e6y_s917_53082a5f3a12	V29_GEN__C0116__1E3644722DE71990	9e6y	917	53082a5f3a12712847225c7937aa34701f02b90c90a4d0b480cbd52317f2d914
CANDIDATE_V29_GEN__C0116__A5D1FEEB59765E67_8x6b_s917_f3f04d482028	V29_GEN__C0116__A5D1FEEB59765E67	8x6b	917	f3f04d482028cc7059e3c4f417583d14c75a886bdf250d4bdb14f82ca9d2db47
CANDIDATE_V29_GEN__C0116__A5D1FEEB59765E67_9e6y_s917_149b9188c90e	V29_GEN__C0116__A5D1FEEB59765E67	9e6y	917	149b9188c90ee7ad21252881185410dff95fc3accd2890c2e80607ed15a0796c
CANDIDATE_V29_GEN__C0116__85322689B7703A91_8x6b_s917_8722533b7057	V29_GEN__C0116__85322689B7703A91	8x6b	917	8722533b705750c6bf9dd40148a41b7cd6261fd058c6f2d492183a1e5ed2f9ac
CANDIDATE_V29_GEN__C0116__85322689B7703A91_9e6y_s917_4af5568df64c	V29_GEN__C0116__85322689B7703A91	9e6y	917	4af5568df64c37ce521eb39444c6ad0087ea77b53451d7735e0d2375cdbad934
CANDIDATE_V29_GEN__C0116__A9ED1031DFAD31F1_8x6b_s1931_18424a9e1b04	V29_GEN__C0116__A9ED1031DFAD31F1	8x6b	1931	18424a9e1b04af0d04a3721aae3c01887471ed05bc954783e7be3f178ba77dbd
CANDIDATE_V29_GEN__C0116__A9ED1031DFAD31F1_9e6y_s1931_a70db6f9695b	V29_GEN__C0116__A9ED1031DFAD31F1	9e6y	1931	a70db6f9695b2f828899294c65ae7c2c9c598a39276ee42ffcc9e5b67ce01bf3
