job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_GEN__C0048__C866C73AE2C60A55_8x6b_s917_19ae48fd6814	V29_GEN__C0048__C866C73AE2C60A55	8x6b	917	19ae48fd681431ed7aa6ea54a99a7be76ca9f1b1c4d41dfd0cbfaed19cd1f649
CANDIDATE_V29_GEN__C0048__C866C73AE2C60A55_9e6y_s917_730dead2884e	V29_GEN__C0048__C866C73AE2C60A55	9e6y	917	730dead2884e833f14a5cea89c538e007dc3e00735b71ab93fdf37bf2b7f7eb1
CANDIDATE_V29_GEN__C0048__B9002AEB9AC7A15E_8x6b_s917_43bb40a6c8c0	V29_GEN__C0048__B9002AEB9AC7A15E	8x6b	917	43bb40a6c8c01438ed25453e48e6a6dae0345d277ba7acd1fae667bd42eaf0b5
CANDIDATE_V29_GEN__C0048__B9002AEB9AC7A15E_9e6y_s917_5a94d4588fb5	V29_GEN__C0048__B9002AEB9AC7A15E	9e6y	917	5a94d4588fb5db741e8d7b83e0f8bc568896cbe7197d37238bd2ed04b998126f
CANDIDATE_V29_GEN__C0048__19FAC0567CC1227C_8x6b_s917_f4e860d1d0a6	V29_GEN__C0048__19FAC0567CC1227C	8x6b	917	f4e860d1d0a6960283cf4a107a15140826043406102eb043c8045d11a8fd3cb6
CANDIDATE_V29_GEN__C0048__19FAC0567CC1227C_9e6y_s917_d858c5c263e3	V29_GEN__C0048__19FAC0567CC1227C	9e6y	917	d858c5c263e333534fa06d8d9c6b95d63202ae976a755558f0195ecbb3d70b40
CANDIDATE_V29_GEN__C0048__8066EFA07A85C427_8x6b_s917_90e43614462f	V29_GEN__C0048__8066EFA07A85C427	8x6b	917	90e43614462fe487e4794a93aa1097cdb05a8da6d1386098c05602c477540c28
CANDIDATE_V29_GEN__C0048__8066EFA07A85C427_9e6y_s917_4aa4f69f1b35	V29_GEN__C0048__8066EFA07A85C427	9e6y	917	4aa4f69f1b35bacb0726abe37c0b8fc0f8f0180bf4644fa36c7187a1aa3f653e
CANDIDATE_V29_GEN__C0048__809D13816D43386D_8x6b_s1931_307d90b98945	V29_GEN__C0048__809D13816D43386D	8x6b	1931	307d90b989458a0f5b8350db764005f07bb7382ea0cf1f19053a6570de8a1cf3
CANDIDATE_V29_GEN__C0048__809D13816D43386D_9e6y_s1931_d1a7c5b73a0c	V29_GEN__C0048__809D13816D43386D	9e6y	1931	d1a7c5b73a0c412cf5b7927105f7f8871a89f967b1b3a3ce6378dc299627db9b
