candidate_id	sequence_sha256	monomer_status	pdb_path	pdb_sha256	successful_mode	technical_failure_reason	claim_boundary
V29_GEN__C0052__7642294FDAAC8279	c413bda4f4ab04e9c0e047fa1e5314b6ae3d165a17fd7e52b744cb1c46d61aef	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0074__59350B1B9373B9CC	f919371c981420ef100bb54c01b60e8584b3aefbf8d96d885de8406307f633e1	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0079__023D81247DC81502	9478dcd88651301c816c46023ef70bf9a6938f028d83aed342abc723870e80cb	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0139__87D897005D4046BB	dbbd5648477917487b7b275554b410392b9b91619159a8bdd56473f0e780074e	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0139__83B21A868087BA1C	4530bbee59992a27b6f6be4a6bab04d806546dcac004a97dcedf917cf1a09263	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0145__58329CCBD5720816	f4a31c151f4b4c584104880d7f30892b9a3218ada479ceabe11137434c090f20	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0183__CCDCD7587158308C	79aba289192f0045f87ff7e76a01141ef1f83c012cf10f821e69ec6332c1d28e	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_GEN__C0210__1703001DF216BD44	14f36c68723fb07b760e19ea64acad63c032f462408c1833bceb36baae2a0263	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00376__B_LOWER__H3__B03__M02	ea029f9fb0ce6551983ea51e8f4a8723129a7a1e044997b9ba87167acebaeea4	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
V29_RF__RFV1__PLDNANO_VHH_00515__C_CROSS__H3__B03__M00	c8fe2f2b84014a60a8ece5e0b469cefe5985530ef109dfaff9f5bc97a033a27a	TECHNICAL_FAILURE				NBB2_REFINED_AND_UNREFINED_FAILED_OR_INVALID	Monomer structure generation and exact-sequence geometry QC only; not binding, affinity, competition, experimental blocking, or Docking Gold.
