job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_GEN__C0324__5ECD04AA96F8F58E_8x6b_s917_000b653a5f73	V29_GEN__C0324__5ECD04AA96F8F58E	8x6b	917	000b653a5f734c3a7d5c9a10286de4906510d4b7a7dd4e37d7cd78d8241e1b3b
CANDIDATE_V29_GEN__C0115__BE9B7FEC36F5AA62_8x6b_s917_000d35d6d9c9	V29_GEN__C0115__BE9B7FEC36F5AA62	8x6b	917	000d35d6d9c93f938086c3532151c1d6afbf3661660d38a1815eacf1bed413af
CANDIDATE_V29_GEN__C0283__8D9B0A82262BF7B2_9e6y_s1931_00116b0a9a59	V29_GEN__C0283__8D9B0A82262BF7B2	9e6y	1931	00116b0a9a59d541e334da297e7ce9e8ee46cbfc9666d231ef8034b0f3c4e0b9
CANDIDATE_V29_GEN__C0514__8BE89ED691A3C5F8_9e6y_s1931_001c45b87b7a	V29_GEN__C0514__8BE89ED691A3C5F8	9e6y	1931	001c45b87b7ab788d879f4edb20daa800607606b71a0d1aa72cc9927eccdb275
CANDIDATE_V29_GEN__C0144__A5D03BC3B1DD0B0F_9e6y_s917_002bb5c5501b	V29_GEN__C0144__A5D03BC3B1DD0B0F	9e6y	917	002bb5c5501b4aa10d41d2b460247ae13fe0ef1ae6e2086492173f98b0684cce
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00384__B_LOWER__H3__B04__M02_8x6b_s917_002cd8f8898c	V29_RF__RFV1__PLDNANO_VHH_00384__B_LOWER__H3__B04__M02	8x6b	917	002cd8f8898c15b3d5d024d2e9b2889a2f88b5fc165a740204bb9d5b7bb3d235
CANDIDATE_V29_GEN__C0125__D3A353572795E32E_8x6b_s917_002fedfafbed	V29_GEN__C0125__D3A353572795E32E	8x6b	917	002fedfafbed5588ff41c2845ca5e8806f31cbc04fa71370fcc4935417bd1522
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H1H3__B05__M01_8x6b_s917_0030a111418d	V29_RF__RFV1__PLDNANO_VHH_00895__B_LOWER__H1H3__B05__M01	8x6b	917	0030a111418d42b605379d6fdc199fb6035dad69ee54318e159f4aef8ed8522b
CANDIDATE_V29_GEN__C0210__C0562450A6D286D9_8x6b_s1931_00451acea005	V29_GEN__C0210__C0562450A6D286D9	8x6b	1931	00451acea00525e6e230fe438699cd130f629841bcee240de1b753f3c7aab2c6
CANDIDATE_V29_GEN__C0283__267D9896DA5EDAEA_8x6b_s917_00494ecb1141	V29_GEN__C0283__267D9896DA5EDAEA	8x6b	917	00494ecb1141b1e51cb7c80a30ea66e7e7385b9929ed2741e29e94545fd76b31
CANDIDATE_V29_GEN__C0411__4D739E099FC004BD_8x6b_s917_0052c33abe96	V29_GEN__C0411__4D739E099FC004BD	8x6b	917	0052c33abe96f9d82c335383918368f0c46202698656aecb09161f11ec473bf6
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00515__C_CROSS__H3__B09__M00_8x6b_s917_005682f43c55	V29_RF__RFV1__PLDNANO_VHH_00515__C_CROSS__H3__B09__M00	8x6b	917	005682f43c55f231b8c174b9db2c64787af8063d1785d06cb2742817478c1a04
CANDIDATE_V29_GEN__C0147__6366C9626C12C436_9e6y_s917_005af4d95a9c	V29_GEN__C0147__6366C9626C12C436	9e6y	917	005af4d95a9ca74f26489386d9e87eaa0e5808f421d7e52ea4954a26b5c2c58e
CANDIDATE_V29_GEN__C0409__D49E35CD90C463BB_9e6y_s917_005d8a3a1e27	V29_GEN__C0409__D49E35CD90C463BB	9e6y	917	005d8a3a1e272ca7c75161e318b4f5a75c3c72df8c39f29df711b441ec88bdcf
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00756__A_CENTER__H3__B00__M02_9e6y_s1931_0062a308b5aa	V29_RF__RFV1__PLDNANO_VHH_00756__A_CENTER__H3__B00__M02	9e6y	1931	0062a308b5aa7046d94390d2518989e63863d5f9a90c8938d447587b3a39e1ee
CANDIDATE_V29_GEN__C0125__ED40D3E9A8658D09_9e6y_s917_006a14aecf1e	V29_GEN__C0125__ED40D3E9A8658D09	9e6y	917	006a14aecf1eb48edb39c5f719bb8a9a61a3f0e737c3474b964f73ad25e00b16
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00384__A_CENTER__H3__B10__M00_9e6y_s917_00728f3f97d7	V29_RF__RFV1__PLDNANO_VHH_00384__A_CENTER__H3__B10__M00	9e6y	917	00728f3f97d799d7547de5bb0d9cd5dd592950f8fb2cc4fedd2f2be4e4551afc
CANDIDATE_V29_GEN__C0119__D2F52502267906CF_9e6y_s917_00759a26a8d5	V29_GEN__C0119__D2F52502267906CF	9e6y	917	00759a26a8d52471f8c9be8c489e34a9e823d87263e8659a656567b595961b13
CANDIDATE_V29_GEN__C0418__7153DC1A080965EF_8x6b_s1931_007d208beade	V29_GEN__C0418__7153DC1A080965EF	8x6b	1931	007d208beade726487fb24058c66cc94512ba0feec8c6220cb7db5394e48ce59
CANDIDATE_V29_GEN__C0147__E04CDBB1BE868BAF_8x6b_s917_007d5aa88544	V29_GEN__C0147__E04CDBB1BE868BAF	8x6b	917	007d5aa885446d4d1faf8e8897a135698b531d3b3a185a8dcd4d907ed02f95c6
CANDIDATE_V29_GEN__C0007__46EEBF1088CF9750_9e6y_s917_0082ef1c412d	V29_GEN__C0007__46EEBF1088CF9750	9e6y	917	0082ef1c412df68f699ec2f0712ce3824d6ef7f1af86e76d29a4c7244095b9bc
CANDIDATE_V29_GEN__C0054__F61E31DF6FC9BC66_8x6b_s917_0089838d5def	V29_GEN__C0054__F61E31DF6FC9BC66	8x6b	917	0089838d5def246260b5d6bb991b5d76e4468eb08d48b9b552302364d9783653
CANDIDATE_V29_GEN__C0054__B30D2ACF69E89C98_9e6y_s3253_0092de185135	V29_GEN__C0054__B30D2ACF69E89C98	9e6y	3253	0092de185135f4c77b83deac18ac47da1ee2a47e5bb2ace88adcb5c10cef1817
CANDIDATE_V29_GEN__C0138__79193360217027E0_8x6b_s917_009762557fee	V29_GEN__C0138__79193360217027E0	8x6b	917	009762557feeeb35a240a244718c7dbf1b84039891fc0ab67ff31969d1b52e36
CANDIDATE_V29_GEN__C0125__C3C412B062A78B63_9e6y_s917_009a145901c6	V29_GEN__C0125__C3C412B062A78B63	9e6y	917	009a145901c6daea2a72c137183d2f40cbf65e27108a9aeff75bff459043344b
CANDIDATE_V29_GEN__C0074__AF163041DC5EEF76_9e6y_s917_009d51e75786	V29_GEN__C0074__AF163041DC5EEF76	9e6y	917	009d51e7578613c299b4626628323e536385dab6d40ff5de844a85adf7f61462
CANDIDATE_V29_GEN__C0009__2B0E62DD603B722A_8x6b_s3253_00a19a28dd39	V29_GEN__C0009__2B0E62DD603B722A	8x6b	3253	00a19a28dd397ced310b376d3dff64934563a44d0a98417a25192a3aaf92553f
CANDIDATE_V29_GEN__C0219__15EE0466CEAA7F29_8x6b_s917_00a3daa0902f	V29_GEN__C0219__15EE0466CEAA7F29	8x6b	917	00a3daa0902fc6b48fa5fcdc9a56425f822ddb592b161ccf92b7112702d53319
CANDIDATE_V29_GEN__C0119__198EC3631C0CAF21_8x6b_s917_00a6fbab3fb1	V29_GEN__C0119__198EC3631C0CAF21	8x6b	917	00a6fbab3fb1ca0c1ddf793f2dced4278aeed00ae25586594fbda0aba87b9446
CANDIDATE_V29_GEN__C0116__FFDDFFB06BA15075_9e6y_s917_00a9bd972c6b	V29_GEN__C0116__FFDDFFB06BA15075	9e6y	917	00a9bd972c6b91ed752d24cb26ef671b33f69fdb624bfde9a85bf34c596bb664
