chunk	status	elapsed_seconds	candidate_count
chunk_000001	complete	34.408	448
chunk_000002	complete	37.518	448
chunk_000003	complete	37.928	448
chunk_000004	complete	38.498	448
chunk_000005	complete	38.874	448
chunk_000006	complete	38.982	448
chunk_000007	complete	39.48	448
chunk_000008	complete	39.232	448
chunk_000009	complete	39.837	448
chunk_000010	complete	41.377	448
chunk_000011	complete	41.14	448
chunk_000012	complete	40.629	448
chunk_000013	complete	40.865	448
chunk_000014	complete	41.983	448
chunk_000015	complete	41.036	448
chunk_000016	complete	35.929	367
