parent_framework_cluster	candidate_count	fast_hard_pass_count	fast_hard_fail_count	fast_hard_pass_fraction	support_v4_capacity_state
C0009	178	178	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0019	170	170	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0051	190	0	190	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0072	181	0	181	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0116	167	167	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0139	151	76	75	0.503311	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0154	174	174	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0198	168	0	168	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0210	137	68	69	0.496350	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0219	177	177	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0224	192	192	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0248	184	184	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0251	185	185	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0258	197	197	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0299	180	180	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0304	179	179	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0311	183	88	95	0.480874	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0324	180	0	180	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0354	183	183	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0372	171	171	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0375	192	0	192	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0379	176	0	176	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0401	180	0	180	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0404	191	0	191	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0406	174	174	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0411	186	186	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0418	159	159	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0448	184	184	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0453	184	184	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0474	172	172	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0492	184	184	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0495	190	190	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0500	174	80	94	0.459770	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0502	157	157	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0504	186	0	186	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0509	180	83	97	0.461111	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0514	172	0	172	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0515	169	0	169	0.000000	INSUFFICIENT_FAST_QC_CAPACITY
C0518	170	170	0	1.000000	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
C0533	180	86	94	0.477778	READY_FOR_24_TEACHER_PLUS_12_AUDIT_ACQUISITION
