stage	elapsed_seconds
parse_fasta	0.001
write_normalized_fasta	0.000
write_official_xlsx	0.004
official_validator_deferred	0.000
vhh_screen	23.562
read_screen_summary	0.005
merge_vhh_eval	0.010
load_official_positive_cdrs	0.002
load_local_positive_cdrs	0.001
positive_cdr_novelty	12.205
team_diversity_deferred	0.001
load_docking_summary	0.000
build_portfolio	0.010
write_cdr_novelty	0.003
write_team_diversity	0.001
write_portfolio_ranked	0.008
select_portfolio	0.000
write_submission_fasta	0.000
write_reserve_fasta	0.000
write_submission_xlsx	0.004
write_report	0.000
write_details	0.000
