parent_framework_cluster	input_rows	fast_hard_pass	fast_hard_fail	full_rows	full_hard_pass	full_hard_fail	fast_to_full_attrition
C0009	36	36	0	36	36	0	0
C0116	36	36	0	36	36	0	0
C0139	36	36	0	36	36	0	0
C0219	36	36	0	36	36	0	0
C0224	36	36	0	36	36	0	0
C0248	36	36	0	36	36	0	0
C0251	36	36	0	36	36	0	0
C0258	36	36	0	36	36	0	0
C0304	36	36	0	36	36	0	0
C0406	36	36	0	36	36	0	0
C0411	36	36	0	36	36	0	0
C0418	36	36	0	36	36	0	0
C0453	36	36	0	36	36	0	0
C0492	36	36	0	36	36	0	0
C0495	36	36	0	36	36	0	0
C0500	36	36	0	36	36	0	0
C0502	36	36	0	36	36	0	0
C0509	36	36	0	36	36	0	0
C0518	36	36	0	36	36	0	0
C0533	36	36	0	36	36	0	0
