model	rows	positive_fraction	positive_count	budget_fraction	budget_count	hits	precision	recall	enrichment_factor
M2	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
M2	184	0.1	19	0.1	19	12	0.631578947368421	0.631578947368421	6.1163434903047085
M2	184	0.1	19	0.2	37	15	0.40540540540540543	0.7894736842105263	3.9260312944523474
M2	184	0.2	37	0.05	10	9	0.9	0.24324324324324326	4.475675675675675
M2	184	0.2	37	0.1	19	15	0.7894736842105263	0.40540540540540543	3.926031294452347
M2	184	0.2	37	0.2	37	19	0.5135135135135135	0.5135135135135135	2.553688823959094
B_seed43	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
B_seed43	184	0.1	19	0.1	19	11	0.5789473684210527	0.5789473684210527	5.606648199445983
B_seed43	184	0.1	19	0.2	37	14	0.3783783783783784	0.7368421052631579	3.6642958748221908
B_seed43	184	0.2	37	0.05	10	8	0.8	0.21621621621621623	3.9783783783783786
B_seed43	184	0.2	37	0.1	19	14	0.7368421052631579	0.3783783783783784	3.6642958748221903
B_seed43	184	0.2	37	0.2	37	17	0.4594594594594595	0.4594594594594595	2.2848794740686635
F0_ensemble	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
F0_ensemble	184	0.1	19	0.1	19	12	0.631578947368421	0.631578947368421	6.1163434903047085
F0_ensemble	184	0.1	19	0.2	37	14	0.3783783783783784	0.7368421052631579	3.6642958748221908
F0_ensemble	184	0.2	37	0.05	10	8	0.8	0.21621621621621623	3.9783783783783786
F0_ensemble	184	0.2	37	0.1	19	15	0.7894736842105263	0.40540540540540543	3.926031294452347
F0_ensemble	184	0.2	37	0.2	37	17	0.4594594594594595	0.4594594594594595	2.2848794740686635
F0_seed43	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
F0_seed43	184	0.1	19	0.1	19	11	0.5789473684210527	0.5789473684210527	5.606648199445983
F0_seed43	184	0.1	19	0.2	37	15	0.40540540540540543	0.7894736842105263	3.9260312944523474
F0_seed43	184	0.2	37	0.05	10	8	0.8	0.21621621621621623	3.9783783783783786
F0_seed43	184	0.2	37	0.1	19	14	0.7368421052631579	0.3783783783783784	3.6642958748221903
F0_seed43	184	0.2	37	0.2	37	19	0.5135135135135135	0.5135135135135135	2.553688823959094
F0_seed97	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
F0_seed97	184	0.1	19	0.1	19	13	0.6842105263157895	0.6842105263157895	6.626038781163435
F0_seed97	184	0.1	19	0.2	37	15	0.40540540540540543	0.7894736842105263	3.9260312944523474
F0_seed97	184	0.2	37	0.05	10	8	0.8	0.21621621621621623	3.9783783783783786
F0_seed97	184	0.2	37	0.1	19	15	0.7894736842105263	0.40540540540540543	3.926031294452347
F0_seed97	184	0.2	37	0.2	37	18	0.4864864864864865	0.4864864864864865	2.419284149013879
F0_seed193	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
F0_seed193	184	0.1	19	0.1	19	12	0.631578947368421	0.631578947368421	6.1163434903047085
F0_seed193	184	0.1	19	0.2	37	14	0.3783783783783784	0.7368421052631579	3.6642958748221908
F0_seed193	184	0.2	37	0.05	10	8	0.8	0.21621621621621623	3.9783783783783786
F0_seed193	184	0.2	37	0.1	19	15	0.7894736842105263	0.40540540540540543	3.926031294452347
F0_seed193	184	0.2	37	0.2	37	17	0.4594594594594595	0.4594594594594595	2.2848794740686635
M2_B_rank_mean	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
M2_B_rank_mean	184	0.1	19	0.1	19	11	0.5789473684210527	0.5789473684210527	5.606648199445983
M2_B_rank_mean	184	0.1	19	0.2	37	16	0.43243243243243246	0.8421052631578947	4.187766714082504
M2_B_rank_mean	184	0.2	37	0.05	10	8	0.8	0.21621621621621623	3.9783783783783786
M2_B_rank_mean	184	0.2	37	0.1	19	14	0.7368421052631579	0.3783783783783784	3.6642958748221903
M2_B_rank_mean	184	0.2	37	0.2	37	20	0.5405405405405406	0.5405405405405406	2.6880934989043097
M2_F0_rank_mean	184	0.1	19	0.05	10	7	0.7	0.3684210526315789	6.778947368421052
M2_F0_rank_mean	184	0.1	19	0.1	19	12	0.631578947368421	0.631578947368421	6.1163434903047085
M2_F0_rank_mean	184	0.1	19	0.2	37	15	0.40540540540540543	0.7894736842105263	3.9260312944523474
