candidate_id	sequence_sha256	primary_method	primary_pdb	primary_pdb_sha256	primary_chain	igfold_crosscheck_pdb	igfold_crosscheck_pdb_sha256	replacement_policy	claim_boundary
RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01_nanobodybuilder2_chainA.pdb	5596b951044ab917fd4fd05ffcb45c9498a8e7cde790a7fb03e852803d62e651	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01/igfold.chainA.pdb	84a2e05bd52e207cc2c8733d7eb5c855a4cc7e502658bbba05afdbdb3e438612	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00	21f3fcf48ea3f6697b5242af93c2ade265a2a4d877f733715d57840c997d3ac4	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00_nanobodybuilder2_chainA.pdb	8974ad1dc029952be459d1b7ea2fc097036ff9c836105a14ee2bb470d6b563f1	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00/igfold.chainA.pdb	c603704e8fbff04c6e7736bf9b7222ef0e0ffcc946045e16d70ec4385f8dcace	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M01	576cbf0a44d26b7f11bba00fea115259f1ac3648fbab696aba7e4095d5d8bdce	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M01/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M01_nanobodybuilder2_chainA.pdb	b6dc92deedd73730da5bfeeb823ca11a60d19da5ea3f46216035d6ce0f951554	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M01/igfold.chainA.pdb	685350006c987ccfbb6121e1345ecc1e9ecb0071f647031c2320a9d6f2385110	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M02	531cd20fd1077618bec603402872cc57bb8b1c51d53601fb61766ea99e89d040	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M02/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M02_nanobodybuilder2_chainA.pdb	e1cee263114f2fc95f683cd39b5106c9414bec90c8a266eb3cdb251aa514a0cf	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M02/igfold.chainA.pdb	9c7ca7522ea7857f232651272fdf6419461f2d9803d20036aeca337d5c80cd9d	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B06__M00	e153ff9495d773f048a2bcfdc30cf478ad551fea631379c59467318b8f644ae7	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B06__M00/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B06__M00_nanobodybuilder2_chainA.pdb	c3669bcdb6d549bc7e6405f0f0c4968742982c3ce1390b9137c94f10a8cd362f	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B06__M00/igfold.chainA.pdb	ebd347d93cc5fd74e12b2a75d0b085af9e74a69d419e01a9462cfc611a5c6adb	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B07__M01	91cfa2666511c345d7c1c9e03b2eec8b13eb9843de807cd4f4b84cc5f22e5d50	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B07__M01/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B07__M01_nanobodybuilder2_chainA.pdb	e33e0319e4a834398e9a7cb9f19ca3935dfc1aa4c7b205a8f952ed3937496c8d	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B07__M01/igfold.chainA.pdb	9afc1abe6f4b645af5ddb8df1ccc12932c4fedf51c6cf8df13bd04012928add9	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B01__M01	d4fd0f54729f7008347457d67e7c108d1ddee79438cb55430d02ad43bdd0ff09	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B01__M01/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B01__M01_nanobodybuilder2_chainA.pdb	7ee4493c2b206fef942daea902af7b4caa6004a0e23d3a2214e125d8236844e8	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B01__M01/igfold.chainA.pdb	503d84c3696ac5a801bae1a9a1e1898bb12ec841093060a5254309813357547a	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B04__M01	1fb139d3c652d5b8698106e4fc4f544235844035479e5932a05454d80b03df5f	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B04__M01/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B04__M01_nanobodybuilder2_chainA.pdb	94ed94c7c4c8986257db613c262f672eeefe3fd958154e485f995eda226355f1	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B04__M01/igfold.chainA.pdb	2f8d1f1e5064dffe13f9d96a8f55146e0b2ded271943b21161122dd4d5ad213b	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B04__M00	29827b5164018df19b9ef0131553fde206d517e0cd7cbbd6f31f9de91bd4684e	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B04__M00/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B04__M00_nanobodybuilder2_chainA.pdb	37931fa3e63e7ce4426553e781ebe915364808b5993acdaa62f044eedd5a501e	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B04__M00/igfold.chainA.pdb	0d269525b2d3728dc9f611f10cdfc7eceaa6de61dd315056b167fd7e504fcbaf	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B08__M01	05fa458278ec032bd5d3fe53ca626cc9f410d043f6f4e0018c8c86ab6fe31e63	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B08__M01/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B08__M01_nanobodybuilder2_chainA.pdb	1152b15e6f3928b02048ce5398f804f7328ddfce3daf9d2cdb4131700d602aed	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B08__M01/igfold.chainA.pdb	fbd0c10f00324613101551a8d2609dd0fbb2db3152a0353ed97160852025308a	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B00__M00	0497caae1b25fa57fed440ce52d7db6403bbd23aebca882f781ec3cdfb50fb35	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B00__M00/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B00__M00_nanobodybuilder2_chainA.pdb	29c42ca1844882fa8dfe0c2e677919851b16bdc0000627ebfe676af06c2c6595	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B00__M00/igfold.chainA.pdb	ed712d8b5b771e855611e80df8ea042ad08a0805faaee78075f837ddb9ed3f6b	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B04__M00	e5dec14841a642b4710684c67ab4e7031ff32d5ba51c79ce17e8ca2fbce76f3b	NanoBodyBuilder2	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/nbb2/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B04__M00/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B04__M00_nanobodybuilder2_chainA.pdb	80a89adbce5de90ac0dbc41252bd66de4b98ad838f2a0778abd1c00c7f141c00	A	/data1/qlyu/projects/pvrig_v4_g_c0154_hardpass12_structures_v1_20260717/outputs/igfold/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B04__M00/igfold.chainA.pdb	12af4de641d642a60bb367e26bd3bb830868ba1453ef51c7466082cc5cf91714	NO_REPLACEMENT	acquisition_only_computational_monomer_and_independent_dual_receptor_docking_evidence;not_binding_affinity_competition_experimental_blocking_or_docking_gold
