candidate_id	sequence_sha256	frozen_monomer_path	source_chain	sha256	source_method	node1_structure_receipt_sha256
RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01	bac6486cbd7b81a1efb01b4738d02f02ec7c975c65081e4b4211bd8ddaae4678	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B02__M01.pdb	A	5596b951044ab917fd4fd05ffcb45c9498a8e7cde790a7fb03e852803d62e651	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00	21f3fcf48ea3f6697b5242af93c2ade265a2a4d877f733715d57840c997d3ac4	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H1H3__B03__M00.pdb	A	8974ad1dc029952be459d1b7ea2fc097036ff9c836105a14ee2bb470d6b563f1	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M01	576cbf0a44d26b7f11bba00fea115259f1ac3648fbab696aba7e4095d5d8bdce	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M01.pdb	A	b6dc92deedd73730da5bfeeb823ca11a60d19da5ea3f46216035d6ce0f951554	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M02	531cd20fd1077618bec603402872cc57bb8b1c51d53601fb61766ea99e89d040	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__A_CENTER__H3__B08__M02.pdb	A	e1cee263114f2fc95f683cd39b5106c9414bec90c8a266eb3cdb251aa514a0cf	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B06__M00	e153ff9495d773f048a2bcfdc30cf478ad551fea631379c59467318b8f644ae7	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B06__M00.pdb	A	c3669bcdb6d549bc7e6405f0f0c4968742982c3ce1390b9137c94f10a8cd362f	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B07__M01	91cfa2666511c345d7c1c9e03b2eec8b13eb9843de807cd4f4b84cc5f22e5d50	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__B_LOWER__H1H3__B07__M01.pdb	A	e33e0319e4a834398e9a7cb9f19ca3935dfc1aa4c7b205a8f952ed3937496c8d	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B01__M01	d4fd0f54729f7008347457d67e7c108d1ddee79438cb55430d02ad43bdd0ff09	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B01__M01.pdb	A	7ee4493c2b206fef942daea902af7b4caa6004a0e23d3a2214e125d8236844e8	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B04__M01	1fb139d3c652d5b8698106e4fc4f544235844035479e5932a05454d80b03df5f	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__B_LOWER__H3__B04__M01.pdb	A	94ed94c7c4c8986257db613c262f672eeefe3fd958154e485f995eda226355f1	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B04__M00	29827b5164018df19b9ef0131553fde206d517e0cd7cbbd6f31f9de91bd4684e	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B04__M00.pdb	A	37931fa3e63e7ce4426553e781ebe915364808b5993acdaa62f044eedd5a501e	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B08__M01	05fa458278ec032bd5d3fe53ca626cc9f410d043f6f4e0018c8c86ab6fe31e63	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__C_CROSS__H1H3__B08__M01.pdb	A	1152b15e6f3928b02048ce5398f804f7328ddfce3daf9d2cdb4131700d602aed	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B00__M00	0497caae1b25fa57fed440ce52d7db6403bbd23aebca882f781ec3cdfb50fb35	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B00__M00.pdb	A	29c42ca1844882fa8dfe0c2e677919851b16bdc0000627ebfe676af06c2c6595	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B04__M00	e5dec14841a642b4710684c67ab4e7031ff32d5ba51c79ce17e8ca2fbce76f3b	inputs/candidate_monomers/RFV1__PLDNANO_VHH_00220__C_CROSS__H3__B04__M00.pdb	A	80a89adbce5de90ac0dbc41252bd66de4b98ad838f2a0778abd1c00c7f141c00	NanoBodyBuilder2	6865a62727edf9c5c124703b1fd57c3d57a23d5c21b6e622af87743c8f7dd978
