model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../3_flexref/flexref_1.pdb	-	1	-113.780	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	225.637	868.291	158.622	1294.320	0.000	0.000	0.000	-9.699	1095.770	-74.615	2252.610	0.000	0.000	0.000	111.935	-39.087	0.000	0.000
../../3_flexref/flexref_6.pdb	-	2	-104.016	0.402	0.981	1.234	0.734	0.964	0.490	-	-	-	282.009	867.016	160.222	1312.830	0.000	0.000	0.000	-11.740	1099.980	-68.824	2246.040	0.000	0.000	0.000	174.660	-38.525	0.000	0.000
../../3_flexref/flexref_9.pdb	-	3	-100.019	9.756	0.058	23.371	19.101	0.066	10.667	-	-	-	233.883	908.048	165.601	1220.960	0.000	0.000	0.000	-9.411	1077.790	-68.726	2588.080	0.000	0.000	0.000	132.097	-33.061	0.000	0.000
../../3_flexref/flexref_7.pdb	-	4	-99.789	10.083	0.058	23.970	19.423	0.064	11.092	-	-	-	258.929	898.062	165.568	1192.700	0.000	0.000	0.000	-15.512	1075.740	-56.664	2569.370	0.000	0.000	0.000	160.686	-41.579	0.000	0.000
../../3_flexref/flexref_4.pdb	-	5	-96.777	0.340	0.962	0.636	0.559	0.969	0.350	-	-	-	317.897	874.395	158.710	1302.570	0.000	0.000	0.000	-10.624	1085.490	-65.884	2246.340	0.000	0.000	0.000	212.979	-39.033	0.000	0.000
../../3_flexref/flexref_10.pdb	-	6	-89.204	12.608	0.038	25.683	21.475	0.050	13.509	-	-	-	308.267	843.325	155.995	1220.390	0.000	0.000	0.000	-14.122	1088.610	-64.816	2025.670	0.000	0.000	0.000	214.562	-28.889	0.000	0.000
../../3_flexref/flexref_2.pdb	-	7	-86.964	0.330	0.923	0.586	0.404	0.957	0.311	-	-	-	302.938	860.345	160.251	1255.660	0.000	0.000	0.000	-6.855	1094.300	-57.290	2250.070	0.000	0.000	0.000	205.093	-40.556	0.000	0.000
../../3_flexref/flexref_8.pdb	-	8	-81.674	12.390	0.077	28.331	22.497	0.058	14.071	-	-	-	162.291	941.415	171.653	1105.510	0.000	0.000	0.000	-10.942	1088.290	-41.198	2619.330	0.000	0.000	0.000	86.385	-34.708	0.000	0.000
../../3_flexref/flexref_3.pdb	-	9	-71.558	3.023	0.346	13.515	9.487	0.276	3.423	-	-	-	329.296	878.685	162.292	1403.460	0.000	0.000	0.000	-5.027	1100.470	-44.586	2134.710	0.000	0.000	0.000	243.870	-40.840	0.000	0.000
../../3_flexref/flexref_5.pdb	-	10	59.784	14.323	0.000	67.669	27.680	0.009	45.844	-	-	-	586.906	996.486	187.434	8.958	0.000	0.000	0.000	0.787	1083.820	0.438	2749.360	0.000	0.000	0.000	587.302	-0.042	0.000	0.000
