########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	4	1	yes	-56.098	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	250.478	0.000	1214.890	0.000	-17.352	0.000	-86.165	0.000	117.751	0.000	-46.561	0.000	1
2	10	1	yes	-52.354	0.000	9.513	0.000	0.067	0.000	23.835	0.000	0.068	0.000	18.299	0.000	11.066	0.000	224.913	0.000	1287.570	0.000	-9.375	0.000	-73.616	0.000	100.551	0.000	-50.747	0.000	2
3	2	1	yes	-50.250	0.000	0.679	0.000	0.844	0.000	1.737	0.000	0.878	0.000	1.096	0.000	0.724	0.000	219.839	0.000	1277.620	0.000	-12.015	0.000	-89.638	0.000	87.910	0.000	-42.291	0.000	3
4	8	1	yes	-48.920	0.000	8.271	0.000	0.089	0.000	18.824	0.000	0.097	0.000	16.521	0.000	9.179	0.000	325.968	0.000	1451.390	0.000	-8.071	0.000	-116.893	0.000	159.008	0.000	-50.067	0.000	4
5	3	1	yes	-48.249	0.000	3.838	0.000	0.356	0.000	9.815	0.000	0.306	0.000	7.290	0.000	4.456	0.000	155.516	0.000	1107.370	0.000	-11.048	0.000	-68.300	0.000	48.123	0.000	-39.093	0.000	5
6	5	1	yes	-47.911	0.000	9.576	0.000	0.044	0.000	23.935	0.000	0.060	0.000	18.359	0.000	11.213	0.000	283.510	0.000	1274.090	0.000	-13.305	0.000	-90.422	0.000	148.215	0.000	-44.874	0.000	6
7	7	1	yes	-40.891	0.000	9.645	0.000	0.067	0.000	23.829	0.000	0.068	0.000	18.410	0.000	11.185	0.000	317.162	0.000	1278.060	0.000	-10.864	0.000	-72.651	0.000	197.298	0.000	-47.213	0.000	7
8	9	1	yes	-37.969	0.000	9.458	0.000	0.044	0.000	23.608	0.000	0.061	0.000	18.164	0.000	10.955	0.000	297.757	0.000	1274.040	0.000	-8.040	0.000	-88.351	0.000	167.372	0.000	-42.035	0.000	8
9	1	1	yes	-37.870	0.000	5.932	0.000	0.222	0.000	17.100	0.000	0.160	0.000	13.686	0.000	6.361	0.000	298.339	0.000	1272.240	0.000	-13.062	0.000	-87.127	0.000	173.995	0.000	-37.216	0.000	9
10	6	1	yes	57.636	0.000	43.168	0.000	0.000	0.000	66.705	0.000	0.006	0.000	58.569	0.000	45.135	0.000	581.657	0.000	-999999.000	0.000	-0.523	0.000	0.324	0.000	581.908	0.000	-0.072	0.000	10
