model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../6_seletopclusts/cluster_1_model_1.pdb	-	1	-56.098	0.000	1.000	0.000	0.000	1.000	0.000	4	1	1	250.478	148.359	29.749	1214.890	0.000	0.000	0.000	-17.352	1098.940	-86.165	38.952	0.000	0.000	0.000	117.751	-46.561	0.000	0.000
../../6_seletopclusts/cluster_2_model_1.pdb	-	2	-52.354	9.513	0.067	23.835	18.299	0.068	11.066	10	2	1	224.913	152.034	31.086	1287.570	0.000	0.000	0.000	-9.375	1130.730	-73.616	38.511	0.000	0.000	0.000	100.551	-50.747	0.000	0.000
../../6_seletopclusts/cluster_3_model_1.pdb	-	3	-50.250	0.679	0.844	1.737	1.096	0.878	0.724	2	3	1	219.839	139.085	29.983	1277.620	0.000	0.000	0.000	-12.015	1109.500	-89.638	35.961	0.000	0.000	0.000	87.910	-42.291	0.000	0.000
../../6_seletopclusts/cluster_4_model_1.pdb	-	4	-48.920	8.271	0.089	18.824	16.521	0.097	9.179	8	4	1	325.968	154.186	31.677	1451.390	0.000	0.000	0.000	-8.071	1134.280	-116.893	38.094	0.000	0.000	0.000	159.008	-50.067	0.000	0.000
../../6_seletopclusts/cluster_5_model_1.pdb	-	5	-48.249	3.838	0.356	9.815	7.290	0.306	4.456	3	5	1	155.516	157.420	31.429	1107.370	0.000	0.000	0.000	-11.048	1107.640	-68.300	40.364	0.000	0.000	0.000	48.123	-39.093	0.000	0.000
../../6_seletopclusts/cluster_6_model_1.pdb	-	6	-47.911	9.576	0.044	23.935	18.359	0.060	11.213	5	6	1	283.510	149.479	30.730	1274.090	0.000	0.000	0.000	-13.305	1126.850	-90.422	39.201	0.000	0.000	0.000	148.215	-44.874	0.000	0.000
../../6_seletopclusts/cluster_7_model_1.pdb	-	7	-40.891	9.645	0.067	23.829	18.410	0.068	11.185	7	7	1	317.162	157.626	30.959	1278.060	0.000	0.000	0.000	-10.864	1105.400	-72.651	38.859	0.000	0.000	0.000	197.298	-47.213	0.000	0.000
../../6_seletopclusts/cluster_8_model_1.pdb	-	8	-37.969	9.458	0.044	23.608	18.164	0.061	10.955	9	8	1	297.757	151.725	31.202	1274.040	0.000	0.000	0.000	-8.040	1111.510	-88.351	40.027	0.000	0.000	0.000	167.372	-42.035	0.000	0.000
../../6_seletopclusts/cluster_9_model_1.pdb	-	9	-37.870	5.932	0.222	17.100	13.686	0.160	6.361	1	9	1	298.339	155.738	31.099	1272.240	0.000	0.000	0.000	-13.062	1114.100	-87.127	41.837	0.000	0.000	0.000	173.995	-37.216	0.000	0.000
../../6_seletopclusts/cluster_10_model_1.pdb	-	10	57.636	43.168	0.000	66.705	58.569	0.006	45.135	6	10	1	581.657	144.976	29.522	-999999.000	0.000	0.000	0.000	-0.523	1111.420	0.324	35.343	0.000	0.000	0.000	581.908	-0.072	0.000	0.000
