model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../3_flexref/flexref_4.pdb	-	1	-104.437	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	307.366	889.195	150.085	1398.910	0.000	0.000	0.000	-12.097	1159.260	-58.714	1777.470	0.000	0.000	0.000	198.278	-50.374	0.000	0.000
../../3_flexref/flexref_6.pdb	-	2	-104.042	0.522	0.922	1.589	0.974	0.927	0.691	-	-	-	266.047	887.422	151.000	1400.660	0.000	0.000	0.000	-10.680	1151.700	-56.718	1927.460	0.000	0.000	0.000	160.087	-49.242	0.000	0.000
../../3_flexref/flexref_5.pdb	-	3	-98.554	0.450	0.961	0.911	0.816	0.956	0.452	-	-	-	241.205	878.760	148.490	1521.550	0.000	0.000	0.000	-7.254	1166.920	-37.216	1773.940	0.000	0.000	0.000	141.001	-62.988	0.000	0.000
../../3_flexref/flexref_7.pdb	-	4	-97.639	0.469	0.922	1.304	0.972	0.937	0.534	-	-	-	287.716	893.071	151.120	1402.280	0.000	0.000	0.000	-12.319	1161.530	-40.075	1924.080	0.000	0.000	0.000	187.648	-59.993	0.000	0.000
../../3_flexref/flexref_2.pdb	-	5	-91.487	0.517	0.863	1.662	1.015	0.907	0.681	-	-	-	194.707	892.222	152.004	1348.350	0.000	0.000	0.000	-5.372	1169.530	-43.939	1914.840	0.000	0.000	0.000	102.604	-48.164	0.000	0.000
../../3_flexref/flexref_9.pdb	-	6	-89.479	2.346	0.569	7.856	5.101	0.466	3.087	-	-	-	282.523	861.073	150.203	1396.150	0.000	0.000	0.000	-10.201	1171.640	-52.116	1934.310	0.000	0.000	0.000	188.955	-41.452	0.000	0.000
../../3_flexref/flexref_1.pdb	-	7	-88.789	9.427	0.059	24.310	18.294	0.064	10.461	-	-	-	248.655	966.057	157.525	1320.500	0.000	0.000	0.000	-17.088	1174.810	-43.005	1977.910	0.000	0.000	0.000	165.294	-40.357	0.000	0.000
../../3_flexref/flexref_3.pdb	-	8	-84.897	0.602	0.902	1.656	1.187	0.909	0.682	-	-	-	244.351	885.900	151.650	1340.040	0.000	0.000	0.000	-9.386	1152.740	-32.163	1930.660	0.000	0.000	0.000	157.806	-54.382	0.000	0.000
../../3_flexref/flexref_10.pdb	-	9	-79.408	12.093	0.137	21.297	18.762	0.097	12.811	-	-	-	283.069	849.984	152.774	1344.680	0.000	0.000	0.000	-10.455	1166.690	-45.597	1708.630	0.000	0.000	0.000	199.256	-38.216	0.000	0.000
../../3_flexref/flexref_8.pdb	-	10	-78.820	2.742	0.529	8.643	5.883	0.417	3.440	-	-	-	274.595	872.283	151.051	1374.230	0.000	0.000	0.000	-13.085	1164.990	-30.816	1937.250	0.000	0.000	0.000	195.143	-48.636	0.000	0.000
