model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../4_emref/emref_6.pdb	-	1	-72.582	0.000	1.000	0.000	0.000	1.000	0.000	5	1	1	252.968	180.487	35.516	1385.580	0.000	0.000	0.000	-12.307	1165.970	-125.129	40.694	0.000	0.000	0.000	67.293	-60.546	0.000	0.000
../../4_emref/emref_5.pdb	-	2	-69.979	0.774	0.962	1.857	1.514	0.902	0.838	6	2	1	235.345	184.049	34.927	1551.590	0.000	0.000	0.000	-10.878	1186.320	-65.394	40.859	0.000	0.000	0.000	100.395	-69.556	0.000	0.000
../../4_emref/emref_7.pdb	-	3	-66.787	0.460	0.925	1.272	0.958	0.939	0.544	4	3	1	292.756	182.350	34.550	1371.300	0.000	0.000	0.000	-14.615	1180.740	-104.414	40.540	0.000	0.000	0.000	127.778	-60.564	0.000	0.000
../../4_emref/emref_4.pdb	-	4	-66.773	0.516	0.943	1.574	0.948	0.935	0.682	7	4	1	299.455	181.512	35.414	1395.250	0.000	0.000	0.000	-14.201	1167.950	-87.585	40.593	0.000	0.000	0.000	146.870	-65.000	0.000	0.000
../../4_emref/emref_3.pdb	-	5	-61.490	0.314	0.943	0.462	0.367	0.966	0.307	8	5	1	236.769	179.893	35.550	1407.790	0.000	0.000	0.000	-11.843	1172.090	-65.405	41.580	0.000	0.000	0.000	111.121	-60.243	0.000	0.000
../../4_emref/emref_1.pdb	-	6	-54.889	9.056	0.075	24.411	18.230	0.070	10.186	10	6	1	241.390	187.183	35.678	1392.730	0.000	0.000	0.000	-21.569	1191.870	-32.782	45.908	0.000	0.000	0.000	157.705	-50.903	0.000	0.000
../../4_emref/emref_2.pdb	-	7	-54.145	0.816	0.830	2.837	1.571	0.834	1.167	9	7	1	191.141	177.932	35.462	1334.860	0.000	0.000	0.000	-8.996	1175.920	-60.340	38.103	0.000	0.000	0.000	78.606	-52.196	0.000	0.000
../../4_emref/emref_8.pdb	-	8	-49.172	2.927	0.472	9.740	6.281	0.371	3.884	3	8	1	256.124	177.197	36.605	1405.920	0.000	0.000	0.000	-12.507	1180.620	-76.622	38.198	0.000	0.000	0.000	132.548	-46.953	0.000	0.000
../../4_emref/emref_9.pdb	-	9	-43.419	2.568	0.528	9.050	5.675	0.417	3.538	2	9	1	273.336	162.499	34.488	1406.640	0.000	0.000	0.000	-8.923	1176.410	-68.464	39.195	0.000	0.000	0.000	156.736	-48.136	0.000	0.000
../../4_emref/emref_10.pdb	-	10	-42.523	11.662	0.132	21.509	18.663	0.094	12.818	1	10	1	265.485	179.439	35.028	1329.530	0.000	0.000	0.000	-15.626	1170.930	-55.206	41.737	0.000	0.000	0.000	167.875	-42.405	0.000	0.000
