########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	5	1	yes	-72.582	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	252.968	0.000	1385.580	0.000	-12.307	0.000	-125.129	0.000	67.293	0.000	-60.546	0.000	1
2	6	1	yes	-69.979	0.000	0.774	0.000	0.962	0.000	1.857	0.000	0.902	0.000	1.514	0.000	0.838	0.000	235.345	0.000	1551.590	0.000	-10.878	0.000	-65.394	0.000	100.395	0.000	-69.556	0.000	2
3	4	1	yes	-66.787	0.000	0.460	0.000	0.925	0.000	1.272	0.000	0.939	0.000	0.958	0.000	0.544	0.000	292.756	0.000	1371.300	0.000	-14.615	0.000	-104.414	0.000	127.778	0.000	-60.564	0.000	3
4	7	1	yes	-66.773	0.000	0.516	0.000	0.943	0.000	1.574	0.000	0.935	0.000	0.948	0.000	0.682	0.000	299.455	0.000	1395.250	0.000	-14.201	0.000	-87.585	0.000	146.870	0.000	-65.000	0.000	4
5	8	1	yes	-61.490	0.000	0.314	0.000	0.943	0.000	0.462	0.000	0.966	0.000	0.367	0.000	0.307	0.000	236.769	0.000	1407.790	0.000	-11.843	0.000	-65.405	0.000	111.121	0.000	-60.243	0.000	5
6	10	1	yes	-54.889	0.000	9.056	0.000	0.075	0.000	24.411	0.000	0.070	0.000	18.230	0.000	10.186	0.000	241.390	0.000	1392.730	0.000	-21.569	0.000	-32.782	0.000	157.705	0.000	-50.903	0.000	6
7	9	1	yes	-54.145	0.000	0.816	0.000	0.830	0.000	2.837	0.000	0.834	0.000	1.571	0.000	1.167	0.000	191.141	0.000	1334.860	0.000	-8.996	0.000	-60.340	0.000	78.606	0.000	-52.196	0.000	7
8	3	1	yes	-49.172	0.000	2.927	0.000	0.472	0.000	9.740	0.000	0.371	0.000	6.281	0.000	3.884	0.000	256.124	0.000	1405.920	0.000	-12.507	0.000	-76.622	0.000	132.548	0.000	-46.953	0.000	8
9	2	1	yes	-43.419	0.000	2.568	0.000	0.528	0.000	9.050	0.000	0.417	0.000	5.675	0.000	3.538	0.000	273.336	0.000	1406.640	0.000	-8.923	0.000	-68.464	0.000	156.736	0.000	-48.136	0.000	9
10	1	1	yes	-42.523	0.000	11.662	0.000	0.132	0.000	21.509	0.000	0.094	0.000	18.663	0.000	12.818	0.000	265.485	0.000	1329.530	0.000	-15.626	0.000	-55.206	0.000	167.875	0.000	-42.405	0.000	10
