model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_8.pdb	-	1	-32.398	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	941.646	1463.280	3266.660	1099.510	0.000	0.000	0.000	-28.893	1052.540	-2.029	2749.220	0.000	0.000	0.000	949.930	10.313	0.000	0.000
../../1_rigidbody/rigidbody_19.pdb	-	2	-32.021	0.242	0.966	1.012	0.672	0.975	0.330	-	-	-	1421.130	1463.280	3266.650	1174.760	0.000	0.000	0.000	-31.958	1052.540	-2.858	2749.220	0.000	0.000	0.000	1451.470	33.200	0.000	0.000
../../1_rigidbody/rigidbody_13.pdb	-	3	-31.174	0.151	1.000	0.478	0.366	0.996	0.166	-	-	-	1369.400	1463.280	3266.630	1136.790	0.000	0.000	0.000	-30.841	1052.540	-2.963	2749.220	0.000	0.000	0.000	1396.870	30.438	0.000	0.000
../../1_rigidbody/rigidbody_11.pdb	-	4	-30.367	0.150	1.000	0.627	0.436	0.995	0.200	-	-	-	1513.860	1463.290	3266.640	1162.130	0.000	0.000	0.000	-31.554	1052.540	-2.686	2749.220	0.000	0.000	0.000	1546.750	35.571	0.000	0.000
../../1_rigidbody/rigidbody_34.pdb	-	5	-28.169	0.384	0.897	1.561	0.987	0.934	0.541	-	-	-	1525.840	1463.290	3266.640	1134.120	0.000	0.000	0.000	-30.114	1052.540	-2.126	2749.220	0.000	0.000	0.000	1539.140	15.429	0.000	0.000
../../1_rigidbody/rigidbody_26.pdb	-	6	-26.868	10.198	0.103	20.936	18.821	0.089	11.232	-	-	-	1127.930	1463.290	3266.630	1116.350	0.000	0.000	0.000	-26.113	1052.540	-1.085	2749.220	0.000	0.000	0.000	1148.300	21.463	0.000	0.000
../../1_rigidbody/rigidbody_32.pdb	-	7	-26.658	11.156	0.069	20.841	19.801	0.076	12.237	-	-	-	892.259	1463.280	3266.650	1021.530	0.000	0.000	0.000	-25.568	1052.540	-0.105	2749.220	0.000	0.000	0.000	922.892	30.738	0.000	0.000
../../1_rigidbody/rigidbody_14.pdb	-	8	-25.800	0.569	0.862	1.963	1.459	0.895	0.732	-	-	-	1506.610	1463.280	3266.660	1118.190	0.000	0.000	0.000	-27.346	1052.540	-2.717	2749.220	0.000	0.000	0.000	1541.790	37.903	0.000	0.000
../../1_rigidbody/rigidbody_6.pdb	-	9	-25.786	9.905	0.103	19.803	18.090	0.094	10.737	-	-	-	1535.170	1463.280	3266.610	1107.480	0.000	0.000	0.000	-29.354	1052.540	-0.973	2749.220	0.000	0.000	0.000	1560.550	26.350	0.000	0.000
../../1_rigidbody/rigidbody_35.pdb	-	10	-25.076	10.619	0.103	22.622	19.889	0.082	11.797	-	-	-	1348.710	1463.280	3266.650	1068.690	0.000	0.000	0.000	-28.552	1052.540	0.477	2749.220	0.000	0.000	0.000	1369.100	19.914	0.000	0.000
