model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../3_flexref/flexref_10.pdb	-	1	-124.768	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	259.965	1124.690	3313.330	1245.310	0.000	0.000	0.000	-36.992	1079.020	-73.749	1480.900	0.000	0.000	0.000	158.645	-27.571	0.000	0.000
../../3_flexref/flexref_8.pdb	-	2	-119.024	11.008	0.095	23.241	18.488	0.077	11.923	-	-	-	315.514	1121.760	3327.630	1368.180	0.000	0.000	0.000	-33.734	1075.290	-73.391	1365.310	0.000	0.000	0.000	212.355	-29.768	0.000	0.000
../../3_flexref/flexref_6.pdb	-	3	-114.051	1.364	0.786	5.121	3.459	0.689	1.765	-	-	-	249.681	1137.960	3319.700	1267.120	0.000	0.000	0.000	-34.472	1084.230	-69.272	1496.470	0.000	0.000	0.000	157.804	-22.605	0.000	0.000
../../3_flexref/flexref_2.pdb	-	4	-111.407	10.977	0.095	23.431	18.416	0.077	11.823	-	-	-	272.012	1129.550	3325.290	1325.180	0.000	0.000	0.000	-37.658	1067.840	-53.180	1345.850	0.000	0.000	0.000	184.313	-34.519	0.000	0.000
../../3_flexref/flexref_3.pdb	-	5	-95.647	11.235	0.071	23.825	18.783	0.067	12.168	-	-	-	212.109	1135.550	3308.690	1398.310	0.000	0.000	0.000	-31.043	1082.470	-38.927	1350.560	0.000	0.000	0.000	140.278	-32.904	0.000	0.000
../../3_flexref/flexref_1.pdb	-	6	-88.140	11.200	0.095	24.008	18.593	0.075	12.256	-	-	-	180.294	1100.330	3322.410	1288.620	0.000	0.000	0.000	-32.813	1068.220	-23.122	1335.230	0.000	0.000	0.000	119.824	-37.348	0.000	0.000
../../3_flexref/flexref_7.pdb	-	7	-78.748	3.365	0.381	11.257	9.329	0.303	3.493	-	-	-	200.698	1122.670	3327.340	1060.480	0.000	0.000	0.000	-29.895	1080.790	-23.414	1604.890	0.000	0.000	0.000	142.380	-34.904	0.000	0.000
../../3_flexref/flexref_4.pdb	-	8	-77.603	11.325	0.071	24.260	18.927	0.066	12.253	-	-	-	274.240	1103.220	3321.730	1377.510	0.000	0.000	0.000	-35.800	1070.330	-25.717	1330.830	0.000	0.000	0.000	218.787	-29.736	0.000	0.000
../../3_flexref/flexref_9.pdb	-	9	-71.062	1.928	0.714	8.298	5.515	0.534	2.551	-	-	-	307.954	1136.170	3317.990	1169.010	0.000	0.000	0.000	-30.160	1075.930	-37.933	1507.180	0.000	0.000	0.000	247.947	-22.074	0.000	0.000
../../3_flexref/flexref_5.pdb	-	10	-70.437	11.114	0.071	23.628	18.466	0.068	12.052	-	-	-	269.487	1118.490	3317.510	1397.590	0.000	0.000	0.000	-34.984	1075.420	-9.988	1322.310	0.000	0.000	0.000	221.062	-38.438	0.000	0.000
