########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	1	1	yes	-70.634	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	251.284	0.000	1345.720	0.000	-37.724	0.000	-86.479	0.000	124.063	0.000	-40.743	0.000	1
2	5	1	yes	-69.343	0.000	1.375	0.000	0.787	0.000	5.131	0.000	0.688	0.000	3.620	0.000	1.769	0.000	253.186	0.000	1241.550	0.000	-38.634	0.000	-95.949	0.000	120.399	0.000	-36.838	0.000	2
3	8	1	yes	-64.911	0.000	11.218	0.000	0.064	0.000	23.744	0.000	0.065	0.000	18.818	0.000	12.157	0.000	197.100	0.000	1438.080	0.000	-35.044	0.000	-56.535	0.000	102.295	0.000	-38.270	0.000	3
4	9	1	yes	-62.565	0.000	10.965	0.000	0.085	0.000	23.390	0.000	0.073	0.000	18.480	0.000	11.807	0.000	253.289	0.000	1345.660	0.000	-34.427	0.000	-68.150	0.000	145.303	0.000	-39.837	0.000	4
5	7	1	yes	-61.554	0.000	11.312	0.000	0.064	0.000	24.139	0.000	0.064	0.000	18.946	0.000	12.244	0.000	256.851	0.000	1406.930	0.000	-38.635	0.000	-47.664	0.000	170.115	0.000	-39.072	0.000	5
6	10	1	yes	-60.711	0.000	11.164	0.000	0.085	0.000	23.964	0.000	0.072	0.000	18.752	0.000	12.234	0.000	184.036	0.000	1285.500	0.000	-32.658	0.000	-59.405	0.000	90.055	0.000	-34.575	0.000	6
7	3	1	yes	-60.576	0.000	10.958	0.000	0.085	0.000	23.202	0.000	0.074	0.000	18.566	0.000	11.898	0.000	303.809	0.000	1454.790	0.000	-35.608	0.000	-79.067	0.000	185.207	0.000	-39.536	0.000	7
8	6	1	yes	-58.433	0.000	11.066	0.000	0.064	0.000	23.574	0.000	0.066	0.000	18.557	0.000	12.028	0.000	269.088	0.000	1405.140	0.000	-35.512	0.000	-53.658	0.000	176.332	0.000	-39.098	0.000	8
9	4	1	yes	-56.234	0.000	3.375	0.000	0.447	0.000	11.419	0.000	0.323	0.000	9.594	0.000	3.518	0.000	200.938	0.000	1141.540	0.000	-28.263	0.000	-31.867	0.000	127.379	0.000	-41.691	0.000	9
10	2	1	yes	-46.297	0.000	1.973	0.000	0.660	0.000	8.381	0.000	0.511	0.000	5.830	0.000	2.558	0.000	304.091	0.000	1151.980	0.000	-36.192	0.000	-35.002	0.000	235.576	0.000	-33.514	0.000	10
