model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../6_seletopclusts/cluster_1_model_1.pdb	-	1	-70.634	0.000	1.000	0.000	0.000	1.000	0.000	1	1	1	251.284	382.554	3195.890	1345.720	0.000	0.000	0.000	-37.724	1106.850	-86.479	44.491	0.000	0.000	0.000	124.063	-40.743	0.000	0.000
../../6_seletopclusts/cluster_2_model_1.pdb	-	2	-69.343	1.375	0.787	5.131	3.620	0.688	1.769	5	2	1	253.186	386.267	3194.300	1241.550	0.000	0.000	0.000	-38.634	1098.740	-95.949	44.539	0.000	0.000	0.000	120.399	-36.838	0.000	0.000
../../6_seletopclusts/cluster_3_model_1.pdb	-	3	-64.911	11.218	0.064	23.744	18.818	0.065	12.157	8	3	1	197.100	413.703	3185.970	1438.080	0.000	0.000	0.000	-35.044	1102.190	-56.535	49.388	0.000	0.000	0.000	102.295	-38.270	0.000	0.000
../../6_seletopclusts/cluster_4_model_1.pdb	-	4	-62.565	10.965	0.085	23.390	18.480	0.073	11.807	9	4	1	253.289	398.011	3200.160	1345.660	0.000	0.000	0.000	-34.427	1110.350	-68.150	46.063	0.000	0.000	0.000	145.303	-39.837	0.000	0.000
../../6_seletopclusts/cluster_5_model_1.pdb	-	5	-61.554	11.312	0.064	24.139	18.946	0.064	12.244	7	5	1	256.851	397.444	3188.200	1406.930	0.000	0.000	0.000	-38.635	1098.530	-47.664	48.782	0.000	0.000	0.000	170.115	-39.072	0.000	0.000
../../6_seletopclusts/cluster_6_model_1.pdb	-	6	-60.711	11.164	0.085	23.964	18.752	0.072	12.234	10	6	1	184.036	389.090	3192.580	1285.500	0.000	0.000	0.000	-32.658	1103.330	-59.405	45.872	0.000	0.000	0.000	90.055	-34.575	0.000	0.000
../../6_seletopclusts/cluster_7_model_1.pdb	-	7	-60.576	10.958	0.085	23.202	18.566	0.074	11.898	3	7	1	303.809	400.931	3196.300	1454.790	0.000	0.000	0.000	-35.608	1103.720	-79.067	47.247	0.000	0.000	0.000	185.207	-39.536	0.000	0.000
../../6_seletopclusts/cluster_8_model_1.pdb	-	8	-58.433	11.066	0.064	23.574	18.557	0.066	12.028	6	8	1	269.088	392.786	3196.520	1405.140	0.000	0.000	0.000	-35.512	1096.460	-53.658	45.677	0.000	0.000	0.000	176.332	-39.098	0.000	0.000
../../6_seletopclusts/cluster_9_model_1.pdb	-	9	-56.234	3.375	0.447	11.419	9.594	0.323	3.518	4	9	1	200.938	378.738	3186.510	1141.540	0.000	0.000	0.000	-28.263	1100.550	-31.867	46.440	0.000	0.000	0.000	127.379	-41.691	0.000	0.000
../../6_seletopclusts/cluster_10_model_1.pdb	-	10	-46.297	1.973	0.660	8.381	5.830	0.511	2.558	2	10	1	304.091	403.225	3193.350	1151.980	0.000	0.000	0.000	-36.192	1098.950	-35.002	45.910	0.000	0.000	0.000	235.576	-33.514	0.000	0.000
