model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../3_flexref/flexref_9.pdb	-	1	-124.069	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	135.347	1023.300	3303.120	1422.340	0.000	0.000	0.000	-35.104	1129.070	-53.328	1117.450	0.000	0.000	0.000	47.070	-34.948	0.000	0.000
../../3_flexref/flexref_3.pdb	-	2	-119.386	10.182	0.039	19.483	17.913	0.073	10.956	-	-	-	273.103	1023.370	3315.140	1220.340	0.000	0.000	0.000	-30.868	1131.980	-67.137	1141.500	0.000	0.000	0.000	169.479	-36.488	0.000	0.000
../../3_flexref/flexref_4.pdb	-	3	-101.062	0.833	0.647	2.369	2.053	0.780	0.828	-	-	-	204.517	1025.210	3302.390	1426.310	0.000	0.000	0.000	-33.670	1131.370	-36.434	1115.150	0.000	0.000	0.000	130.937	-37.146	0.000	0.000
../../3_flexref/flexref_10.pdb	-	4	-94.760	0.999	0.765	3.085	2.494	0.780	1.117	-	-	-	265.605	1019.960	3303.810	1550.200	0.000	0.000	0.000	-37.917	1129.660	-17.414	1114.030	0.000	0.000	0.000	197.703	-50.488	0.000	0.000
../../3_flexref/flexref_5.pdb	-	5	-90.448	4.382	0.216	16.479	11.797	0.177	5.637	-	-	-	264.636	1183.650	3213.610	1153.160	0.000	0.000	0.000	-28.694	1130.690	-41.071	1319.150	0.000	0.000	0.000	187.950	-35.616	0.000	0.000
../../3_flexref/flexref_2.pdb	-	6	-89.881	11.636	0.078	22.016	20.635	0.075	13.153	-	-	-	303.627	1060.330	3313.170	1145.940	0.000	0.000	0.000	-29.788	1128.740	-57.336	1268.770	0.000	0.000	0.000	224.630	-21.660	0.000	0.000
../../3_flexref/flexref_8.pdb	-	7	-83.193	0.863	0.647	2.225	1.949	0.778	0.822	-	-	-	241.423	1036.520	3306.790	1487.280	0.000	0.000	0.000	-33.987	1134.600	-9.319	1116.520	0.000	0.000	0.000	182.947	-49.157	0.000	0.000
../../3_flexref/flexref_7.pdb	-	8	-74.910	7.990	0.137	23.719	17.690	0.095	10.136	-	-	-	259.692	1190.980	3215.170	1257.950	0.000	0.000	0.000	-33.248	1132.400	-17.098	1317.240	0.000	0.000	0.000	204.640	-37.954	0.000	0.000
../../3_flexref/flexref_1.pdb	-	9	-56.408	1.097	0.510	2.951	2.155	0.685	1.273	-	-	-	184.749	1048.430	3299.080	1072.540	0.000	0.000	0.000	-20.009	1134.380	-14.973	1117.180	0.000	0.000	0.000	140.601	-29.175	0.000	0.000
../../3_flexref/flexref_6.pdb	-	10	-42.432	11.547	0.020	21.100	20.676	0.059	13.116	-	-	-	313.130	1067.330	3311.160	1041.030	0.000	0.000	0.000	-31.359	1132.640	-8.081	1247.480	0.000	0.000	0.000	281.154	-23.895	0.000	0.000
