########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	2	1	yes	-75.687	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	117.102	0.000	1416.920	0.000	-35.843	0.000	-81.656	0.000	0.224	0.000	-35.223	0.000	1
2	1	1	yes	-74.417	0.000	1.028	0.000	0.755	0.000	3.204	0.000	0.770	0.000	2.703	0.000	1.130	0.000	257.307	0.000	1507.180	0.000	-36.939	0.000	-53.100	0.000	151.619	0.000	-52.588	0.000	2
3	7	1	yes	-72.150	0.000	0.918	0.000	0.755	0.000	2.435	0.000	0.802	0.000	2.171	0.000	0.869	0.000	167.757	0.000	1423.340	0.000	-35.117	0.000	-60.947	0.000	65.191	0.000	-41.620	0.000	3
4	8	1	yes	-70.434	0.000	10.179	0.000	0.041	0.000	19.451	0.000	0.074	0.000	18.033	0.000	10.932	0.000	277.109	0.000	1264.370	0.000	-33.723	0.000	-125.104	0.000	112.604	0.000	-39.401	0.000	4
5	3	1	yes	-65.047	0.000	0.869	0.000	0.694	0.000	2.280	0.000	0.792	0.000	2.026	0.000	0.837	0.000	233.210	0.000	1509.310	0.000	-33.263	0.000	-48.858	0.000	139.018	0.000	-45.334	0.000	5
6	9	1	yes	-48.466	0.000	11.762	0.000	0.082	0.000	21.878	0.000	0.076	0.000	20.704	0.000	13.167	0.000	290.936	0.000	1171.430	0.000	-26.134	0.000	-69.940	0.000	183.557	0.000	-37.438	0.000	6
7	4	1	yes	-48.368	0.000	8.104	0.000	0.143	0.000	23.624	0.000	0.097	0.000	17.925	0.000	10.114	0.000	254.161	0.000	1230.640	0.000	-28.273	0.000	-24.449	0.000	189.090	0.000	-40.622	0.000	7
8	6	1	yes	-45.530	0.000	4.435	0.000	0.245	0.000	16.473	0.000	0.186	0.000	12.097	0.000	5.639	0.000	263.051	0.000	1140.430	0.000	-25.321	0.000	-65.742	0.000	163.944	0.000	-33.365	0.000	8
9	10	1	yes	-38.632	0.000	1.110	0.000	0.490	0.000	2.972	0.000	0.676	0.000	2.268	0.000	1.274	0.000	188.868	0.000	1124.170	0.000	-21.227	0.000	-33.188	0.000	126.026	0.000	-29.655	0.000	9
10	5	1	yes	-34.960	0.000	11.632	0.000	0.061	0.000	21.039	0.000	0.073	0.000	20.673	0.000	13.113	0.000	304.342	0.000	1014.620	0.000	-28.403	0.000	-37.090	0.000	237.679	0.000	-29.573	0.000	10
