model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../6_seletopclusts/cluster_1_model_1.pdb	-	1	-75.687	0.000	1.000	0.000	0.000	1.000	0.000	2	1	1	117.102	393.055	3190.350	1416.920	0.000	0.000	0.000	-35.843	1129.520	-81.656	45.928	0.000	0.000	0.000	0.224	-35.223	0.000	0.000
../../6_seletopclusts/cluster_2_model_1.pdb	-	2	-74.417	1.028	0.755	3.204	2.703	0.770	1.130	1	2	1	257.307	402.781	3190.480	1507.180	0.000	0.000	0.000	-36.939	1136.820	-53.100	46.569	0.000	0.000	0.000	151.619	-52.588	0.000	0.000
../../6_seletopclusts/cluster_3_model_1.pdb	-	3	-72.150	0.918	0.755	2.435	2.171	0.802	0.869	7	3	1	167.757	393.177	3195.400	1423.340	0.000	0.000	0.000	-35.117	1144.160	-60.947	44.884	0.000	0.000	0.000	65.191	-41.620	0.000	0.000
../../6_seletopclusts/cluster_4_model_1.pdb	-	4	-70.434	10.179	0.041	19.451	18.033	0.074	10.932	8	4	1	277.109	380.726	3192.750	1264.370	0.000	0.000	0.000	-33.723	1139.420	-125.104	42.750	0.000	0.000	0.000	112.604	-39.401	0.000	0.000
../../6_seletopclusts/cluster_5_model_1.pdb	-	5	-65.047	0.869	0.694	2.280	2.026	0.792	0.837	3	5	1	233.210	393.876	3196.460	1509.310	0.000	0.000	0.000	-33.263	1137.590	-48.858	44.818	0.000	0.000	0.000	139.018	-45.334	0.000	0.000
../../6_seletopclusts/cluster_6_model_1.pdb	-	6	-48.466	11.762	0.082	21.878	20.704	0.076	13.167	9	6	1	290.936	382.113	3191.670	1171.430	0.000	0.000	0.000	-26.134	1143.680	-69.940	45.359	0.000	0.000	0.000	183.557	-37.438	0.000	0.000
../../6_seletopclusts/cluster_7_model_1.pdb	-	7	-48.368	8.104	0.143	23.624	17.925	0.097	10.114	4	7	1	254.161	388.963	3198.490	1230.640	0.000	0.000	0.000	-28.273	1145.960	-24.449	45.678	0.000	0.000	0.000	189.090	-40.622	0.000	0.000
../../6_seletopclusts/cluster_8_model_1.pdb	-	8	-45.530	4.435	0.245	16.473	12.097	0.186	5.639	6	8	1	263.051	385.833	3192.770	1140.430	0.000	0.000	0.000	-25.321	1135.840	-65.742	43.890	0.000	0.000	0.000	163.944	-33.365	0.000	0.000
../../6_seletopclusts/cluster_9_model_1.pdb	-	9	-38.632	1.110	0.490	2.972	2.268	0.676	1.274	10	9	1	188.868	386.103	3185.180	1124.170	0.000	0.000	0.000	-21.227	1146.980	-33.188	42.499	0.000	0.000	0.000	126.026	-29.655	0.000	0.000
../../6_seletopclusts/cluster_10_model_1.pdb	-	10	-34.960	11.632	0.061	21.039	20.673	0.073	13.113	5	10	1	304.342	384.878	3190.130	1014.620	0.000	0.000	0.000	-28.403	1138.280	-37.090	43.164	0.000	0.000	0.000	237.679	-29.573	0.000	0.000
