model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_35.pdb	-	1	-10.778	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	1965.010	1349.970	199.648	1325.180	0.000	0.000	0.000	-18.151	1189.230	0.360	4002.620	0.000	0.000	0.000	2026.720	61.354	0.000	0.000
../../1_rigidbody/rigidbody_30.pdb	-	2	1.979	11.448	0.000	25.689	20.703	0.039	13.166	-	-	-	2757.590	1349.970	199.636	997.941	0.000	0.000	0.000	-15.164	1189.230	-0.924	4002.620	0.000	0.000	0.000	2803.650	46.989	0.000	0.000
../../1_rigidbody/rigidbody_36.pdb	-	3	2.891	2.961	0.244	15.820	10.970	0.224	4.176	-	-	-	2880.630	1349.970	199.640	1373.200	0.000	0.000	0.000	-12.370	1189.230	-0.239	4002.620	0.000	0.000	0.000	2923.030	42.639	0.000	0.000
../../1_rigidbody/rigidbody_8.pdb	-	4	5.882	10.130	0.000	23.680	20.301	0.045	11.157	-	-	-	2625.590	1349.970	199.627	987.224	0.000	0.000	0.000	-6.925	1189.230	-3.898	4002.620	0.000	0.000	0.000	2653.830	32.138	0.000	0.000
../../1_rigidbody/rigidbody_32.pdb	-	5	6.482	6.747	0.044	28.321	20.968	0.058	8.103	-	-	-	2105.540	1349.970	199.633	1040.210	0.000	0.000	0.000	-3.790	1189.230	-0.855	4002.620	0.000	0.000	0.000	2152.040	47.357	0.000	0.000
../../1_rigidbody/rigidbody_13.pdb	-	6	6.504	11.341	0.044	24.399	20.201	0.057	12.778	-	-	-	3102.440	1349.970	199.625	995.910	0.000	0.000	0.000	-15.231	1189.230	0.203	4002.620	0.000	0.000	0.000	3149.340	46.705	0.000	0.000
../../1_rigidbody/rigidbody_27.pdb	-	7	7.080	9.070	0.089	23.598	19.655	0.077	10.219	-	-	-	2949.650	1349.970	199.638	1417.050	0.000	0.000	0.000	-12.017	1189.230	3.102	4002.620	0.000	0.000	0.000	3019.690	66.931	0.000	0.000
../../1_rigidbody/rigidbody_26.pdb	-	8	8.791	5.078	0.067	17.936	14.951	0.110	5.440	-	-	-	2831.410	1349.970	199.627	1183.250	0.000	0.000	0.000	-8.129	1189.230	0.080	4002.620	0.000	0.000	0.000	2867.290	35.803	0.000	0.000
../../1_rigidbody/rigidbody_31.pdb	-	9	9.412	7.603	0.044	18.578	16.134	0.085	8.206	-	-	-	2822.810	1349.970	199.619	1160.220	0.000	0.000	0.000	-8.779	1189.230	1.354	4002.620	0.000	0.000	0.000	2845.350	21.185	0.000	0.000
../../1_rigidbody/rigidbody_29.pdb	-	10	9.742	11.620	0.044	26.025	21.245	0.052	13.370	-	-	-	3399.310	1349.970	199.629	1148.700	0.000	0.000	0.000	-13.968	1189.230	0.682	4002.620	0.000	0.000	0.000	3452.210	52.220	0.000	0.000
../../1_rigidbody/rigidbody_39.pdb	-	11	10.429	9.037	0.044	17.644	16.991	0.087	9.393	-	-	-	3362.500	1349.970	199.643	988.631	0.000	0.000	0.000	-16.005	1189.230	1.914	4002.620	0.000	0.000	0.000	3442.530	78.112	0.000	0.000
../../1_rigidbody/rigidbody_37.pdb	-	12	10.833	10.310	0.067	29.906	22.690	0.054	12.034	-	-	-	2692.240	1349.970	199.641	1209.450	0.000	0.000	0.000	-7.712	1189.230	3.426	4002.620	0.000	0.000	0.000	2724.810	29.139	0.000	0.000
../../1_rigidbody/rigidbody_3.pdb	-	13	10.999	11.254	0.044	30.040	22.788	0.045	13.173	-	-	-	3440.100	1349.970	199.641	1272.130	0.000	0.000	0.000	-13.125	1189.230	1.950	4002.620	0.000	0.000	0.000	3491.400	49.349	0.000	0.000
../../1_rigidbody/rigidbody_22.pdb	-	14	11.292	0.127	0.978	0.362	0.304	0.990	0.146	-	-	-	4198.790	1349.970	199.628	1371.420	0.000	0.000	0.000	-18.204	1189.230	0.323	4002.630	0.000	0.000	0.000	4289.050	89.933	0.000	0.000
../../1_rigidbody/rigidbody_9.pdb	-	15	12.083	10.102	0.000	23.605	20.258	0.045	11.114	-	-	-	3475.800	1349.970	199.634	1000.050	0.000	0.000	0.000	-8.686	1189.230	-4.371	4002.620	0.000	0.000	0.000	3509.780	38.348	0.000	0.000
../../1_rigidbody/rigidbody_20.pdb	-	16	12.569	6.622	0.111	21.440	19.190	0.099	7.009	-	-	-	3267.560	1349.970	199.635	1404.010	0.000	0.000	0.000	-8.126	1189.230	1.669	4002.620	0.000	0.000	0.000	3308.290	39.066	0.000	0.000
../../1_rigidbody/rigidbody_16.pdb	-	17	12.945	11.615	0.044	26.007	21.207	0.052	13.379	-	-	-	3926.410	1349.970	199.634	1146.520	0.000	0.000	0.000	-15.501	1189.230	0.037	4002.620	0.000	0.000	0.000	3987.400	60.955	0.000	0.000
../../1_rigidbody/rigidbody_18.pdb	-	18	13.352	6.871	0.044	28.158	20.904	0.058	8.150	-	-	-	2597.360	1349.970	199.642	1014.740	0.000	0.000	0.000	-2.382	1189.230	-0.505	4002.620	0.000	0.000	0.000	2638.170	41.315	0.000	0.000
../../1_rigidbody/rigidbody_34.pdb	-	19	13.374	9.193	0.000	24.867	20.828	0.044	8.731	-	-	-	2936.340	1349.970	199.627	785.941	0.000	0.000	0.000	-7.149	1189.230	-1.241	4002.620	0.000	0.000	0.000	2961.080	25.980	0.000	0.000
../../1_rigidbody/rigidbody_17.pdb	-	20	13.402	7.098	0.067	13.496	14.907	0.131	6.574	-	-	-	3218.470	1349.970	199.629	889.767	0.000	0.000	0.000	-10.220	1189.230	-0.047	4002.620	0.000	0.000	0.000	3256.600	38.171	0.000	0.000
../../1_rigidbody/rigidbody_5.pdb	-	21	13.676	11.298	0.111	23.706	22.131	0.081	13.014	-	-	-	2918.590	1349.970	199.637	1231.970	0.000	0.000	0.000	-3.443	1189.230	-0.037	4002.620	0.000	0.000	0.000	2947.570	29.015	0.000	0.000
../../1_rigidbody/rigidbody_25.pdb	-	22	13.955	9.337	0.022	24.464	19.595	0.052	9.856	-	-	-	3000.270	1349.970	199.645	967.999	0.000	0.000	0.000	-6.446	1189.230	-0.566	4002.630	0.000	0.000	0.000	3064.050	64.347	0.000	0.000
../../1_rigidbody/rigidbody_15.pdb	-	23	15.291	3.166	0.289	12.763	10.052	0.260	3.644	-	-	-	3703.500	1349.980	199.629	1333.360	0.000	0.000	0.000	-7.861	1189.230	-1.036	4002.620	0.000	0.000	0.000	3751.230	48.767	0.000	0.000
../../1_rigidbody/rigidbody_14.pdb	-	24	16.307	6.930	0.178	17.954	17.399	0.135	7.097	-	-	-	3659.160	1349.970	199.639	1099.180	0.000	0.000	0.000	-9.916	1189.230	0.051	4002.620	0.000	0.000	0.000	3716.430	57.217	0.000	0.000
../../1_rigidbody/rigidbody_24.pdb	-	25	17.113	7.376	0.022	29.658	23.147	0.046	9.025	-	-	-	2948.680	1349.970	199.647	1208.150	0.000	0.000	0.000	-1.060	1189.230	0.483	4002.620	0.000	0.000	0.000	2977.690	28.529	0.000	0.000
../../1_rigidbody/rigidbody_38.pdb	-	26	17.349	9.173	0.044	20.197	18.125	0.074	9.814	-	-	-	3276.620	1349.970	199.642	1178.720	0.000	0.000	0.000	-5.223	1189.230	1.047	4002.620	0.000	0.000	0.000	3332.300	54.630	0.000	0.000
../../1_rigidbody/rigidbody_11.pdb	-	27	19.062	10.043	0.089	23.775	20.728	0.075	10.770	-	-	-	3815.810	1349.970	199.639	1124.720	0.000	0.000	0.000	-9.556	1189.230	0.333	4002.620	0.000	0.000	0.000	3953.440	137.300	0.000	0.000
../../1_rigidbody/rigidbody_6.pdb	-	28	19.270	5.815	0.222	17.309	14.590	0.160	6.276	-	-	-	2919.680	1349.970	199.627	1104.470	0.000	0.000	0.000	0.110	1189.230	0.501	4002.620	0.000	0.000	0.000	2970.980	50.804	0.000	0.000
../../1_rigidbody/rigidbody_1.pdb	-	29	19.879	3.928	0.133	16.030	12.916	0.160	4.378	-	-	-	3244.690	1349.970	199.628	1164.410	0.000	0.000	0.000	-1.603	1189.230	0.334	4002.620	0.000	0.000	0.000	3279.430	34.408	0.000	0.000
../../1_rigidbody/rigidbody_19.pdb	-	30	21.052	5.701	0.178	12.551	11.956	0.186	5.828	-	-	-	4530.090	1349.970	199.639	1112.350	0.000	0.000	0.000	-15.466	1189.230	1.615	4002.620	0.000	0.000	0.000	4604.220	72.517	0.000	0.000
../../1_rigidbody/rigidbody_28.pdb	-	31	21.479	11.492	0.089	26.975	22.402	0.065	12.591	-	-	-	3920.990	1349.970	199.651	906.153	0.000	0.000	0.000	-5.662	1189.230	-3.817	4002.620	0.000	0.000	0.000	3998.160	80.979	0.000	0.000
../../1_rigidbody/rigidbody_7.pdb	-	32	22.330	10.487	0.022	23.026	19.481	0.054	11.523	-	-	-	3684.570	1349.970	199.642	884.792	0.000	0.000	0.000	-3.242	1189.230	-3.261	4002.620	0.000	0.000	0.000	3764.800	83.490	0.000	0.000
../../1_rigidbody/rigidbody_21.pdb	-	33	22.911	4.871	0.311	11.147	10.593	0.255	4.964	-	-	-	3764.540	1349.970	199.651	987.398	0.000	0.000	0.000	-7.262	1189.230	1.570	4002.620	0.000	0.000	0.000	3849.270	83.157	0.000	0.000
../../1_rigidbody/rigidbody_23.pdb	-	34	24.440	4.706	0.356	12.340	10.889	0.257	4.983	-	-	-	3618.570	1349.970	199.628	925.633	0.000	0.000	0.000	-5.397	1189.230	2.199	4002.620	0.000	0.000	0.000	3691.600	70.836	0.000	0.000
../../1_rigidbody/rigidbody_2.pdb	-	35	25.544	8.401	0.067	24.470	19.106	0.068	9.024	-	-	-	3335.740	1349.970	199.642	1113.580	0.000	0.000	0.000	1.952	1189.230	0.707	4002.620	0.000	0.000	0.000	3402.730	66.284	0.000	0.000
../../1_rigidbody/rigidbody_33.pdb	-	36	25.854	7.656	0.044	29.067	21.401	0.053	8.889	-	-	-	3950.690	1349.970	199.641	1041.160	0.000	0.000	0.000	-7.185	1189.230	3.187	4002.620	0.000	0.000	0.000	4029.580	75.707	0.000	0.000
../../1_rigidbody/rigidbody_40.pdb	-	37	27.031	8.614	0.067	28.697	20.831	0.059	10.353	-	-	-	4060.730	1349.970	199.622	1249.190	0.000	0.000	0.000	-5.422	1189.230	3.615	4002.620	0.000	0.000	0.000	4136.710	72.370	0.000	0.000
../../1_rigidbody/rigidbody_4.pdb	-	38	27.580	8.281	0.067	23.719	18.680	0.071	8.848	-	-	-	3592.070	1349.970	199.654	1089.430	0.000	0.000	0.000	0.813	1189.230	1.186	4002.620	0.000	0.000	0.000	3648.700	55.449	0.000	0.000
../../1_rigidbody/rigidbody_12.pdb	-	39	27.731	6.504	0.111	25.030	18.361	0.088	7.651	-	-	-	3791.290	1349.970	199.633	1179.570	0.000	0.000	0.000	-1.949	1189.230	2.459	4002.620	0.000	0.000	0.000	3904.120	110.377	0.000	0.000
../../1_rigidbody/rigidbody_10.pdb	-	40	29.387	11.215	0.000	27.916	23.101	0.034	12.978	-	-	-	4693.790	1349.970	199.626	1137.130	0.000	0.000	0.000	-8.578	1189.230	1.886	4002.620	0.000	0.000	0.000	4746.900	51.223	0.000	0.000
