model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_35.pdb	-	1	-10.778	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	1965.010	1349.970	199.648	1325.180	0.000	0.000	0.000	-18.151	1189.230	0.360	4002.620	0.000	0.000	0.000	2026.720	61.354	0.000	0.000
../../1_rigidbody/rigidbody_30.pdb	-	2	1.979	11.448	0.000	25.689	20.703	0.039	13.166	-	-	-	2757.590	1349.970	199.636	997.941	0.000	0.000	0.000	-15.164	1189.230	-0.924	4002.620	0.000	0.000	0.000	2803.650	46.989	0.000	0.000
../../1_rigidbody/rigidbody_36.pdb	-	3	2.891	2.961	0.244	15.820	10.970	0.224	4.176	-	-	-	2880.630	1349.970	199.640	1373.200	0.000	0.000	0.000	-12.370	1189.230	-0.239	4002.620	0.000	0.000	0.000	2923.030	42.639	0.000	0.000
../../1_rigidbody/rigidbody_8.pdb	-	4	5.882	10.130	0.000	23.680	20.301	0.045	11.157	-	-	-	2625.590	1349.970	199.627	987.224	0.000	0.000	0.000	-6.925	1189.230	-3.898	4002.620	0.000	0.000	0.000	2653.830	32.138	0.000	0.000
../../1_rigidbody/rigidbody_32.pdb	-	5	6.482	6.747	0.044	28.321	20.968	0.058	8.103	-	-	-	2105.540	1349.970	199.633	1040.210	0.000	0.000	0.000	-3.790	1189.230	-0.855	4002.620	0.000	0.000	0.000	2152.040	47.357	0.000	0.000
../../1_rigidbody/rigidbody_13.pdb	-	6	6.504	11.341	0.044	24.399	20.201	0.057	12.778	-	-	-	3102.440	1349.970	199.625	995.910	0.000	0.000	0.000	-15.231	1189.230	0.203	4002.620	0.000	0.000	0.000	3149.340	46.705	0.000	0.000
../../1_rigidbody/rigidbody_27.pdb	-	7	7.080	9.070	0.089	23.598	19.655	0.077	10.219	-	-	-	2949.650	1349.970	199.638	1417.050	0.000	0.000	0.000	-12.017	1189.230	3.102	4002.620	0.000	0.000	0.000	3019.690	66.931	0.000	0.000
../../1_rigidbody/rigidbody_26.pdb	-	8	8.791	5.078	0.067	17.936	14.951	0.110	5.440	-	-	-	2831.410	1349.970	199.627	1183.250	0.000	0.000	0.000	-8.129	1189.230	0.080	4002.620	0.000	0.000	0.000	2867.290	35.803	0.000	0.000
../../1_rigidbody/rigidbody_31.pdb	-	9	9.412	7.603	0.044	18.578	16.134	0.085	8.206	-	-	-	2822.810	1349.970	199.619	1160.220	0.000	0.000	0.000	-8.779	1189.230	1.354	4002.620	0.000	0.000	0.000	2845.350	21.185	0.000	0.000
../../1_rigidbody/rigidbody_29.pdb	-	10	9.742	11.620	0.044	26.025	21.245	0.052	13.370	-	-	-	3399.310	1349.970	199.629	1148.700	0.000	0.000	0.000	-13.968	1189.230	0.682	4002.620	0.000	0.000	0.000	3452.210	52.220	0.000	0.000
