model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../3_flexref/flexref_1.pdb	-	1	-131.736	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	257.242	1000.020	166.899	1608.680	0.000	0.000	0.000	-21.929	1226.330	-59.035	2441.270	0.000	0.000	0.000	137.798	-60.409	0.000	0.000
../../3_flexref/flexref_8.pdb	-	2	-116.590	4.920	0.138	13.727	12.006	0.167	4.787	-	-	-	515.174	992.885	163.192	1259.500	0.000	0.000	0.000	-18.201	1223.580	-101.423	2277.870	0.000	0.000	0.000	377.863	-35.889	0.000	0.000
../../3_flexref/flexref_2.pdb	-	3	-105.479	12.392	0.034	25.494	21.260	0.050	13.028	-	-	-	482.471	1102.410	171.136	1173.150	0.000	0.000	0.000	-9.272	1223.770	-117.277	2422.520	0.000	0.000	0.000	349.749	-15.445	0.000	0.000
../../3_flexref/flexref_3.pdb	-	4	-97.959	3.498	0.293	15.615	11.427	0.226	4.092	-	-	-	499.876	987.044	163.904	1444.580	0.000	0.000	0.000	-17.149	1218.270	-79.435	2212.320	0.000	0.000	0.000	383.524	-36.917	0.000	0.000
../../3_flexref/flexref_5.pdb	-	5	-93.614	7.165	0.017	29.108	21.804	0.046	8.109	-	-	-	424.019	953.303	153.891	1231.080	0.000	0.000	0.000	-11.603	1226.910	-76.096	1958.620	0.000	0.000	0.000	311.918	-36.005	0.000	0.000
../../3_flexref/flexref_7.pdb	-	6	-62.969	9.591	0.086	23.386	20.040	0.076	10.384	-	-	-	492.626	974.391	166.858	1472.550	0.000	0.000	0.000	-12.165	1222.330	-47.875	2439.960	0.000	0.000	0.000	407.285	-37.466	0.000	0.000
../../3_flexref/flexref_6.pdb	-	7	-59.602	12.374	0.034	24.567	21.064	0.052	12.831	-	-	-	541.134	1122.360	172.194	1176.820	0.000	0.000	0.000	-5.153	1220.060	-73.327	2750.560	0.000	0.000	0.000	444.341	-23.467	0.000	0.000
../../3_flexref/flexref_4.pdb	-	8	-49.372	10.693	0.034	23.365	20.501	0.057	10.917	-	-	-	405.550	1003.240	166.048	1141.820	0.000	0.000	0.000	-5.835	1225.030	-44.574	2221.690	0.000	0.000	0.000	332.876	-28.101	0.000	0.000
../../3_flexref/flexref_9.pdb	-	9	-48.423	7.431	0.086	16.769	14.502	0.110	7.669	-	-	-	453.775	1035.550	167.912	1208.050	0.000	0.000	0.000	-16.113	1207.900	-27.380	2575.050	0.000	0.000	0.000	388.168	-38.227	0.000	0.000
../../3_flexref/flexref_10.pdb	-	10	-18.883	12.650	0.034	25.829	21.819	0.049	13.209	-	-	-	616.757	980.879	160.547	1365.750	0.000	0.000	0.000	-17.775	1219.770	0.168	2461.280	0.000	0.000	0.000	567.631	-49.294	0.000	0.000
