model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../4_emref/emref_1.pdb	-	1	-88.376	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	254.393	184.416	33.641	1620.900	0.000	0.000	0.000	-22.177	1229.920	-126.544	44.931	0.000	0.000	0.000	61.520	-66.329	0.000	0.000
../../4_emref/emref_5.pdb	-	2	-38.004	7.112	0.032	28.939	21.559	0.051	8.068	-	-	-	417.451	180.599	34.607	1279.180	0.000	0.000	0.000	-10.565	1240.400	-125.891	43.511	0.000	0.000	0.000	247.554	-44.006	0.000	0.000
../../4_emref/emref_3.pdb	-	3	-35.097	3.461	0.306	15.396	11.221	0.233	4.058	-	-	-	465.722	186.206	35.976	1452.930	0.000	0.000	0.000	-17.749	1231.180	-88.676	46.332	0.000	0.000	0.000	330.862	-46.185	0.000	0.000
../../4_emref/emref_8.pdb	-	4	-29.004	4.924	0.129	13.617	11.836	0.165	4.775	-	-	-	510.643	181.661	34.972	1273.050	0.000	0.000	0.000	-17.680	1231.740	-117.161	40.176	0.000	0.000	0.000	354.526	-38.956	0.000	0.000
../../4_emref/emref_9.pdb	-	5	-23.541	7.500	0.081	16.703	14.546	0.108	7.679	-	-	-	434.489	192.728	37.557	1240.850	0.000	0.000	0.000	-12.890	1218.250	-96.239	45.639	0.000	0.000	0.000	303.399	-34.852	0.000	0.000
../../4_emref/emref_2.pdb	-	6	-23.382	12.384	0.032	25.326	21.135	0.049	13.017	-	-	-	459.876	193.216	36.562	1178.330	0.000	0.000	0.000	-7.926	1232.290	-137.752	46.043	0.000	0.000	0.000	288.231	-33.893	0.000	0.000
../../4_emref/emref_7.pdb	-	7	-20.409	9.634	0.097	23.267	20.017	0.079	10.367	-	-	-	490.704	185.911	35.306	1421.860	0.000	0.000	0.000	-13.761	1225.100	-75.858	46.660	0.000	0.000	0.000	374.298	-40.547	0.000	0.000
../../4_emref/emref_10.pdb	-	8	-15.249	12.716	0.048	25.682	21.737	0.054	13.255	-	-	-	601.168	183.252	35.197	1381.460	0.000	0.000	0.000	-18.896	1233.850	-27.031	43.962	0.000	0.000	0.000	523.074	-51.063	0.000	0.000
../../4_emref/emref_4.pdb	-	9	-13.176	10.766	0.032	23.215	20.422	0.057	10.922	-	-	-	407.012	185.038	34.410	1120.240	0.000	0.000	0.000	-1.521	1241.820	-106.177	44.161	0.000	0.000	0.000	269.715	-31.121	0.000	0.000
../../4_emref/emref_6.pdb	-	10	-5.269	12.378	0.032	24.407	20.916	0.052	12.829	-	-	-	532.392	184.128	34.840	1125.430	0.000	0.000	0.000	-9.018	1233.810	-88.030	40.900	0.000	0.000	0.000	412.478	-31.884	0.000	0.000
