########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	10	1	yes	-88.376	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	254.393	0.000	1620.900	0.000	-22.177	0.000	-126.544	0.000	61.520	0.000	-66.329	0.000	1
2	6	1	yes	-38.004	0.000	7.112	0.000	0.032	0.000	28.939	0.000	0.051	0.000	21.559	0.000	8.068	0.000	417.451	0.000	1279.180	0.000	-10.565	0.000	-125.891	0.000	247.554	0.000	-44.006	0.000	2
3	8	1	yes	-35.097	0.000	3.461	0.000	0.306	0.000	15.396	0.000	0.233	0.000	11.221	0.000	4.058	0.000	465.722	0.000	1452.930	0.000	-17.749	0.000	-88.676	0.000	330.862	0.000	-46.185	0.000	3
4	3	1	yes	-29.004	0.000	4.924	0.000	0.129	0.000	13.617	0.000	0.165	0.000	11.836	0.000	4.775	0.000	510.643	0.000	1273.050	0.000	-17.680	0.000	-117.161	0.000	354.526	0.000	-38.956	0.000	4
5	2	1	yes	-23.541	0.000	7.500	0.000	0.081	0.000	16.703	0.000	0.108	0.000	14.546	0.000	7.679	0.000	434.489	0.000	1240.850	0.000	-12.890	0.000	-96.239	0.000	303.399	0.000	-34.852	0.000	5
6	9	1	yes	-23.382	0.000	12.384	0.000	0.032	0.000	25.326	0.000	0.049	0.000	21.135	0.000	13.017	0.000	459.876	0.000	1178.330	0.000	-7.926	0.000	-137.752	0.000	288.231	0.000	-33.893	0.000	6
7	4	1	yes	-20.409	0.000	9.634	0.000	0.097	0.000	23.267	0.000	0.079	0.000	20.017	0.000	10.367	0.000	490.704	0.000	1421.860	0.000	-13.761	0.000	-75.858	0.000	374.298	0.000	-40.547	0.000	7
8	1	1	yes	-15.249	0.000	12.716	0.000	0.048	0.000	25.682	0.000	0.054	0.000	21.737	0.000	13.255	0.000	601.168	0.000	1381.460	0.000	-18.896	0.000	-27.031	0.000	523.074	0.000	-51.063	0.000	8
9	7	1	yes	-13.176	0.000	10.766	0.000	0.032	0.000	23.215	0.000	0.057	0.000	20.422	0.000	10.922	0.000	407.012	0.000	1120.240	0.000	-1.521	0.000	-106.177	0.000	269.715	0.000	-31.121	0.000	9
10	5	1	yes	-5.269	0.000	12.378	0.000	0.032	0.000	24.407	0.000	0.052	0.000	20.916	0.000	12.829	0.000	532.392	0.000	1125.430	0.000	-9.018	0.000	-88.030	0.000	412.478	0.000	-31.884	0.000	10
