entity_id	seed	8x6b_job_id	8x6b_job_hash	8x6b_state	8x6b_native_class	8x6b_cross_class	8x6b_pair_label	8x6b_pair_support_ordinal	8x6b_haddock_score	8x6b_selected_model_count	8x6b_pose_score_model_count	8x6b_model_pair_consensus_fraction	8x6b_model_native_cross_support_agreement_fraction	8x6b_error	9e6y_job_id	9e6y_job_hash	9e6y_state	9e6y_native_class	9e6y_cross_class	9e6y_pair_label	9e6y_pair_support_ordinal	9e6y_haddock_score	9e6y_selected_model_count	9e6y_pose_score_model_count	9e6y_model_pair_consensus_fraction	9e6y_model_native_cross_support_agreement_fraction	9e6y_error	dual_state	dual_exact_min_pair_label	dual_exact_min_pair_support_ordinal	technical_failure_reason
V29_GEN__C0001__03E4B7FF010EA856	917	CANDIDATE_V29_GEN__C0001__03E4B7FF010EA856_8x6b_s917_402e04c77cdf	402e04c77cdf63172bb6310ec922ecfe214bf2236b7e7ea735d99e1166013be9	SUCCESS	B	B	SUPPORTED_AB	1	-78.72161000000001	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__03E4B7FF010EA856_9e6y_s917_c8e74b9b895c	c8e74b9b895caaa9dc4cc538c91d2bb2a0b1a18eec3350642e50bf28abab02da	SUCCESS	B	B	SUPPORTED_AB	1	-71.49167	10	10	1.0	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__0604783E89058161	917	CANDIDATE_V29_GEN__C0001__0604783E89058161_8x6b_s917_e35a6ed603de	e35a6ed603de62aa8706bd31dac096193a3a4fbedd28d062be3c580128760e39	SUCCESS	B	B	SUPPORTED_AB	1	-91.67670000000001	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__0604783E89058161_9e6y_s917_0e6e00b5a98c	0e6e00b5a98c16606490a1bb85188a585f2e8458280a93c952b6e89b47b8f0a5	SUCCESS	E	E	OTHER	0	-75.09329999999999	10	10	0.4	1.0		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0001__0A9A9D35965C06E9	917	CANDIDATE_V29_GEN__C0001__0A9A9D35965C06E9_8x6b_s917_457183f2eafb	457183f2eafbca97ff1e4f2ebb5ed21c626d69305e3be46775fff6311ebe121a	SUCCESS	A	A	STRICT_A	2	-67.62978	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__0A9A9D35965C06E9_9e6y_s917_88354298edef	88354298edef33d7f9655067ebb756a0ca48ef1fba54ed28d724d953f0c4f9bb	SUCCESS	A	A	STRICT_A	2	-67.87892000000001	10	10	0.4	0.9		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__0EE1B4F5C0BB2616	917	CANDIDATE_V29_GEN__C0001__0EE1B4F5C0BB2616_8x6b_s917_6a24621593e8	6a24621593e860916e8f9520f0e6990faf17c8774509d6a16a9fc31b6a61b33b	SUCCESS	A	A	STRICT_A	2	-101.29029999999999	10	10	0.7	1.0		CANDIDATE_V29_GEN__C0001__0EE1B4F5C0BB2616_9e6y_s917_a3d03ba3ad06	a3d03ba3ad0666c2b22ac390b63cb5ce0fe0a2fe0b33bb284874f7793f904398	SUCCESS	A	A	STRICT_A	2	-97.03092000000001	10	10	0.7	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__1134627D6F77BC7C	917	CANDIDATE_V29_GEN__C0001__1134627D6F77BC7C_8x6b_s917_d457c49bfe70	d457c49bfe70df3dc56bfd97eff9c3f49c3e327ddb247034621f095d1b5e2e6e	SUCCESS	A	A	STRICT_A	2	-65.65802	10	10	0.5	1.0		CANDIDATE_V29_GEN__C0001__1134627D6F77BC7C_9e6y_s917_dc1e75e0b68a	dc1e75e0b68a45f55629281f31fce7b8754545fd2925f80d63ec31568c096341	SUCCESS	B	A	SUPPORTED_AB	1	-67.19264000000001	10	10	0.6	0.9		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__14A4CD99E8B6689E	917	CANDIDATE_V29_GEN__C0001__14A4CD99E8B6689E_8x6b_s917_f11f8e4320eb	f11f8e4320eb88aedc6d05a613caf6767ce4e2de326db17b3fe33bb528df8043	SUCCESS	A	A	STRICT_A	2	-88.88228000000001	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__14A4CD99E8B6689E_9e6y_s917_3875a55d96ac	3875a55d96ac0bf90cf1bbb0a012b5cce11b65e899125b2ca5258ac430287f2d	SUCCESS	A	A	STRICT_A	2	-77.72077999999999	10	10	0.9	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__1F8E4E7475FC1780	917	CANDIDATE_V29_GEN__C0001__1F8E4E7475FC1780_8x6b_s917_5fac3eef16c1	5fac3eef16c1f77c659931509e7af989392eb57a567b3a56e0e9f6b192851149	SUCCESS	B	B	SUPPORTED_AB	1	-67.33303000000001	10	10	0.8	1.0		CANDIDATE_V29_GEN__C0001__1F8E4E7475FC1780_9e6y_s917_f4caa0eab972	f4caa0eab9725129eb4baafc129d83c1fb196af681c7a13c728bbf40ec8dd848	SUCCESS	B	B	SUPPORTED_AB	1	-68.65270000000001	10	10	0.6	0.9		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
V29_GEN__C0001__269B6F8CD68F742A	917	CANDIDATE_V29_GEN__C0001__269B6F8CD68F742A_8x6b_s917_17b83d9156fd	17b83d9156fd64c5791e24b2b371397782c6045c3ed4ee03cfc47da49eeade73	SUCCESS	A	A	STRICT_A	2	-58.04362	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__269B6F8CD68F742A_9e6y_s917_6038b3319998	6038b33199989282483a9217a66e9df7ffb897242b2ee8ecef2a567558b49577	SUCCESS	A	A	STRICT_A	2	-56.17738	10	10	0.9	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__2C1317F5D5743358	917	CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_8x6b_s917_964d1c53bef8	964d1c53bef8deee9c48cfcd3e0e1ab16fa5cf7ae8f32c3c38f5e2d81eb49132	SUCCESS	A	A	STRICT_A	2	-87.67228	10	10	0.5	1.0		CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_9e6y_s917_1b04d75e7589	1b04d75e758928db0427bb1691a52509bba36dac8464ff83bdf7c2785e7a0ce7	SUCCESS	E	E	OTHER	0	-65.30646	10	10	0.4	1.0		COMPLETE_DUAL_SUCCESS	OTHER	0	
V29_GEN__C0001__2C5C51F980D0BF6A	917	CANDIDATE_V29_GEN__C0001__2C5C51F980D0BF6A_8x6b_s917_2f498dba54fa	2f498dba54fa6d598d9c90fdde48fc29ac4beb6ea1dbab5d4afc84170b5b1462	SUCCESS	A	A	STRICT_A	2	-112.4318	10	10	1.0	1.0		CANDIDATE_V29_GEN__C0001__2C5C51F980D0BF6A_9e6y_s917_7dee8db73180	7dee8db7318006b5e5ba18107aea5783f720270a154ce61a867c9d72c77debe5	SUCCESS	A	A	STRICT_A	2	-100.8267	10	10	1.0	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__2DEDC0586C29BD28	917	CANDIDATE_V29_GEN__C0001__2DEDC0586C29BD28_8x6b_s917_f97d7212185d	f97d7212185d0f0eb5f0b393819c496f0b1890f33b0a6616f0923ca44560742e	SUCCESS	A	A	STRICT_A	2	-84.83142	10	10	0.6	1.0		CANDIDATE_V29_GEN__C0001__2DEDC0586C29BD28_9e6y_s917_5175a7c76dbd	5175a7c76dbdb34704ce3757680786ec11bc1acb4fe463401afafbe30125a5fd	SUCCESS	A	A	STRICT_A	2	-76.20958	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	STRICT_A	2	
V29_GEN__C0001__43E7DF881D2EE3C1	917	CANDIDATE_V29_GEN__C0001__43E7DF881D2EE3C1_8x6b_s917_463f3d7a25e9	463f3d7a25e920e4424d7c4f7cce3a0a12e5373df234f8974768f2c22d957cc4	SUCCESS	B	B	SUPPORTED_AB	1	-91.59149999999998	10	10	0.7	1.0		CANDIDATE_V29_GEN__C0001__43E7DF881D2EE3C1_9e6y_s917_6135ff4171da	6135ff4171dafe12ca0d5517ed9d41d5e6a6fc123df08428aa2805ff4e70184a	SUCCESS	B	A	SUPPORTED_AB	1	-74.57939999999999	10	10	0.6	1.0		COMPLETE_DUAL_SUCCESS	SUPPORTED_AB	1	
