consensus_rank,candidate_id,sequence_sha256,source_dataset,candidate_role,source_score,model_score,design_lineage_status
1,zym_test_359954,4ec2ce280cb73d47eb6bc460a4a784f055f40776acce5c6e362c13f5ae936ecd,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,7.034489431,1.0,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
2,zym_test_5495,af56e1f430cd23bfe6c767cae60e98c83d165aa0deed72f764924fb64dd409d6,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,0.351724472,0.9795918367346939,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
3,zym_test_21966,edfff0764308060abdfea037868754fa8f15ca1ba1438bc6fd26f969f4b0b007,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.165520244,0.9591836734693877,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
4,zym_test_3633872,0d019d7ee203854ba04c80356f1e8ca2ed35e14ff609b7ba5ab63e0f3214c57a,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.282761734,0.9387755102040817,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
5,zym_test_8787,a58fdec054e565dd8dcd95dee5f1c4508a26feeca4e5a126db66ebe2a77aa8a6,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.110346829,0.9183673469387755,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
6,zym_test_108006,76413dbdc48ab17b144ab10be41e5ebc07b20faeab5865f6b893aea2d5ddf0bb,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,7.034489431,0.8979591836734694,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
7,zym_test_665332,c8f47cfcec34fd8da6cdf328eb336036a5b3a614fecb50a5334d45ecbabed449,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.813795772,0.8775510204081632,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
8,zym_test_2510237,4d78016bb64c12d29530fc985fa1ff403ca392ad23bb88ea284e20faebaaf175,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,0.351724472,0.8571428571428572,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
9,zym_test_9743,f727c0f37736c65c02c86b039c7729ac82c359b84961af76b2bbbb5d9e9c4023,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.251036618,0.8367346938775511,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
10,zym_test_6823,5bca2fe494a33c13d081d8605bf22f84a8551ad27bafc560de7976ea3be4c721,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,2.110346829,0.8163265306122449,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
11,zym_test_21705,bca3fd23816a3f57adfd69fabc39d03219c683e5a853aa4a59fccccb691a8c1a,datasets/49_hf_broad_antibody/ZYMScott_vhh_affinity-seq/test.csv,new_candidate_from_zym_vhh_affinity_seq_test,3.282761734,0.7959183673469388,PUBLIC_DATASET_SEQUENCE_NOT_YET_A_COMPETITION_DESIGN
