job_id	entity_id	control_class	expected_behavior	conformation	docking_seed	state	representative_model	remote_representative_model_gz	job_hash	representative_pair_label	model_strict_a_fraction	haddock_score	native_hotspot_overlap	cross_hotspot_overlap	native_total_occlusion	cross_total_occlusion	native_cdr3_occlusion	cross_cdr3_occlusion
CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_8x6b_s917_f8fab9ee3ba5	CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_8x6b_s917_f8fab9ee3ba5/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	f8fab9ee3ba5565ead69697712bca974d69fd86e45bcd570b6c8db7d860d5087	STRICT_A	1.0	-83.18010000000001	17	17	630	615	190	180
CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_8x6b_s1931_e2e32796c46c	CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_8x6b_s1931_e2e32796c46c/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	e2e32796c46cd9f8181526cce332e7f23ff95d0f65de6ffe61310be22bd43c5c	SUPPORTED_AB	0.555556	-54.935399999999994	17	17	487	484	120	115
CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_8x6b_s3253_e4ed7e11e2f5	CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_8x6b_s3253_e4ed7e11e2f5/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	e4ed7e11e2f588949c16e539cf14c3d317766b07000d1bffd97e56f065976696	STRICT_A	0.7	-103.32490000000001	19	19	645	634	190	183
CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_9e6y_s917_1cf19d5dff51	CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_9e6y_s917_1cf19d5dff51/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	1cf19d5dff51ea7ce167ed37c94b898f4b8765b43de7de58f06eab94c5758f68	STRICT_A	0.9	-64.92519999999999	20	20	593	609	160	170
CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_9e6y_s1931_38cf32a2e51d	CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151	positive_control	KNOWN_POSITIVE	9e6y	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_9e6y_s1931_38cf32a2e51d/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	38cf32a2e51dc5f9e75b34d49fe8bfc7a5f8ff9d250a9f9290c2270b24dbaf9e	STRICT_A	1.0	-47.78486	15	15	716	705	178	184
CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_9e6y_s3253_34976c009f87	CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151	positive_control	KNOWN_POSITIVE	9e6y	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_001_case02_pos_01_PVRIG-151_HR151_9e6y_s3253_34976c009f87/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	34976c009f87c17d1d24e53cac1ba7734a7ea9404469ea3e9e64b355bd9247b9	SUPPORTED_AB	0.6	-42.64646999999999	15	15	479	488	95	99
CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_8x6b_s917_b4835f382d29	CTRL_PATENT_002_case02_pos_02_PVRIG-20	positive_control	KNOWN_POSITIVE	8x6b	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_8x6b_s917_b4835f382d29/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	b4835f382d2954805b889750b19ab261f1d4eb6167b94faa248eb36a3374e9ab	STRICT_A	0.6	-92.3084	18	18	724	712	125	118
CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_8x6b_s1931_31074452df34	CTRL_PATENT_002_case02_pos_02_PVRIG-20	positive_control	KNOWN_POSITIVE	8x6b	1931	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_8x6b_s1931_31074452df34/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	31074452df34182a7de0c83f490027aeb35287b55e8fe6d8c8e72ed35f50b85d	STRICT_A	0.444444	-91.23610000000002	19	19	711	712	122	115
CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_8x6b_s3253_5a55ee3c5f28	CTRL_PATENT_002_case02_pos_02_PVRIG-20	positive_control	KNOWN_POSITIVE	8x6b	3253	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_8x6b_s3253_5a55ee3c5f28/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	5a55ee3c5f281a7a72279a9df6e4e12f7f0a976f5106ce32b8f936682f4da8af	STRICT_A	0.75	-93.92070000000001	18	18	712	701	120	116
CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_9e6y_s917_ce07e20e7e8d	CTRL_PATENT_002_case02_pos_02_PVRIG-20	positive_control	KNOWN_POSITIVE	9e6y	917	SUCCESS	cluster_1_model_1.pdb.gz	/data/qlyu/projects/pvrig_v3_dual_conformation_redocking_20260714/runs/CONTROL_CTRL_PATENT_002_case02_pos_02_PVRIG-20_9e6y_s917_ce07e20e7e8d/haddock_run/6_seletopclusts/cluster_1_model_1.pdb.gz	ce07e20e7e8d12a2344f1e74382037e78b8bac0283f90ec34f941ef022f11c73	STRICT_A	0.666667	-89.1368	19	19	662	692	108	119
