candidate_id	job_count	seed_count	complete_seed_count	stage1_any_strict_dual_reference_job	stage1_any_broad_dual_reference_job	stage2_any_seed_dual_conformation_strict	stage2_any_seed_dual_conformation_broad	stage3_two_seed_dual_conformation_strict	stage3_two_seed_dual_conformation_broad	strict_seed_passes	broad_seed_passes
P1MCPUFP__CPUFP500K_0001__00003	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00005	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00007	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00016	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00025	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00053	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00068	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00075	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00082	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00084	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00085	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00087	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00103	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00139	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00161	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00166	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00179	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00184	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00188	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00206	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00215	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00218	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00222	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00224	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00235	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00279	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00299	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00304	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00306	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00308	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00345	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00359	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00362	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00363	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00368	4	2	2	True	True	True	True	True	True	2	2
