candidate_id	job_count	seed_count	complete_seed_count	stage1_any_strict_dual_reference_job	stage1_any_broad_dual_reference_job	stage2_any_seed_dual_conformation_strict	stage2_any_seed_dual_conformation_broad	stage3_two_seed_dual_conformation_strict	stage3_two_seed_dual_conformation_broad	strict_seed_passes	broad_seed_passes
P1MCPUFP__CPUFP500K_0001__00001	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00002	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00020	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00021	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00026	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00029	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00030	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00032	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00033	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00036	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00039	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00042	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00046	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00048	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00050	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00052	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00054	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00061	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00076	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00081	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00090	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00093	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00099	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00100	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00105	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00110	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00111	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00116	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00117	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00136	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00145	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00148	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00151	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00154	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00157	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00160	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00172	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00173	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00176	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00183	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00185	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00199	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00200	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00204	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00205	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00212	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00213	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00217	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00225	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00232	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00234	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00241	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00245	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00255	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00266	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00267	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00268	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00271	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00275	4	2	2	True	True	True	True	True	True	2	2
