candidate_id	job_count	seed_count	complete_seed_count	stage1_any_strict_dual_reference_job	stage1_any_broad_dual_reference_job	stage2_any_seed_dual_conformation_strict	stage2_any_seed_dual_conformation_broad	stage3_two_seed_dual_conformation_strict	stage3_two_seed_dual_conformation_broad	strict_seed_passes	broad_seed_passes
P1MCPUFP__CPUFP500K_0001__00010	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00015	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00017	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00019	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00027	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00038	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00041	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00051	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00056	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00060	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00063	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00065	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00067	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00071	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00078	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00083	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00088	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00095	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00106	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00108	6	3	3	True	True	True	True	True	True	3	3
P1MCPUFP__CPUFP500K_0001__00121	6	3	3	True	True	True	True	True	True	3	3
P1MCPUFP__CPUFP500K_0001__00124	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00125	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00128	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00130	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00134	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00143	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00152	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00174	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00178	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00187	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00193	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00197	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00202	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00211	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00220	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00231	6	3	3	True	True	True	True	True	True	3	3
P1MCPUFP__CPUFP500K_0001__00238	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00246	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00248	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00249	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00251	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00252	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00253	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00257	6	3	3	True	True	True	True	True	True	3	3
P1MCPUFP__CPUFP500K_0001__00262	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00265	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00269	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00285	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00286	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00290	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00291	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00310	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00311	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00320	4	2	2	True	True	True	True	False	True	1	2
P1MCPUFP__CPUFP500K_0001__00324	6	3	3	True	True	True	True	True	True	3	3
P1MCPUFP__CPUFP500K_0001__00325	6	3	3	True	True	True	True	True	True	3	3
P1MCPUFP__CPUFP500K_0001__00338	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00339	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00341	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00346	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00351	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00357	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00370	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00378	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00390	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00393	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00394	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00399	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00401	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00412	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00423	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00432	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00433	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00436	4	2	2	True	True	True	True	True	True	2	2
P1MCPUFP__CPUFP500K_0001__00437	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00438	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00439	2	1	1	True	True	True	True	False	False	1	1
P1MCPUFP__CPUFP500K_0001__00440	6	3	3	True	True	True	True	True	True	3	3
