job_id	own_model_count	rli_model_count	common_model_count	model_jaccard	model_set_exact
CANDIDATE_V29_GEN__C0001__0604783E89058161_9e6y_s917_0e6e00b5a98c	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0001__269B6F8CD68F742A_8x6b_s917_17b83d9156fd	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0001__2C1317F5D5743358_9e6y_s917_1b04d75e7589	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0001__8F523EB00420ADD0_9e6y_s917_0d1d5ebba507	8	10	7	0.6363636363636364	false
CANDIDATE_V29_GEN__C0001__AAAD0F4238F71BF7_8x6b_s917_0b3cb32b16f7	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0007__0F43BFB5BB3D8355_8x6b_s917_0dbad696c3ba	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0007__10A0AA27DE45D98D_8x6b_s917_1358d12cdf7f	5	7	5	0.7142857142857143	false
CANDIDATE_V29_GEN__C0007__7E84DB22CB439102_8x6b_s917_15f2e26e02c2	7	7	4	0.4	false
CANDIDATE_V29_GEN__C0007__951E50E70DEF13DC_8x6b_s917_174f9259e872	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0007__9BD680B5C8E614DF_8x6b_s917_175393fd7f9f	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0007__E098EB4C0DF229F2_8x6b_s917_16ebc4254500	10	9	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0007__FE8230DE77911844_8x6b_s917_0b0f65a54d24	7	9	7	0.7777777777777778	false
CANDIDATE_V29_GEN__C0009__19258A3C9C679255_9e6y_s917_0dcc1c85570b	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0009__8ACA905E8B55207F_9e6y_s917_0bfa3c928990	10	9	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0009__9B41AFD570C783B9_9e6y_s917_1f0d31da9d46	9	10	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0030__0E8EB2F54823F8BB_8x6b_s917_0e09397a3893	10	9	8	0.7272727272727273	false
CANDIDATE_V29_GEN__C0030__34E77D85FC511DB4_8x6b_s917_182eed089af9	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0030__519D0E73D69ACF9D_8x6b_s917_1d411a2a3c6a	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0030__825E99CADEE059F6_9e6y_s917_13d25d7d301b	9	7	4	0.3333333333333333	false
CANDIDATE_V29_GEN__C0030__882F1C1AA13BAAEB_8x6b_s917_0e01bf9ff3f9	8	8	4	0.3333333333333333	false
CANDIDATE_V29_GEN__C0030__882F1C1AA13BAAEB_9e6y_s917_1795ddcfd749	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0030__B4006F60A5796917_8x6b_s917_0a82398aa352	7	9	4	0.3333333333333333	false
CANDIDATE_V29_GEN__C0030__CF3809CD1F52AE22_8x6b_s917_186bb9c9758f	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0048__0BFD5484A0C39CFE_8x6b_s917_1601ccaf4b84	10	10	4	0.25	false
CANDIDATE_V29_GEN__C0048__1FB1B70CF9D45334_8x6b_s917_1f6923ba2931	6	5	2	0.2222222222222222	false
CANDIDATE_V29_GEN__C0048__299300A0D4330A61_9e6y_s917_148092f997a1	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0048__2CEF2F25F78EEDF1_8x6b_s917_0c83a2b81012	7	7	5	0.5555555555555556	false
CANDIDATE_V29_GEN__C0048__826A7B75A0969B0A_8x6b_s917_158a3d7a0cbc	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0048__95DD76F095C02A42_9e6y_s917_13f434822139	6	8	4	0.4	false
CANDIDATE_V29_GEN__C0048__97927AAB3A3BE0E0_8x6b_s917_1c48d2e45008	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0048__A401569FB5C7303C_9e6y_s917_165bb959b352	9	9	6	0.5	false
CANDIDATE_V29_GEN__C0048__BE5CE21AE62A468B_9e6y_s917_19d4ddf2a9ef	10	9	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0048__E9030629B41AEB2E_8x6b_s917_24735b6e14a2	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0048__E9468F97F59D6127_9e6y_s917_1397960644cb	6	10	3	0.23076923076923078	false
CANDIDATE_V29_GEN__C0052__4AFDBB60C9F9E9C6_9e6y_s917_1e430e4ec13d	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0052__4FDFA2477A7F3E9D_8x6b_s917_0d1a4d16b180	9	8	6	0.5454545454545454	false
CANDIDATE_V29_GEN__C0052__9FC45B3794093268_8x6b_s917_10b489383c2e	7	7	6	0.75	false
CANDIDATE_V29_GEN__C0052__CB9725C5F16BFCDB_8x6b_s917_142c16e65fa3	8	10	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0052__D14BA1B05E2479EB_8x6b_s917_131280eb0ea3	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0052__FD8F140040084F55_9e6y_s917_0f2405020799	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0054__0DCB74AD786044C4_8x6b_s917_2144a78a9b79	9	10	9	0.9	false
CANDIDATE_V29_GEN__C0054__0DCB74AD786044C4_9e6y_s917_1e71dd5ff5e6	10	8	6	0.5	false
CANDIDATE_V29_GEN__C0054__4189D20B195B5F3E_8x6b_s917_0b614936726e	10	10	5	0.3333333333333333	false
CANDIDATE_V29_GEN__C0054__97E1CC97C6517309_9e6y_s917_18e6ca87342a	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0054__A72986AE613B7256_8x6b_s917_1b9acff5f70a	7	6	6	0.8571428571428571	false
CANDIDATE_V29_GEN__C0054__F1B1B42B9C796AC8_9e6y_s917_1f3b384735b4	7	8	4	0.36363636363636365	false
CANDIDATE_V29_GEN__C0065__1C0A6B8F072EEF23_9e6y_s917_12bbe568e69c	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0065__3F9CAD11532B5A38_8x6b_s917_1300b58a12df	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0065__70F98B09F5199564_9e6y_s917_1666b721055f	10	10	5	0.3333333333333333	false
CANDIDATE_V29_GEN__C0065__7748301F441022BD_9e6y_s917_0fe727277e50	7	8	4	0.36363636363636365	false
CANDIDATE_V29_GEN__C0065__90AA4BAE101EF896_8x6b_s917_1993c421247e	7	9	7	0.7777777777777778	false
CANDIDATE_V29_GEN__C0065__A96E96B19E68393F_8x6b_s917_1364d1d05674	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0065__C1AB50550578EAE1_8x6b_s917_0dd6bdf486ee	10	10	4	0.25	false
CANDIDATE_V29_GEN__C0065__DE6DD4C723B1879D_8x6b_s917_194bcc3051f9	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0065__FEBA00C4ACD769CB_8x6b_s917_1444d6661962	10	8	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0072__7546A9284BA8D2B6_8x6b_s917_2103f0b089bd	10	9	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0072__CC42CDB135D119D9_8x6b_s917_1dde870994ee	10	10	8	0.6666666666666666	false
